# AIPerf Server Metrics Export (CSV)
# aiperf_version: 0.8.0
# schema_version: 1.0
# benchmark_id: a9c600a5-bbc2-4054-9187-5c92377e40b8
# Note: Same benchmark_id and version appear in JSON and Parquet exports
#
Endpoint,Type,Metric,Unit,avg,min,max,std,p1,p5,p10,p25,p50,p75,p90,p95,p99,engine_type,gt,le,model_name,moe_ep_rank,pid,pp_rank,tp_rank,Description
localhost:8895,gauge,sglang:routing_keys_active,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,Number of unique routing keys with active requests
localhost:8895,gauge,sglang:cache_hit_rate,,0.2873,0.0000,0.9996,0.4158,0.0000,0.0000,0.0000,0.0000,0.0000,0.8385,0.9314,0.9506,0.9796,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,The prefix cache hit rate.
localhost:8895,gauge,sglang:context_len,,131072.0000,131072.0000,131072.0000,0.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,Maximum context length.
localhost:8895,gauge,sglang:context_len,,131072.0000,131072.0000,131072.0000,0.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,1,Maximum context length.
localhost:8895,gauge,sglang:context_len,,131072.0000,131072.0000,131072.0000,0.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,2,Maximum context length.
localhost:8895,gauge,sglang:context_len,,131072.0000,131072.0000,131072.0000,0.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,3,Maximum context length.
localhost:8895,gauge,sglang:decode_sum_seq_lens,,2143558.9150,71662.0000,2910297.0000,410177.7795,804679.0000,804679.0000,1815178.0000,2008946.0000,2221431.0000,2378140.0000,2514937.0000,2607786.0000,2749870.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,The sum of all sequence lengths in decode.
localhost:8895,gauge,sglang:engine_load_weights_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,The time taken for the engine to load weights.
localhost:8895,gauge,sglang:engine_load_weights_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,1,The time taken for the engine to load weights.
localhost:8895,gauge,sglang:engine_load_weights_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,2,The time taken for the engine to load weights.
