# AIPerf Server Metrics Export (CSV)
# aiperf_version: 0.8.0
# schema_version: 1.0
# benchmark_id: 2da9f663-6790-412b-a9a6-4202c3b75dad
# Note: Same benchmark_id and version appear in JSON and Parquet exports
#
Endpoint,Type,Metric,Unit,avg,min,max,std,p1,p5,p10,p25,p50,p75,p90,p95,p99,engine_type,gt,le,model_name,moe_ep_rank,pid,pp_rank,tp_rank,Description
localhost:8894,gauge,sglang:routing_keys_active,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,Number of unique routing keys with active requests
localhost:8894,gauge,sglang:cache_hit_rate,,0.3084,0.0000,0.9984,0.4169,0.0000,0.0000,0.0000,0.0000,0.0000,0.8414,0.9207,0.9506,0.9806,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,The prefix cache hit rate.
localhost:8894,gauge,sglang:context_len,,131072.0000,131072.0000,131072.0000,0.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,Maximum context length.
localhost:8894,gauge,sglang:context_len,,131072.0000,131072.0000,131072.0000,0.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,1,Maximum context length.
localhost:8894,gauge,sglang:context_len,,131072.0000,131072.0000,131072.0000,0.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,2,Maximum context length.
localhost:8894,gauge,sglang:context_len,,131072.0000,131072.0000,131072.0000,0.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,3,Maximum context length.
localhost:8894,gauge,sglang:decode_sum_seq_lens,,1989067.1349,71655.0000,2813476.0000,333816.3745,1202302.0000,1516002.0000,1631182.0000,1796947.0000,1993461.0000,2205770.0000,2380546.0000,2500462.0000,2685558.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,The sum of all sequence lengths in decode.
localhost:8894,gauge,sglang:engine_load_weights_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,The time taken for the engine to load weights.
localhost:8894,gauge,sglang:engine_load_weights_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,1,The time taken for the engine to load weights.
localhost:8894,gauge,sglang:engine_load_weights_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,2,The time taken for the engine to load weights.
localhost:8894,gauge,sglang:engine_load_weights_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,3,The time taken for the engine to load weights.
localhost:8894,gauge,sglang:engine_startup_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,The time taken for the engine to start up.
localhost:8894,gauge,sglang:engine_startup_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,1,The time taken for the engine to start up.
localhost:8894,gauge,sglang:engine_startup_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,2,The time taken for the engine to start up.
localhost:8894,gauge,sglang:engine_startup_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,3,The time taken for the engine to start up.
localhost:8894,gauge,sglang:full_token_usage,,0.4554,0.0159,0.6240,0.0712,0.2667,0.3509,0.3744,0.4151,0.4571,0.5029,0.5407,0.5627,0.5956,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,The token usage for full attention layers.
localhost:8894,gauge,sglang:gen_throughput,tokens/s,549.5455,6.8430,937.8719,199.1541,73.1412,188.0320,258.2966,418.0562,583.7426,715.5913,775.3043,810.9309,864.5670,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,The generation throughput (token/s).
localhost:8894,gauge,sglang:is_cuda_graph,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,Whether the batch is using CUDA graph.
localhost:8894,gauge,sglang:kv_available_tokens,tokens,325327.1584,41.0000,1639731.0000,525308.2819,355.8000,4558.0000,7839.0000,13559.0000,21495.0000,449083.0000,1332844.0000,1580466.0000,1635218.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,Number of free token slots in the KV cache pool.
localhost:8894,gauge,sglang:kv_evictable_tokens,tokens,2129931.7773,238991.0000,3326103.0000,661617.8980,465192.0000,727612.0000,1018782.0000,1875302.0000,2332442.0000,2600849.0000,2770192.0000,2873171.0000,3134159.5000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,Number of evictable (radix-cached) token slots in the KV cache pool.
localhost:8894,gauge,sglang:kv_used_tokens,tokens,2053252.0643,71655.0000,2813353.0000,321057.6099,1202214.0000,1581877.0000,1687979.0000,1871374.0000,2060773.0000,2267160.0000,2437961.0000,2537026.0000,2685435.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,Number of actively used token slots in the KV cache pool.
localhost:8894,gauge,sglang:mamba_available_tokens,tokens,398.6795,180.0000,1045.0000,225.2133,193.0000,209.0000,220.0000,249.0000,303.0000,438.0000,823.0000,932.5000,1020.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,Number of free state slots in the mamba SSM pool (hybrid-SSM only).
localhost:8894,gauge,sglang:mamba_evictable_tokens,tokens,838.7062,239.0000,1055.0000,226.6786,244.0000,299.5000,412.0000,799.0000,937.0000,991.0000,1018.0000,1033.0000,1050.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,Number of evictable (radix-cached) state slots in the mamba SSM pool.
localhost:8894,gauge,sglang:mamba_usage,,0.0460,0.0015,0.0617,0.0070,0.0278,0.0355,0.0386,0.0416,0.0463,0.0501,0.0540,0.0571,0.0601,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,The token usage for Mamba layers.
localhost:8894,gauge,sglang:mamba_used_tokens,tokens,59.6143,2.0000,80.0000,9.0334,36.0000,46.0000,50.0000,54.0000,60.0000,65.0000,70.0000,74.0000,78.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,Number of actively used state slots in the mamba SSM pool.
localhost:8894,gauge,sglang:max_total_num_tokens,tokens,4508511.0000,4508511.0000,4508511.0000,0.0000,4508511.0000,4508511.0000,4508511.0000,4508511.0000,4508511.0000,4508511.0000,4508511.0000,4508511.0000,4508511.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,Maximum total number of tokens in the KV cache pool.
localhost:8894,gauge,sglang:max_total_num_tokens,tokens,4508511.0000,4508511.0000,4508511.0000,0.0000,4508511.0000,4508511.0000,4508511.0000,4508511.0000,4508511.0000,4508511.0000,4508511.0000,4508511.0000,4508511.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,1,Maximum total number of tokens in the KV cache pool.
localhost:8894,gauge,sglang:max_total_num_tokens,tokens,4508511.0000,4508511.0000,4508511.0000,0.0000,4508511.0000,4508511.0000,4508511.0000,4508511.0000,4508511.0000,4508511.0000,4508511.0000,4508511.0000,4508511.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,2,Maximum total number of tokens in the KV cache pool.
