# AIPerf Server Metrics Export (CSV)
# aiperf_version: 0.8.0
# schema_version: 1.0
# benchmark_id: efc1c748-c885-4411-b434-eee450ee0a0d
# Note: Same benchmark_id and version appear in JSON and Parquet exports
#
Endpoint,Type,Metric,Unit,avg,min,max,std,p1,p5,p10,p25,p50,p75,p90,p95,p99,engine_type,gt,le,model_name,moe_ep_rank,pid,pp_rank,tp_rank,Description
localhost:8891,gauge,sglang:routing_keys_active,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,Number of unique routing keys with active requests
localhost:8891,gauge,sglang:cache_hit_rate,,0.3226,0.0000,0.9948,0.4228,0.0000,0.0000,0.0000,0.0000,0.0000,0.8606,0.9122,0.9374,0.9740,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,The prefix cache hit rate.
localhost:8891,gauge,sglang:context_len,,131072.0000,131072.0000,131072.0000,0.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,Maximum context length.
localhost:8891,gauge,sglang:context_len,,131072.0000,131072.0000,131072.0000,0.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,1,Maximum context length.
localhost:8891,gauge,sglang:context_len,,131072.0000,131072.0000,131072.0000,0.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,2,Maximum context length.
localhost:8891,gauge,sglang:context_len,,131072.0000,131072.0000,131072.0000,0.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,3,Maximum context length.
localhost:8891,gauge,sglang:decode_sum_seq_lens,,2692317.0393,71662.0000,3544215.0000,364834.7694,1631676.0400,2257014.0000,2341308.0000,2510752.0000,2701079.5000,2913140.0000,3072592.0000,3156259.0000,3380879.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,The sum of all sequence lengths in decode.
localhost:8891,gauge,sglang:engine_load_weights_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,The time taken for the engine to load weights.
localhost:8891,gauge,sglang:engine_load_weights_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,1,The time taken for the engine to load weights.
localhost:8891,gauge,sglang:engine_load_weights_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,2,The time taken for the engine to load weights.
localhost:8891,gauge,sglang:engine_load_weights_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,3,The time taken for the engine to load weights.
localhost:8891,gauge,sglang:engine_startup_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,The time taken for the engine to start up.
localhost:8891,gauge,sglang:engine_startup_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,1,The time taken for the engine to start up.
localhost:8891,gauge,sglang:engine_startup_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,2,The time taken for the engine to start up.
