Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),446.34,0.00,92806.82,,,,,,446.75,,586.58,652.02,813.08,216.92
Active Decode Throughput Per User (tokens/sec/user),13.37,0.00,11600.85,,,,,,12.18,,15.93,18.05,26.17,40.63
Active Prefill Throughput (tokens/sec),64878.85,81.17,274188.84,,,,,,58237.11,,114492.58,138268.39,176679.33,36783.37
Active Prefill Throughput Per User (tokens/sec/user),34638.64,81.17,162621.64,,,,,,29301.92,,62850.84,76699.09,102207.40,20597.23
Active Total Throughput (tokens/sec),42444.73,15.52,274188.84,,,,,,37356.25,,99808.17,123150.70,168629.47,42842.43
Credit Drop Latency (ms),4.74,2.07,18.01,180.31,2.11,2.20,2.36,2.70,3.26,5.42,9.40,11.11,16.20,3.40
Credit-to-Start Latency (ms),1.89,0.86,55.66,2225.71,1.10,1.20,1.27,1.38,1.49,1.64,2.02,3.99,9.60,2.29
E2E Output Token Throughput (tokens/sec/user),12.06,1.03,24.10,14164.64,2.81,7.20,8.47,10.75,12.35,13.68,15.19,16.12,18.04,2.81
Effective Concurrency,36.43,1.00,50.00,,,,,,38.00,,43.00,45.00,48.00,6.73
Effective Decode Concurrency,35.01,0.00,48.00,,,,,,36.00,,42.00,44.00,47.00,6.67
Effective Decode Throughput (tokens/sec),446.19,0.00,92806.82,,,,,,446.75,,586.58,652.01,813.07,217.04
Effective Decode Throughput Per User (tokens/sec/user),13.36,0.00,11600.85,,,,,,12.18,,15.93,18.04,26.17,40.62
Effective Latency (CO-aware) (ms),56720.20,1038.57,952100.67,66646240.04,1832.41,4594.37,8261.88,15936.74,29515.90,65501.34,119551.74,174277.24,436296.43,85493.15
Effective Prefill Concurrency,1.42,0.00,8.00,,,,,,1.00,,3.00,4.00,6.00,1.52
Effective Prefill Throughput (tokens/sec),41988.75,0.00,274188.84,,,,,,36907.31,,99304.07,122754.78,168214.72,42857.69
Effective Prefill Throughput Per User (tokens/sec/user),22417.68,0.00,162621.64,,,,,,19841.88,,53128.52,67419.08,96975.27,23420.76
Effective Total Throughput (tokens/sec),42444.73,15.52,274188.84,,,,,,37356.25,,99808.17,123150.70,168629.47,42842.43
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,693.49,4.00,10992.00,814850.00,12.00,29.40,96.00,177.00,356.00,813.00,1535.40,2298.40,5519.80,1024.03
HTTP Chunks Sent,1.00,1.00,1.00,1175.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.49,0.00,2.52,577.66,0.00,0.00,0.00,0.00,0.66,0.72,1.11,1.19,1.31,0.42
HTTP Connection Overhead (ms),0.55,0.00,2.52,650.14,0.00,0.00,0.00,0.00,0.66,0.72,1.53,1.65,1.83,0.54
HTTP Connection Reused (ratio),0.39,0.00,1.00,453.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.49
HTTP Data Received (KB),186.02,1.89,2933.33,218574.81,4.02,8.67,26.52,48.19,95.83,217.80,410.57,614.53,1473.32,273.35
HTTP Data Sent (KB),223.96,1.33,427.27,263150.08,1.51,53.11,119.56,163.76,219.02,295.08,351.89,368.40,404.14,93.60
HTTP DNS Lookup (ms),0.06,0.00,0.69,72.49,0.00,0.00,0.00,0.00,0.00,0.00,0.41,0.47,0.53,0.16
HTTP Duration (excl. conn) (ms),56718.18,1034.80,952092.27,66643861.86,1827.00,4592.23,8260.15,15935.13,29514.31,65499.83,119550.27,174272.94,436293.84,85492.97
HTTP Receiving (ms),54504.40,135.72,950339.89,64042665.95,625.94,2501.80,6377.30,13646.85,27374.27,63314.89,117911.51,172459.89,435277.76,85476.16
HTTP Sending (ms),0.86,0.23,2.81,1013.46,0.30,0.31,0.32,0.36,1.02,1.13,1.47,1.58,1.71,0.44
HTTP Total Time (ms),56718.73,1036.21,952092.27,66644512.00,1828.38,4593.15,8260.87,15935.13,29514.31,65500.16,119550.27,174274.08,436294.81,85493.05
HTTP Waiting (TTFB) (ms),2212.92,229.71,9452.66,2600182.45,466.94,747.30,920.98,1274.34,1914.28,2730.52,3819.72,5026.30,6786.77,1347.42
Input Sequence Length (tokens),65364.60,405.00,124752.00,76803403.00,409.00,15369.00,34902.80,47803.00,63773.00,86135.50,102881.40,107963.20,118607.98,27432.75
Inter Chunk Latency (ms),78.70,0.00,14021.03,64039353.84,0.60,28.34,38.30,40.73,42.78,50.81,54.23,78.28,950.95,358.39
Inter Token Latency (ms),77.49,26.83,676.63,91054.53,42.06,49.52,56.14,65.43,74.47,83.50,95.37,110.92,162.59,29.60
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),710.84,4.00,11711.00,835234.00,12.00,29.40,96.00,177.00,356.00,816.50,1559.80,2314.80,5855.94,1094.13
Output Token Count (tokens),710.84,4.00,11711.00,835234.00,12.00,29.40,96.00,177.00,356.00,816.50,1559.80,2314.80,5855.94,1094.13
Output Token Throughput Per User (tokens/sec/user),13.82,1.48,37.28,16235.92,6.15,9.02,10.49,11.98,13.43,15.28,17.81,20.19,23.77,3.33
Prefill Throughput Per User (tokens/sec/user),38127.19,81.17,162621.65,44799447.44,293.23,7221.10,12563.93,20495.72,32184.58,51530.33,72371.54,87011.79,111537.31,25309.58
Request Latency (ms),56715.49,1034.92,952092.40,66640703.04,1827.14,4592.35,8260.29,15935.26,29514.45,65499.95,119550.39,174273.06,436293.97,85491.35
Requested OSL (tokens),710.84,4.00,11711.00,835234.00,12.00,29.40,96.00,177.00,356.00,816.50,1559.80,2314.80,5855.94,1094.13
Time to First Output Token (ms),2213.91,230.18,9453.96,2601349.21,467.44,748.61,922.32,1275.66,1914.84,2731.35,3820.49,5027.34,6787.99,1347.43
Time to First Token (ms),2213.91,230.18,9453.96,2601349.21,467.44,748.61,922.32,1275.66,1914.84,2731.35,3820.49,5027.34,6787.99,1347.43
Time to Second Token (ms),938.25,0.11,13133.38,1102443.22,1.12,40.26,42.83,47.62,79.81,1014.36,2807.80,4504.19,8272.61,1708.62
Tokens In Flight (tokens),2561899.54,83077.17,3527932.97,,,,,,2627237.22,,3063665.71,3179970.83,3352890.70,483527.97
Usage Completion Tokens (tokens),710.84,4.00,11711.00,835234.00,12.00,29.40,96.00,177.00,356.00,816.50,1559.80,2314.80,5855.94,1094.13
Usage Prompt Tokens (tokens),65364.60,405.00,124752.00,76803403.00,409.00,15369.00,34902.80,47803.00,63773.00,86135.50,102881.40,107963.20,118607.98,27432.75
Usage Total Tokens (tokens),66075.44,423.00,126479.00,77638637.00,430.00,15638.80,35188.00,48349.00,64403.00,87485.00,103918.20,108599.90,119177.08,27537.41

Metric,Value
Benchmark Duration (sec),1829.14
Input Token Throughput (tokens/sec),41988.75
Maximum Response Timestamp (ns),1780486325320864512.00
Minimum Request Timestamp (ns),1780484496178487040.00
