# AIPerf Server Metrics Export (CSV)
# aiperf_version: 0.8.0
# schema_version: 1.0
# benchmark_id: 7261b964-541a-44a4-ace9-591cbbdec447
# Note: Same benchmark_id and version appear in JSON and Parquet exports
#
Endpoint,Type,Metric,Unit,avg,min,max,std,p1,p5,p10,p25,p50,p75,p90,p95,p99,engine_type,gt,le,model_name,moe_ep_rank,pid,pp_rank,tp_rank,Description
localhost:8891,gauge,sglang:routing_keys_active,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,Number of unique routing keys with active requests
localhost:8891,gauge,sglang:cache_hit_rate,,0.3033,0.0000,0.9960,0.4189,0.0000,0.0000,0.0000,0.0000,0.0000,0.8473,0.9241,0.9480,0.9828,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,The prefix cache hit rate.
localhost:8891,gauge,sglang:context_len,,131072.0000,131072.0000,131072.0000,0.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,Maximum context length.
localhost:8891,gauge,sglang:context_len,,131072.0000,131072.0000,131072.0000,0.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,1,Maximum context length.
localhost:8891,gauge,sglang:context_len,,131072.0000,131072.0000,131072.0000,0.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,2,Maximum context length.
localhost:8891,gauge,sglang:context_len,,131072.0000,131072.0000,131072.0000,0.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,3,Maximum context length.
localhost:8891,gauge,sglang:decode_sum_seq_lens,,2488040.5161,71655.0000,3356197.0000,399469.1214,1026732.0000,1880113.0000,2060505.0000,2302642.0000,2532181.0000,2736652.0000,2949641.0000,3026076.0000,3205930.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,The sum of all sequence lengths in decode.
localhost:8891,gauge,sglang:engine_load_weights_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,The time taken for the engine to load weights.
localhost:8891,gauge,sglang:engine_load_weights_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,1,The time taken for the engine to load weights.
localhost:8891,gauge,sglang:engine_load_weights_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,2,The time taken for the engine to load weights.
localhost:8891,gauge,sglang:engine_load_weights_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,3,The time taken for the engine to load weights.
localhost:8891,gauge,sglang:engine_startup_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,The time taken for the engine to start up.
localhost:8891,gauge,sglang:engine_startup_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,1,The time taken for the engine to start up.
localhost:8891,gauge,sglang:engine_startup_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,2,The time taken for the engine to start up.
localhost:8891,gauge,sglang:engine_startup_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,3,The time taken for the engine to start up.
localhost:8891,gauge,sglang:full_token_usage,,0.5673,0.0159,0.7762,0.0873,0.2279,0.4327,0.4717,0.5255,0.5740,0.6231,0.6644,0.6863,0.7206,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,The token usage for full attention layers.
localhost:8891,gauge,sglang:gen_throughput,tokens/s,613.3134,12.9518,1009.1531,217.1653,105.5888,211.8422,285.8094,467.6904,653.0051,792.9839,863.2370,892.9539,928.2700,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,The generation throughput (token/s).
localhost:8891,gauge,sglang:is_cuda_graph,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,Whether the batch is using CUDA graph.
localhost:8891,gauge,sglang:kv_available_tokens,tokens,153506.0580,253.0000,1094702.0000,301220.0444,1059.0000,4094.0000,7521.0000,12576.2500,19282.0000,30177.0000,700801.0000,1022311.5500,1087612.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,Number of free token slots in the KV cache pool.
localhost:8891,gauge,sglang:kv_evictable_tokens,tokens,1796120.2603,476554.0000,3476987.0000,473149.1582,690522.0000,905997.0000,1217932.0000,1501477.0000,1824889.0000,2087342.0000,2330592.0000,2476641.6500,3116936.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,Number of evictable (radix-cached) token slots in the KV cache pool.
localhost:8891,gauge,sglang:kv_used_tokens,tokens,2556003.6817,71655.0000,3497405.0000,393256.2909,1026688.0000,1949713.0000,2125340.0000,2367527.0000,2586019.0000,2807321.0000,2993655.0000,3092113.0000,3246686.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,Number of actively used token slots in the KV cache pool.
localhost:8891,gauge,sglang:mamba_available_tokens,tokens,525.7621,305.0000,994.0000,143.6848,325.0000,352.0000,393.0000,430.0000,484.0000,596.2500,736.0000,875.4500,964.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,Number of free state slots in the mamba SSM pool (hybrid-SSM only).
localhost:8891,gauge,sglang:mamba_evictable_tokens,tokens,696.8995,281.0000,931.0000,143.1704,288.0000,345.0000,476.0000,625.0000,734.0000,788.0000,841.0000,873.0000,909.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,Number of evictable (radix-cached) state slots in the mamba SSM pool.
localhost:8891,gauge,sglang:mamba_usage,,0.0566,0.0015,0.0741,0.0085,0.0216,0.0432,0.0478,0.0540,0.0571,0.0617,0.0664,0.0679,0.0725,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,The token usage for Mamba layers.
localhost:8891,gauge,sglang:mamba_used_tokens,tokens,73.3384,2.0000,96.0000,11.0372,28.0000,56.0000,62.0000,70.0000,74.0000,80.0000,86.0000,88.0000,94.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,Number of actively used state slots in the mamba SSM pool.
localhost:8891,gauge,sglang:max_total_num_tokens,tokens,4505630.0000,4505630.0000,4505630.0000,0.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,Maximum total number of tokens in the KV cache pool.
localhost:8891,gauge,sglang:max_total_num_tokens,tokens,4505630.0000,4505630.0000,4505630.0000,0.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,1,Maximum total number of tokens in the KV cache pool.
localhost:8891,gauge,sglang:max_total_num_tokens,tokens,4505630.0000,4505630.0000,4505630.0000,0.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,2,Maximum total number of tokens in the KV cache pool.
localhost:8891,gauge,sglang:max_total_num_tokens,tokens,4505630.0000,4505630.0000,4505630.0000,0.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,3,Maximum total number of tokens in the KV cache pool.
localhost:8891,gauge,sglang:new_token_ratio,ratio,0.1064,0.0980,0.7000,0.0602,0.0980,0.0980,0.0980,0.0980,0.0980,0.0980,0.0980,0.0980,0.5194,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,The new token ratio.
localhost:8891,gauge,sglang:num_decode_prealloc_queue_reqs,requests,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,The number of requests in the decode prealloc queue.
localhost:8891,gauge,sglang:num_decode_transfer_queue_reqs,requests,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,The number of requests in the decode transfer queue.
localhost:8891,gauge,sglang:num_grammar_queue_reqs,requests,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,The number of requests in the grammar waiting queue.
