Timeslice,Start_NS,End_NS,Metric,Unit,Stat,Value
0,1780483130987844352,1780483131987844352,Active Decode Throughput,tokens/sec,avg,1051.27
0,1780483130987844352,1780483131987844352,Active Decode Throughput,tokens/sec,min,0.00
0,1780483130987844352,1780483131987844352,Active Decode Throughput,tokens/sec,max,165017.16
0,1780483130987844352,1780483131987844352,Active Decode Throughput,tokens/sec,p50,0.00
0,1780483130987844352,1780483131987844352,Active Decode Throughput,tokens/sec,p90,0.00
0,1780483130987844352,1780483131987844352,Active Decode Throughput,tokens/sec,p95,12946.65
0,1780483130987844352,1780483131987844352,Active Decode Throughput,tokens/sec,p99,16605.76
0,1780483130987844352,1780483131987844352,Active Decode Throughput,tokens/sec,std,4135.67
0,1780483130987844352,1780483131987844352,Active Decode Throughput Per User,tokens/sec/user,avg,1051.27
0,1780483130987844352,1780483131987844352,Active Decode Throughput Per User,tokens/sec/user,min,0.00
0,1780483130987844352,1780483131987844352,Active Decode Throughput Per User,tokens/sec/user,max,165017.16
0,1780483130987844352,1780483131987844352,Active Decode Throughput Per User,tokens/sec/user,p50,0.00
0,1780483130987844352,1780483131987844352,Active Decode Throughput Per User,tokens/sec/user,p90,0.00
0,1780483130987844352,1780483131987844352,Active Decode Throughput Per User,tokens/sec/user,p95,12946.65
0,1780483130987844352,1780483131987844352,Active Decode Throughput Per User,tokens/sec/user,p99,16605.76
0,1780483130987844352,1780483131987844352,Active Decode Throughput Per User,tokens/sec/user,std,4135.67
0,1780483130987844352,1780483131987844352,Active Prefill Throughput,tokens/sec,avg,66550.17
0,1780483130987844352,1780483131987844352,Active Prefill Throughput,tokens/sec,min,66550.17
0,1780483130987844352,1780483131987844352,Active Prefill Throughput,tokens/sec,max,66550.17
0,1780483130987844352,1780483131987844352,Active Prefill Throughput,tokens/sec,p50,66550.17
0,1780483130987844352,1780483131987844352,Active Prefill Throughput,tokens/sec,p90,66550.17
0,1780483130987844352,1780483131987844352,Active Prefill Throughput,tokens/sec,p95,66550.17
0,1780483130987844352,1780483131987844352,Active Prefill Throughput,tokens/sec,p99,66550.17
0,1780483130987844352,1780483131987844352,Active Prefill Throughput,tokens/sec,std,0.00
0,1780483130987844352,1780483131987844352,Active Prefill Throughput Per User,tokens/sec/user,avg,66550.17
0,1780483130987844352,1780483131987844352,Active Prefill Throughput Per User,tokens/sec/user,min,66550.17
0,1780483130987844352,1780483131987844352,Active Prefill Throughput Per User,tokens/sec/user,max,66550.17
0,1780483130987844352,1780483131987844352,Active Prefill Throughput Per User,tokens/sec/user,p50,66550.17
0,1780483130987844352,1780483131987844352,Active Prefill Throughput Per User,tokens/sec/user,p90,66550.17
0,1780483130987844352,1780483131987844352,Active Prefill Throughput Per User,tokens/sec/user,p95,66550.17
0,1780483130987844352,1780483131987844352,Active Prefill Throughput Per User,tokens/sec/user,p99,66550.17
