Timeslice,Start_NS,End_NS,Metric,Unit,Stat,Value
0,1780481044492657920,1780481045492657920,Active Decode Throughput,tokens/sec,avg,1069.09
0,1780481044492657920,1780481045492657920,Active Decode Throughput,tokens/sec,min,0.00
0,1780481044492657920,1780481045492657920,Active Decode Throughput,tokens/sec,max,59468.09
0,1780481044492657920,1780481045492657920,Active Decode Throughput,tokens/sec,p50,0.00
0,1780481044492657920,1780481045492657920,Active Decode Throughput,tokens/sec,p90,0.00
0,1780481044492657920,1780481045492657920,Active Decode Throughput,tokens/sec,p95,15313.35
0,1780481044492657920,1780481045492657920,Active Decode Throughput,tokens/sec,p99,21519.26
0,1780481044492657920,1780481045492657920,Active Decode Throughput,tokens/sec,std,4507.18
0,1780481044492657920,1780481045492657920,Active Decode Throughput Per User,tokens/sec/user,avg,1069.09
0,1780481044492657920,1780481045492657920,Active Decode Throughput Per User,tokens/sec/user,min,0.00
0,1780481044492657920,1780481045492657920,Active Decode Throughput Per User,tokens/sec/user,max,59468.09
0,1780481044492657920,1780481045492657920,Active Decode Throughput Per User,tokens/sec/user,p50,0.00
0,1780481044492657920,1780481045492657920,Active Decode Throughput Per User,tokens/sec/user,p90,0.00
0,1780481044492657920,1780481045492657920,Active Decode Throughput Per User,tokens/sec/user,p95,15313.35
0,1780481044492657920,1780481045492657920,Active Decode Throughput Per User,tokens/sec/user,p99,21519.26
0,1780481044492657920,1780481045492657920,Active Decode Throughput Per User,tokens/sec/user,std,4507.18
0,1780481044492657920,1780481045492657920,Active Prefill Throughput,tokens/sec,avg,66080.53
0,1780481044492657920,1780481045492657920,Active Prefill Throughput,tokens/sec,min,66080.53
0,1780481044492657920,1780481045492657920,Active Prefill Throughput,tokens/sec,max,66080.53
0,1780481044492657920,1780481045492657920,Active Prefill Throughput,tokens/sec,p50,66080.53
0,1780481044492657920,1780481045492657920,Active Prefill Throughput,tokens/sec,p90,66080.53
0,1780481044492657920,1780481045492657920,Active Prefill Throughput,tokens/sec,p95,66080.53
0,1780481044492657920,1780481045492657920,Active Prefill Throughput,tokens/sec,p99,66080.53
0,1780481044492657920,1780481045492657920,Active Prefill Throughput,tokens/sec,std,0.00
0,1780481044492657920,1780481045492657920,Active Prefill Throughput Per User,tokens/sec/user,avg,66080.53
0,1780481044492657920,1780481045492657920,Active Prefill Throughput Per User,tokens/sec/user,min,66080.53
0,1780481044492657920,1780481045492657920,Active Prefill Throughput Per User,tokens/sec/user,max,66080.53
0,1780481044492657920,1780481045492657920,Active Prefill Throughput Per User,tokens/sec/user,p50,66080.53
0,1780481044492657920,1780481045492657920,Active Prefill Throughput Per User,tokens/sec/user,p90,66080.53
0,1780481044492657920,1780481045492657920,Active Prefill Throughput Per User,tokens/sec/user,p95,66080.53
0,1780481044492657920,1780481045492657920,Active Prefill Throughput Per User,tokens/sec/user,p99,66080.53
0,1780481044492657920,1780481045492657920,Active Prefill Throughput Per User,tokens/sec/user,std,0.00
0,1780481044492657920,1780481045492657920,Active Total Throughput,tokens/sec,avg,46568.45
0,1780481044492657920,1780481045492657920,Active Total Throughput,tokens/sec,min,75.96
0,1780481044492657920,1780481045492657920,Active Total Throughput,tokens/sec,max,66080.53
0,1780481044492657920,1780481045492657920,Active Total Throughput,tokens/sec,p50,66080.53
0,1780481044492657920,1780481045492657920,Active Total Throughput,tokens/sec,p90,66080.53
0,1780481044492657920,1780481045492657920,Active Total Throughput,tokens/sec,p95,66080.53
0,1780481044492657920,1780481045492657920,Active Total Throughput,tokens/sec,p99,66080.53
0,1780481044492657920,1780481045492657920,Active Total Throughput,tokens/sec,std,30119.18
0,1780481044492657920,1780481045492657920,Benchmark Duration,sec,avg,4.86
0,1780481044492657920,1780481045492657920,E2E Output Token Throughput,tokens/sec/user,avg,65.16
0,1780481044492657920,1780481045492657920,E2E Output Token Throughput,tokens/sec/user,min,65.16
0,1780481044492657920,1780481045492657920,E2E Output Token Throughput,tokens/sec/user,max,65.16
0,1780481044492657920,1780481045492657920,E2E Output Token Throughput,tokens/sec/user,sum,65.16
0,1780481044492657920,1780481045492657920,E2E Output Token Throughput,tokens/sec/user,p1,65.16
0,1780481044492657920,1780481045492657920,E2E Output Token Throughput,tokens/sec/user,p5,65.16
0,1780481044492657920,1780481045492657920,E2E Output Token Throughput,tokens/sec/user,p10,65.16
0,1780481044492657920,1780481045492657920,E2E Output Token Throughput,tokens/sec/user,p25,65.16
0,1780481044492657920,1780481045492657920,E2E Output Token Throughput,tokens/sec/user,p50,65.16
0,1780481044492657920,1780481045492657920,E2E Output Token Throughput,tokens/sec/user,p75,65.16
0,1780481044492657920,1780481045492657920,E2E Output Token Throughput,tokens/sec/user,p90,65.16
0,1780481044492657920,1780481045492657920,E2E Output Token Throughput,tokens/sec/user,p95,65.16
0,1780481044492657920,1780481045492657920,E2E Output Token Throughput,tokens/sec/user,p99,65.16
0,1780481044492657920,1780481045492657920,E2E Output Token Throughput,tokens/sec/user,std,0.00
0,1780481044492657920,1780481045492657920,Effective Concurrency,requests,avg,1.00
0,1780481044492657920,1780481045492657920,Effective Concurrency,requests,min,1.00
0,1780481044492657920,1780481045492657920,Effective Concurrency,requests,max,1.00
0,1780481044492657920,1780481045492657920,Effective Concurrency,requests,p50,1.00
0,1780481044492657920,1780481045492657920,Effective Concurrency,requests,p90,1.00
0,1780481044492657920,1780481045492657920,Effective Concurrency,requests,p95,1.00
0,1780481044492657920,1780481045492657920,Effective Concurrency,requests,p99,1.00
0,1780481044492657920,1780481045492657920,Effective Concurrency,requests,std,0.00
0,1780481044492657920,1780481045492657920,Effective Decode Concurrency,requests,avg,0.30
0,1780481044492657920,1780481045492657920,Effective Decode Concurrency,requests,min,0.00
0,1780481044492657920,1780481045492657920,Effective Decode Concurrency,requests,max,1.00
0,1780481044492657920,1780481045492657920,Effective Decode Concurrency,requests,p50,0.00
0,1780481044492657920,1780481045492657920,Effective Decode Concurrency,requests,p90,1.00
0,1780481044492657920,1780481045492657920,Effective Decode Concurrency,requests,p95,1.00
0,1780481044492657920,1780481045492657920,Effective Decode Concurrency,requests,p99,1.00
0,1780481044492657920,1780481045492657920,Effective Decode Concurrency,requests,std,0.46
0,1780481044492657920,1780481045492657920,Effective Decode Throughput,tokens/sec,avg,316.04
0,1780481044492657920,1780481045492657920,Effective Decode Throughput,tokens/sec,min,0.00
0,1780481044492657920,1780481045492657920,Effective Decode Throughput,tokens/sec,max,59468.09
0,1780481044492657920,1780481045492657920,Effective Decode Throughput,tokens/sec,p50,0.00
0,1780481044492657920,1780481045492657920,Effective Decode Throughput,tokens/sec,p90,0.00
0,1780481044492657920,1780481045492657920,Effective Decode Throughput,tokens/sec,p95,0.00
0,1780481044492657920,1780481045492657920,Effective Decode Throughput,tokens/sec,p99,17175.49
0,1780481044492657920,1780481045492657920,Effective Decode Throughput,tokens/sec,std,2498.67
0,1780481044492657920,1780481045492657920,Effective Decode Throughput Per User,tokens/sec/user,avg,316.04
0,1780481044492657920,1780481045492657920,Effective Decode Throughput Per User,tokens/sec/user,min,0.00
0,1780481044492657920,1780481045492657920,Effective Decode Throughput Per User,tokens/sec/user,max,59468.09
