exp_name,tp,conc,offload,status,num_requests,throughput_rps,output_throughput_tps,total_throughput_tps,input_throughput_tps,mean_ttft_ms,p50_ttft_ms,p90_ttft_ms,p99_ttft_ms,mean_tpot_ms,p50_tpot_ms,p90_tpot_ms,p99_tpot_ms,mean_latency_ms,p50_latency_ms,p90_latency_ms,p99_latency_ms
agentic_qwen3.5_tp4_conc104_offloadhicache_fp8_sglang_tp4-ep1-dpafalse_disagg-false_spec-none_conc104_mi355x-amds_05,4,104,hicache,SUCCESS,809,0.49,309.38,32065.04,31755.66,35204.34,37064.43,53064.9,66624.2,212.11,197.19,288.16,578.25,163446.92,104114.23,322100.56,1032427.88
agentic_qwen3.5_tp4_conc104_offloadnone_fp8_sglang_tp4-ep1-dpafalse_disagg-false_spec-none_conc104_mi355x-amds_04,4,104,none,SUCCESS,608,0.33,192.12,21448.18,21256.06,56331.91,58914.36,74929.79,90581.95,317.72,294.4,427.19,959.79,233466.72,157146.91,456792.16,1222731.85
agentic_qwen3.5_tp4_conc120_offloadhicache_fp8_sglang_tp4-ep1-dpafalse_disagg-false_spec-none_conc120_mi355x-amds_06,4,120,hicache,SUCCESS,882,0.48,323.11,31852.19,31529.079999999998,56167.34,58809.83,80845.31,92170.0,228.09,201.98,312.05,697.65,197224.74,135960.35,392638.56,1078177.96
agentic_qwen3.5_tp4_conc120_offloadnone_fp8_sglang_tp4-ep1-dpafalse_disagg-false_spec-none_conc120_mi355x-amds_07,4,120,none,SUCCESS,670,0.37,241.41,23949.35,23707.94,75314.49,76758.46,98958.33,107739.65,299.1,271.17,382.97,926.7,258542.66,178201.13,487137.03,1377949.46
agentic_qwen3.5_tp4_conc56_offloadhicache_fp8_sglang_tp4-ep1-dpafalse_disagg-false_spec-none_conc56_mi355x-amds_03,4,56,hicache,SUCCESS,1011,0.55,375.98,35928.04,35552.06,2773.88,2352.55,4746.56,7358.71,122.2,113.06,152.36,427.51,82582.03,42623.59,188751.85,661136.33
agentic_qwen3.5_tp4_conc56_offloadnone_fp8_sglang_tp4-ep1-dpafalse_disagg-false_spec-none_conc56_mi355x-amds_08,4,56,none,SUCCESS,1217,0.67,458.03,42870.73,42412.700000000004,2431.82,2181.18,4255.26,7006.51,94.09,91.84,117.69,176.42,66423.29,33627.0,148937.47,518754.76
agentic_qwen3.5_tp4_conc72_offloadhicache_fp8_sglang_tp4-ep1-dpafalse_disagg-false_spec-none_conc72_mi355x-amds_02,4,72,hicache,SUCCESS,860,0.47,289.34,31001.61,30712.27,10346.7,5092.04,16234.24,69719.89,188.06,178.25,243.1,508.81,121003.87,69180.99,267210.89,806457.9
agentic_qwen3.5_tp4_conc72_offloadnone_fp8_sglang_tp4-ep1-dpafalse_disagg-false_spec-none_conc72_mi355x-amds_01,4,72,none,SUCCESS,638,0.35,214.41,22920.5,22706.09,9679.19,8943.63,17643.02,26008.41,264.77,262.46,344.44,625.28,166860.71,98888.56,377903.8,1053497.85
agentic_qwen3.5_tp4_conc88_offloadhicache_fp8_sglang_tp4-ep1-dpafalse_disagg-false_spec-none_conc88_mi355x-amds_06,4,88,hicache,SUCCESS,780,0.43,279.29,27697.41,27418.12,24928.93,24887.79,39443.65,61287.39,220.3,198.44,291.12,588.41,163051.78,99498.81,345698.82,1024053.33
agentic_qwen3.5_tp4_conc88_offloadnone_fp8_sglang_tp4-ep1-dpafalse_disagg-false_spec-none_conc88_mi355x-amds_00,4,88,none,SUCCESS,549,0.3,186.75,19055.4,18868.65,39489.77,41275.61,52499.51,69662.24,301.7,286.43,371.27,848.02,223882.49,139561.89,455275.31,1226839.62
