Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),446.26,0.00,155519.29,,,,,,449.36,,575.93,617.06,716.70,210.46
Active Decode Throughput Per User (tokens/sec/user),10.99,0.00,5703.40,,,,,,10.25,,12.61,13.86,21.64,28.29
Active Prefill Throughput (tokens/sec),61075.19,133.28,305387.98,,,,,,54144.32,,108653.63,127032.91,177984.22,36358.45
Active Prefill Throughput Per User (tokens/sec/user),31036.94,133.28,153319.34,,,,,,26255.48,,56231.89,69355.61,98066.71,19389.44
Active Total Throughput (tokens/sec),42870.07,14.78,305821.25,,,,,,37319.57,,96895.98,119977.03,169977.17,41331.16
Credit Drop Latency (ms),4.50,1.85,18.07,193.35,1.94,2.15,2.17,2.55,3.67,5.31,8.19,8.97,14.51,2.90
Credit-to-Start Latency (ms),1.95,0.88,51.85,2377.63,1.09,1.22,1.28,1.38,1.50,1.67,2.14,4.66,10.15,2.27
E2E Output Token Throughput (tokens/sec/user),9.98,0.71,17.95,12147.24,2.77,6.25,7.24,8.96,10.21,11.23,12.26,13.22,15.78,2.25
Effective Concurrency,44.21,1.00,56.00,,,,,,45.00,,51.00,52.00,54.00,7.07
Effective Decode Concurrency,42.60,0.00,55.00,,,,,,44.00,,49.00,51.00,53.00,7.28
Effective Decode Throughput (tokens/sec),446.01,0.00,155519.29,,,,,,449.36,,575.93,617.06,716.70,210.66
Effective Decode Throughput Per User (tokens/sec/user),10.98,0.00,5703.40,,,,,,10.24,,12.61,13.86,20.35,28.29
Effective Latency (CO-aware) (ms),66426.40,1102.24,1129455.08,80840925.93,1958.27,4769.37,9707.85,17727.95,33628.37,77821.47,148939.23,212573.40,518757.29,97881.28
Effective Prefill Concurrency,1.62,0.00,12.00,,,,,,1.00,,4.00,5.00,7.00,1.69
Effective Prefill Throughput (tokens/sec),42412.70,0.00,305387.98,,,,,,36896.59,,96416.23,119479.11,169487.10,41346.40
Effective Prefill Throughput Per User (tokens/sec/user),21553.11,0.00,153319.34,,,,,,19089.16,,48911.98,62857.37,92335.02,21574.95
Effective Total Throughput (tokens/sec),42870.07,14.78,305821.25,,,,,,37319.57,,96895.98,119977.03,169977.17,41331.16
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,672.79,4.00,10546.00,818783.00,11.00,23.00,93.60,163.00,347.00,786.00,1530.00,2213.80,5246.44,985.32
HTTP Chunks Sent,1.00,1.00,1.00,1217.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.48,0.00,1.86,587.07,0.00,0.00,0.00,0.00,0.66,0.73,1.12,1.20,1.30,0.43
HTTP Connection Overhead (ms),0.54,0.00,2.11,663.24,0.00,0.00,0.00,0.00,0.66,0.73,1.55,1.66,1.82,0.55
HTTP Connection Reused (ratio),0.41,0.00,1.00,493.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.49
HTTP Data Received (KB),180.50,1.89,2816.56,219670.16,3.77,6.98,25.86,44.46,93.31,210.87,408.90,591.02,1401.60,263.00
HTTP Data Sent (KB),218.37,1.33,427.27,265750.47,1.51,47.92,116.60,161.61,215.12,277.06,349.61,364.88,412.75,92.28
HTTP DNS Lookup (ms),0.06,0.00,0.61,76.17,0.00,0.00,0.00,0.00,0.00,0.00,0.42,0.47,0.53,0.16
HTTP Duration (excl. conn) (ms),66424.32,1100.39,1129446.49,80838391.93,1953.95,4766.35,9705.93,17726.62,33626.86,77820.17,148937.33,212570.73,518754.63,97881.08
HTTP Receiving (ms),63992.62,182.29,1127607.89,77879024.58,703.82,2342.27,7368.13,15563.55,31973.64,74679.84,146418.01,209743.41,515346.87,97634.50
HTTP Sending (ms),0.86,0.26,2.34,1043.22,0.30,0.31,0.32,0.37,1.01,1.14,1.50,1.61,1.73,0.45
HTTP Total Time (ms),66424.86,1100.39,1129447.27,80839055.17,1953.95,4767.02,9706.70,17728.12,33626.86,77820.17,148938.10,212572.42,518755.47,97881.15
HTTP Waiting (TTFB) (ms),2430.83,127.84,8316.06,2958324.12,513.05,765.66,940.70,1425.29,2179.59,3050.55,4254.28,5432.59,7005.39,1386.79
Input Sequence Length (tokens),63716.87,405.00,124752.00,77543431.00,409.00,13590.20,33958.80,47094.00,62384.00,81091.00,102167.20,106968.80,120245.64,27036.39
Inter Chunk Latency (ms),95.25,0.00,25107.90,77877614.40,0.69,40.01,42.63,52.80,54.10,55.20,56.80,84.60,1382.35,406.47
Inter Token Latency (ms),94.09,39.22,523.43,114505.94,51.92,56.06,67.38,80.78,91.84,100.86,117.69,131.17,176.42,32.52
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),688.11,4.00,11711.00,837426.00,11.00,23.00,93.60,163.00,347.00,791.00,1588.40,2313.20,5679.72,1036.99
Output Token Count (tokens),688.11,4.00,11711.00,837426.00,11.00,23.00,93.60,163.00,347.00,791.00,1588.40,2313.20,5679.72,1036.99
