# AIPerf Server Metrics Export (CSV)
# aiperf_version: 0.8.0
# schema_version: 1.0
# benchmark_id: ad85b50b-41c3-4467-972f-2ab4b7087f9c
# Note: Same benchmark_id and version appear in JSON and Parquet exports
#
Endpoint,Type,Metric,Unit,avg,min,max,std,p1,p5,p10,p25,p50,p75,p90,p95,p99,engine_type,gt,le,model_name,moe_ep_rank,pid,pp_rank,tp_rank,Description
localhost:8896,gauge,sglang:routing_keys_active,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,Number of unique routing keys with active requests
localhost:8896,gauge,sglang:cache_hit_rate,,0.3324,0.0000,0.9923,0.4232,0.0000,0.0000,0.0000,0.0000,0.0000,0.8541,0.9256,0.9476,0.9748,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,The prefix cache hit rate.
localhost:8896,gauge,sglang:context_len,,131072.0000,131072.0000,131072.0000,0.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,Maximum context length.
localhost:8896,gauge,sglang:context_len,,131072.0000,131072.0000,131072.0000,0.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,1,Maximum context length.
localhost:8896,gauge,sglang:context_len,,131072.0000,131072.0000,131072.0000,0.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,2,Maximum context length.
localhost:8896,gauge,sglang:context_len,,131072.0000,131072.0000,131072.0000,0.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,3,Maximum context length.
localhost:8896,gauge,sglang:decode_sum_seq_lens,,3013841.1867,71655.0000,3864852.0000,496811.7679,71655.0000,2430976.0000,2616122.0000,2857062.0000,3071085.0000,3298428.0000,3443516.0000,3575491.0000,3659056.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,The sum of all sequence lengths in decode.
localhost:8896,gauge,sglang:engine_load_weights_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,The time taken for the engine to load weights.
localhost:8896,gauge,sglang:engine_load_weights_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,1,The time taken for the engine to load weights.
localhost:8896,gauge,sglang:engine_load_weights_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,2,The time taken for the engine to load weights.
localhost:8896,gauge,sglang:engine_load_weights_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,3,The time taken for the engine to load weights.
localhost:8896,gauge,sglang:engine_startup_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,The time taken for the engine to start up.
localhost:8896,gauge,sglang:engine_startup_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,1,The time taken for the engine to start up.
localhost:8896,gauge,sglang:engine_startup_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,2,The time taken for the engine to start up.
localhost:8896,gauge,sglang:engine_startup_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,3,The time taken for the engine to start up.
localhost:8896,gauge,sglang:full_token_usage,,0.6852,0.0159,0.8577,0.0932,0.2950,0.5520,0.5975,0.6429,0.6935,0.7448,0.7824,0.8024,0.8321,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,The token usage for full attention layers.
localhost:8896,gauge,sglang:gen_throughput,tokens/s,591.2693,5.5109,1011.1045,229.9007,64.4832,203.4181,264.5949,403.0530,616.4274,797.7008,866.9026,897.3425,951.7610,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,The generation throughput (token/s).
localhost:8896,gauge,sglang:is_cuda_graph,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,Whether the batch is using CUDA graph.
localhost:8896,gauge,sglang:kv_available_tokens,tokens,47940.7315,2.0000,511873.0000,112496.9096,1337.0000,4944.0000,7840.0000,12647.0000,17483.0000,23860.0000,35466.0000,447862.0000,509461.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,Number of free token slots in the KV cache pool.
localhost:8896,gauge,sglang:kv_evictable_tokens,tokens,1370198.2307,545873.0000,3922102.0000,410031.8635,644294.0000,815731.0000,898126.0000,1110343.0000,1344145.0000,1578932.0000,1787267.0000,1983292.0000,3085792.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,Number of evictable (radix-cached) token slots in the KV cache pool.
localhost:8896,gauge,sglang:kv_used_tokens,tokens,3087490.6870,71655.0000,3864682.0000,420131.0033,1329197.0000,2487013.0000,2692169.0000,2896482.0000,3124596.0000,3355780.0000,3525121.0000,3615482.0000,3748995.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,Number of actively used token slots in the KV cache pool.
localhost:8896,gauge,sglang:mamba_available_tokens,tokens,658.6279,470.0000,945.0000,88.0707,484.0000,523.0000,541.0000,601.0000,656.0000,717.0000,751.0000,812.0000,910.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,Number of free state slots in the mamba SSM pool (hybrid-SSM only).
localhost:8896,gauge,sglang:mamba_evictable_tokens,tokens,547.5046,327.0000,740.0000,87.3489,334.0000,390.0000,452.0000,487.0000,549.0000,602.0000,667.0000,703.0000,724.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,Number of evictable (radix-cached) state slots in the mamba SSM pool.
localhost:8896,gauge,sglang:mamba_usage,,0.0693,0.0015,0.0849,0.0089,0.0278,0.0571,0.0617,0.0664,0.0710,0.0741,0.0787,0.0802,0.0833,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,The token usage for Mamba layers.
localhost:8896,gauge,sglang:mamba_used_tokens,tokens,89.8675,2.0000,110.0000,11.5727,36.0000,74.0000,80.0000,86.0000,92.0000,96.0000,102.0000,104.0000,108.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,Number of actively used state slots in the mamba SSM pool.
localhost:8896,gauge,sglang:max_total_num_tokens,tokens,4505630.0000,4505630.0000,4505630.0000,0.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,Maximum total number of tokens in the KV cache pool.
localhost:8896,gauge,sglang:max_total_num_tokens,tokens,4505630.0000,4505630.0000,4505630.0000,0.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,1,Maximum total number of tokens in the KV cache pool.
localhost:8896,gauge,sglang:max_total_num_tokens,tokens,4505630.0000,4505630.0000,4505630.0000,0.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,2,Maximum total number of tokens in the KV cache pool.
