Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),287.71,0.00,48163.04,,,,,,269.45,,486.67,549.06,647.60,165.04
Active Decode Throughput Per User (tokens/sec/user),5.45,0.00,5134.51,,,,,,4.70,,8.61,9.40,10.62,14.43
Active Prefill Throughput (tokens/sec),35353.39,45.22,239014.76,,,,,,29119.84,,65480.20,78599.08,122045.51,23496.68
Active Prefill Throughput Per User (tokens/sec/user),13478.43,45.22,163761.38,,,,,,10222.82,,25429.16,34172.41,67555.58,12752.87
Active Total Throughput (tokens/sec),31001.14,6.69,239374.41,,,,,,26078.28,,62939.84,75687.51,117015.00,24944.21
Credit Drop Latency (ms),4.17,1.83,19.41,116.68,1.87,2.02,2.16,2.72,3.17,4.07,7.10,7.28,16.16,3.29
Credit-to-Start Latency (ms),2.07,0.88,47.96,1776.75,1.09,1.25,1.31,1.41,1.53,1.72,3.13,5.21,8.77,2.39
E2E Output Token Throughput (tokens/sec/user),5.03,0.41,12.15,4328.51,0.81,1.91,3.07,4.06,4.94,6.04,6.98,7.73,10.27,1.75
Effective Concurrency,56.87,1.00,72.00,,,,,,60.00,,67.00,69.00,70.00,10.43
Effective Decode Concurrency,52.01,0.00,70.00,,,,,,57.00,,64.00,66.00,68.00,14.20
Effective Decode Throughput (tokens/sec),278.39,0.00,48163.04,,,,,,258.90,,486.05,545.66,647.57,170.15
Effective Decode Throughput Per User (tokens/sec/user),5.28,0.00,5134.51,,,,,,4.64,,8.52,9.33,10.62,14.22
Effective Latency (CO-aware) (ms),121006.65,1777.29,1750403.12,104065722.86,3638.59,11255.33,19136.64,36301.98,69182.57,143872.01,267215.17,368199.18,806461.16,157568.20
Effective Prefill Concurrency,4.86,0.00,69.00,,,,,,3.00,,6.00,20.00,62.00,10.40
Effective Prefill Throughput (tokens/sec),30712.28,0.00,239014.76,,,,,,25815.06,,62649.78,75340.46,116679.36,24943.04
Effective Prefill Throughput Per User (tokens/sec/user),11709.01,0.00,163761.38,,,,,,8993.33,,23974.92,32750.09,66647.96,12728.05
Effective Total Throughput (tokens/sec),31001.14,6.69,239374.41,,,,,,26078.28,,62939.84,75687.51,117015.00,24944.21
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,603.93,4.00,7912.00,519379.00,12.00,22.00,95.90,172.25,334.00,719.00,1402.80,1997.45,4405.81,811.09
HTTP Chunks Sent,1.00,1.00,1.00,860.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.52,0.00,2.81,445.66,0.00,0.00,0.00,0.00,0.66,0.75,1.18,1.23,1.36,0.46
HTTP Connection Overhead (ms),0.60,0.00,2.81,517.47,0.00,0.00,0.00,0.00,0.66,0.75,1.64,1.73,1.92,0.60
HTTP Connection Reused (ratio),0.39,0.00,1.00,335.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.49
HTTP Data Received (KB),162.11,1.89,2112.49,139415.87,4.03,6.67,26.48,46.91,90.07,193.03,374.92,534.45,1176.55,216.48
HTTP Data Sent (KB),224.00,1.39,427.27,192644.24,1.49,83.22,118.64,169.50,218.67,287.36,347.65,356.83,418.48,89.51
HTTP DNS Lookup (ms),0.08,0.00,0.69,71.81,0.00,0.00,0.00,0.00,0.00,0.00,0.46,0.50,0.57,0.18
HTTP Duration (excl. conn) (ms),121004.46,1769.57,1750399.62,104063836.95,3636.97,11253.63,19135.19,36300.35,69180.86,143868.87,267210.75,368197.43,806457.79,157567.92
HTTP Receiving (ms),110657.89,206.52,1682741.57,95165783.83,1092.56,5369.82,13794.25,30898.72,60088.96,128956.25,260156.70,361634.12,773075.18,152715.81
HTTP Sending (ms),0.89,0.20,3.12,766.18,0.30,0.31,0.32,0.37,1.02,1.16,1.56,1.63,1.77,0.48
HTTP Total Time (ms),121005.06,1771.10,1750400.39,104064354.42,3637.20,11254.41,19135.19,36301.04,69181.23,143870.34,267210.83,368199.06,806458.42,157568.01
HTTP Waiting (TTFB) (ms),10345.68,304.42,71695.86,8897286.94,610.13,1131.36,1540.24,2779.42,5090.82,8429.28,16233.72,63263.70,69718.60,16658.82
Input Sequence Length (tokens),65345.50,405.00,124752.00,56197127.00,409.00,23889.00,34547.40,49110.25,63188.50,84148.25,102044.70,104818.35,122024.71,26251.59
Inter Chunk Latency (ms),183.53,0.00,51165.48,95165167.58,1.51,61.08,62.11,63.35,66.81,70.62,78.74,211.60,3485.13,837.87
Inter Token Latency (ms),188.06,63.83,1638.93,161732.64,67.10,91.07,120.83,150.26,178.25,215.30,243.10,271.82,508.81,89.70
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),615.61,4.00,9132.00,529428.00,12.00,22.00,95.90,172.25,334.00,724.00,1427.90,2062.05,4436.73,856.64
Output Token Count (tokens),615.61,4.00,9132.00,529428.00,12.00,22.00,95.90,172.25,334.00,724.00,1427.90,2062.05,4436.73,856.64
Output Token Throughput Per User (tokens/sec/user),6.05,0.61,15.67,5202.36,1.97,3.68,4.11,4.64,5.61,6.65,8.28,10.98,14.90,2.29
Prefill Throughput Per User (tokens/sec/user),17957.50,6.81,163761.49,15443446.31,82.80,784.16,1470.73,6419.20,12861.79,21559.29,37112.69,58349.05,101984.87,19809.02
Request Latency (ms),121003.87,1769.68,1750399.77,104063329.35,3637.08,11253.76,19135.31,36300.48,69180.99,143868.98,267210.89,368197.57,806457.90,157566.75
Requested OSL (tokens),615.61,4.00,9132.00,529428.00,12.00,22.00,95.90,172.25,334.00,724.00,1427.90,2062.05,4436.73,856.64
Time to First Output Token (ms),10346.70,306.08,71696.93,8898161.78,611.11,1131.87,1541.34,2779.90,5092.04,8430.68,16234.24,63264.85,69719.89,16658.94
Time to First Token (ms),10346.70,306.08,71696.93,8898161.78,611.11,1131.87,1541.34,2779.90,5092.04,8430.68,16234.24,63264.85,69719.89,16658.94
Time to Second Token (ms),3466.27,0.68,51165.48,2980989.89,61.49,69.78,71.34,75.03,239.21,2255.56,9083.79,19189.63,45066.32,8288.12
Tokens In Flight (tokens),3953961.59,62480.00,4794708.31,,,,,,4138077.91,,4601808.37,4684350.75,4712761.34,700805.06
Usage Completion Tokens (tokens),615.61,4.00,9132.00,529428.00,12.00,22.00,95.90,172.25,334.00,724.00,1427.90,2062.05,4436.73,856.64
Usage Prompt Tokens (tokens),65345.50,405.00,124752.00,56197127.00,409.00,23889.00,34547.40,49110.25,63188.50,84148.25,102044.70,104818.35,122024.71,26251.59
Usage Total Tokens (tokens),65961.11,421.00,125723.00,56726555.00,429.00,24135.50,34742.90,49695.50,63427.50,84882.25,102574.10,105200.70,122875.07,26329.70

Metric,Value
Benchmark Duration (sec),1829.79
Input Token Throughput (tokens/sec),30712.28
Maximum Response Timestamp (ns),1780502020325470720.00
Minimum Request Timestamp (ns),1780500190531852288.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),289.34
Request Count,860.00
Request Throughput (requests/sec),0.47
Theoretical Prefix Cache Hit (%),95.29
Total Input Sequence Length (tokens),56197127.00
Total Output Sequence Length (tokens),529428.00
Total Output Tokens (tokens),529428.00
Total Token Throughput (tokens/sec),31001.61
Total Usage Completion Tokens (tokens),529428.00
Total Usage Prompt Tokens (tokens),56197127.00
Total Usage Total Tokens (tokens),56726555.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
