exp_name,tp,conc,offload,status,num_requests,throughput_rps,output_throughput_tps,total_throughput_tps,input_throughput_tps,mean_ttft_ms,p50_ttft_ms,p90_ttft_ms,p99_ttft_ms,mean_tpot_ms,p50_tpot_ms,p90_tpot_ms,p99_tpot_ms,mean_latency_ms,p50_latency_ms,p90_latency_ms,p99_latency_ms
agentic_glm5.1_tp2_conc16_offloadhicache_fp4_sglang_tp2-ep1-dpafalse_disagg-false_spec-none_conc16_mi355x-amds_08,2,16,hicache,SUCCESS,57,0.14,110.78,12659.93,12549.15,49477.97,50733.04,92359.11,102085.16,71.4,39.17,54.09,771.84,85484.94,80533.7,140728.92,234777.9
agentic_glm5.1_tp2_conc16_offloadnone_fp4_sglang_tp2-ep1-dpafalse_disagg-false_spec-none_conc16_mi355x-amds_05,2,16,none,SUCCESS,87,0.05,39.25,4297.53,4258.28,183963.2,196420.34,233492.1,257854.39,176.09,115.56,295.46,1356.71,278594.06,255622.06,404790.74,687014.4
agentic_glm5.1_tp2_conc32_offloadhicache_fp4_sglang_tp2-ep1-dpafalse_disagg-false_spec-none_conc32_mi355x-amds_07,2,32,hicache,SUCCESS,159,0.14,139.4,11279.57,11140.17,155063.53,147069.5,234537.76,276949.89,44.09,40.7,49.63,92.49,198576.09,194752.71,303813.65,434261.9
agentic_glm5.1_tp2_conc32_offloadnone_fp4_sglang_tp2-ep1-dpafalse_disagg-false_spec-none_conc32_mi355x-amds_00,2,32,none,SUCCESS,98,0.05,57.39,4275.57,4218.179999999999,399555.4,439121.67,532570.0,559690.44,200.15,100.8,293.96,2671.52,506886.23,511413.26,689054.62,1037046.96
agentic_glm5.1_tp2_conc40_offloadhicache_fp4_sglang_tp2-ep1-dpafalse_disagg-false_spec-none_conc40_mi355x-amds_02,2,40,hicache,SUCCESS,250,0.14,136.05,11877.3,11741.25,207558.31,214410.72,297982.55,351575.03,43.03,41.22,50.99,71.66,249625.13,251653.72,358067.39,488525.8
agentic_glm5.1_tp2_conc40_offloadnone_fp4_sglang_tp2-ep1-dpafalse_disagg-false_spec-none_conc40_mi355x-amds_00,2,40,none,SUCCESS,90,0.05,61.2,4140.09,4078.8900000000003,540982.12,612650.39,782665.82,837326.76,145.79,86.59,257.08,951.98,655957.29,677929.92,929423.13,1306280.28
agentic_glm5.1_tp2_conc48_offloadhicache_fp4_sglang_tp2-ep1-dpafalse_disagg-false_spec-none_conc48_mi355x-amds_06,2,48,hicache,SUCCESS,262,0.14,138.2,12304.88,12166.679999999998,254000.83,282196.33,346107.21,364627.03,43.79,40.21,53.71,104.31,295464.46,310021.5,397582.58,544471.27
agentic_glm5.1_tp2_conc48_offloadnone_fp4_sglang_tp2-ep1-dpafalse_disagg-false_spec-none_conc48_mi355x-amds_04,2,48,none,SUCCESS,87,0.05,55.29,3982.77,3927.48,656435.94,817011.93,962427.42,1002504.41,158.81,92.26,283.18,887.25,775418.79,941613.36,1093403.67,1477498.95
agentic_glm5.1_tp2_conc4_offloadhicache_fp4_sglang_tp2-ep1-dpafalse_disagg-false_spec-none_conc4_mi355x-amds_01,2,4,hicache,SUCCESS,234,0.19,70.26,11674.17,11603.91,904.23,450.82,1198.35,10374.86,28.5,27.39,31.28,72.88,11520.36,5101.4,28142.22,73759.98
agentic_glm5.1_tp2_conc4_offloadnone_fp4_sglang_tp2-ep1-dpafalse_disagg-false_spec-none_conc4_mi355x-amds_03,2,4,none,SUCCESS,294,0.16,69.02,10918.67,10849.65,1302.51,432.56,1239.61,19203.46,27.92,27.55,31.59,49.9,13572.66,5417.9,33824.31,97272.95
agentic_glm5.1_tp2_conc8_offloadhicache_fp4_sglang_tp2-ep1-dpafalse_disagg-false_spec-none_conc8_mi355x-amds_03,2,8,hicache,SUCCESS,141,0.15,101.89,12307.55,12205.66,7226.66,1101.86,21025.01,46110.53,44.38,39.07,53.1,148.84,35759.04,19920.76,88659.18,215659.74
agentic_glm5.1_tp2_conc8_offloadnone_fp4_sglang_tp2-ep1-dpafalse_disagg-false_spec-none_conc8_mi355x-amds_05,2,8,none,SUCCESS,134,0.07,50.14,5879.23,5829.089999999999,25165.31,20556.26,60193.13,84741.07,204.46,67.22,139.28,1125.9,85572.3,50398.93,208478.46,466732.97
