# AIPerf Server Metrics Export (CSV)
# aiperf_version: 0.8.0
# schema_version: 1.0
# benchmark_id: 81df61f0-c5cb-40f9-a5ce-43f2faeeca71
# Note: Same benchmark_id and version appear in JSON and Parquet exports
#
Endpoint,Type,Metric,Unit,avg,min,max,std,p1,p5,p10,p25,p50,p75,p90,p95,p99,engine_type,gt,le,model_name,moe_ep_rank,pid,pp_rank,tp_rank,Description
localhost:8888,gauge,sglang:routing_keys_active,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,Number of unique routing keys with active requests
localhost:8888,gauge,sglang:cache_hit_rate,,0.0009,0.0000,0.9995,0.0302,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,The prefix cache hit rate.
localhost:8888,gauge,sglang:context_len,,202752.0000,202752.0000,202752.0000,0.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,Maximum context length.
localhost:8888,gauge,sglang:context_len,,202752.0000,202752.0000,202752.0000,0.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,1,Maximum context length.
localhost:8888,gauge,sglang:decode_sum_seq_lens,,636087.6089,105638.0000,731348.0000,130597.4965,105638.0000,447342.0000,550752.0000,620192.0000,670458.0000,698781.0000,722123.0000,726431.0000,729879.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,The sum of all sequence lengths in decode.
localhost:8888,gauge,sglang:engine_load_weights_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,The time taken for the engine to load weights.
localhost:8888,gauge,sglang:engine_load_weights_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,1,The time taken for the engine to load weights.
localhost:8888,gauge,sglang:engine_startup_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,The time taken for the engine to start up.
localhost:8888,gauge,sglang:engine_startup_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,1,The time taken for the engine to start up.
localhost:8888,gauge,sglang:full_token_usage,,0.8840,0.1440,0.9969,0.1070,0.3753,0.7216,0.7696,0.8451,0.9083,0.9521,0.9791,0.9895,0.9947,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,The token usage for full attention layers.
