Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),55.72,0.00,27690.32,,,,,,51.66,,109.63,136.89,166.60,52.69
Active Decode Throughput Per User (tokens/sec/user),9.36,0.00,4615.05,,,,,,8.33,,19.61,20.63,23.79,8.06
Active Prefill Throughput (tokens/sec),3952.85,102.04,21206.05,,,,,,3427.18,,7463.39,10826.85,16988.75,3381.04
Active Prefill Throughput Per User (tokens/sec/user),122.74,59.78,5646.15,,,,,,89.91,,182.53,262.27,766.40,163.86
Active Total Throughput (tokens/sec),3982.73,6.82,21206.05,,,,,,3494.65,,7221.61,10842.99,15938.27,3377.44
Credit Drop Latency (ms),1.64,0.68,3.62,8.18,0.69,0.73,0.78,0.93,1.07,1.87,2.92,3.27,3.55,1.07
Credit-to-Start Latency (ms),4.19,0.64,41.83,364.57,0.64,0.75,0.82,0.97,1.75,4.03,9.05,18.77,27.21,6.50
E2E Output Token Throughput (tokens/sec/user),1.48,0.01,8.59,128.56,0.01,0.09,0.14,0.26,0.71,1.67,3.96,6.16,7.98,1.88
Effective Concurrency,36.88,1.00,50.00,,,,,,46.00,,49.00,50.00,50.00,14.60
Effective Decode Concurrency,5.66,0.00,11.00,,,,,,6.00,,8.00,8.00,10.00,1.71
Effective Decode Throughput (tokens/sec),55.06,0.00,27690.32,,,,,,51.64,,109.62,136.88,166.60,52.73
Effective Decode Throughput Per User (tokens/sec/user),9.25,0.00,4615.05,,,,,,8.23,,19.61,20.63,23.79,8.08
Effective Latency (CO-aware) (ms),775423.45,105290.97,1562217.09,67461839.92,120662.79,161712.00,204609.85,529506.89,941614.39,995758.16,1093405.56,1233227.78,1477505.12,344865.68
Effective Prefill Concurrency,31.22,0.00,46.00,,,,,,39.00,,45.00,45.00,46.00,13.90
Effective Prefill Throughput (tokens/sec),3927.49,0.00,21206.05,,,,,,3427.18,,7194.76,10826.85,15935.65,3384.92
Effective Prefill Throughput Per User (tokens/sec/user),121.95,0.00,5646.15,,,,,,89.91,,182.53,262.27,766.40,163.63
Effective Total Throughput (tokens/sec),3982.73,6.82,21206.05,,,,,,3494.65,,7221.61,10842.99,15938.27,3377.44
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1144.46,6.00,10365.00,99568.00,8.58,66.00,103.00,197.50,401.00,1064.00,3032.00,6072.40,7785.86,1881.75
HTTP Chunks Sent,1.00,1.00,1.00,87.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.53,0.00,0.97,45.91,0.00,0.00,0.00,0.43,0.61,0.69,0.76,0.78,0.90,0.24
HTTP Connection Overhead (ms),0.68,0.00,1.37,59.57,0.00,0.00,0.00,0.43,0.80,0.95,1.11,1.14,1.32,0.37
HTTP Connection Reused (ratio),0.13,0.00,1.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.33
HTTP Data Received (KB),292.57,2.25,2671.92,25453.66,2.89,16.92,25.93,48.97,101.59,270.58,779.26,1558.92,2003.45,484.66
HTTP Data Sent (KB),321.65,8.89,752.42,27983.79,9.31,70.46,103.05,184.73,328.73,416.23,550.74,660.51,749.24,174.52
HTTP DNS Lookup (ms),0.16,0.00,0.42,13.66,0.00,0.00,0.00,0.00,0.20,0.29,0.34,0.37,0.40,0.15
HTTP Duration (excl. conn) (ms),775419.17,105286.70,1562214.64,67461467.70,120658.79,161707.76,204600.47,529501.01,941613.30,995757.23,1093403.60,1233225.41,1477498.85,344867.29
HTTP Receiving (ms),118983.31,315.64,933918.82,10351548.25,406.94,3789.42,5135.64,15644.43,61341.15,136987.57,282157.71,472530.14,756572.58,172284.00
HTTP Sending (ms),0.77,0.16,1.25,66.81,0.16,0.26,0.27,0.66,0.82,0.93,1.02,1.08,1.18,0.25
HTTP Total Time (ms),775419.85,105287.75,1562215.10,67461527.27,120659.71,161708.64,204601.57,529501.96,941614.26,995757.23,1093403.83,1233225.99,1477499.33,344867.12
HTTP Waiting (TTFB) (ms),656435.09,21678.80,1013530.83,57109852.64,22651.50,83584.93,111679.00,391482.64,817011.31,937777.16,962426.81,987978.01,1002503.62,328093.63
Input Sequence Length (tokens),82568.54,2316.00,192859.00,7183463.00,2377.92,18177.10,26285.00,47234.00,84657.00,106611.00,141348.40,169956.90,192087.58,44877.38
Inter Chunk Latency (ms),104.06,0.06,83335.30,10351507.31,34.67,35.26,35.43,36.97,37.91,39.52,40.37,41.08,79.67,1289.97
Inter Token Latency (ms),158.81,35.27,2866.39,13816.27,35.72,37.39,38.17,61.33,92.26,149.91,283.18,346.79,887.25,310.23
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),1162.32,6.00,10571.00,101122.00,8.58,66.00,103.00,197.50,409.00,1084.50,3127.60,6093.20,7868.02,1908.98
Output Token Count (tokens),1162.32,6.00,10571.00,101122.00,8.58,66.00,103.00,197.50,409.00,1084.50,3127.60,6093.20,7868.02,1908.98
Output Token Throughput Per User (tokens/sec/user),12.65,0.35,28.35,1100.77,1.57,2.89,3.53,6.67,10.84,16.30,26.20,26.75,28.00,8.13
Prefill Throughput Per User (tokens/sec/user),306.91,2.53,5646.15,26700.99,7.52,25.90,33.96,69.69,121.46,216.03,709.74,896.14,3162.80,690.68
Request Latency (ms),775418.79,105286.78,1562214.74,67461434.49,120658.89,161707.85,204600.56,529501.10,941613.36,995757.31,1093403.67,1233225.52,1477498.95,344868.10
Requested OSL (tokens),1162.32,6.00,10571.00,101122.00,8.58,66.00,103.00,197.50,409.00,1084.50,3127.60,6093.20,7868.02,1908.98
Time to First Output Token (ms),689371.54,119773.02,1081109.89,33779205.32,131683.29,173958.64,269244.81,493894.60,752053.91,969228.89,1004947.82,1011558.87,1057652.65,300647.07
Time to First Token (ms),656435.94,21679.92,1013531.67,57109927.18,22652.53,83586.18,111680.08,391483.59,817011.93,937777.74,962427.42,987978.63,1002504.41,328093.51
Time to Second Token (ms),5523.28,32.56,83335.30,480525.43,32.83,33.80,34.75,35.95,37.64,5337.65,12637.10,19797.63,81915.70,15215.28
Tokens In Flight (tokens),3117719.41,74693.95,4324337.89,,,,,,3806968.71,,4272701.00,4314994.92,4322864.77,1300442.69
Usage Completion Tokens (tokens),1162.32,6.00,10571.00,101122.00,8.58,66.00,103.00,197.50,409.00,1084.50,3127.60,6093.20,7868.02,1908.98
Usage Prompt Tokens (tokens),82568.54,2316.00,192859.00,7183463.00,2377.92,18177.10,26285.00,47234.00,84657.00,106611.00,141348.40,169956.90,192087.58,44877.38
Usage Total Tokens (tokens),83730.86,2328.00,193738.00,7284585.00,3083.94,18588.80,26869.40,47485.50,84947.00,110340.50,143297.60,172275.20,192608.82,45195.26

Metric,Value
Benchmark Duration (sec),1829.02
Input Token Throughput (tokens/sec),3927.49
Maximum Response Timestamp (ns),1780511031045337600.00
Minimum Request Timestamp (ns),1780509202022085120.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),55.29
Request Count,87.00
Request Throughput (requests/sec),0.05
Theoretical Prefix Cache Hit (%),94.59
