Timeslice,Start_NS,End_NS,Metric,Unit,Stat,Value
0,1780509202022085120,1780509203022085120,Active Decode Throughput,tokens/sec,avg,0.00
0,1780509202022085120,1780509203022085120,Active Decode Throughput,tokens/sec,min,0.00
0,1780509202022085120,1780509203022085120,Active Decode Throughput,tokens/sec,max,0.00
0,1780509202022085120,1780509203022085120,Active Decode Throughput,tokens/sec,p50,0.00
0,1780509202022085120,1780509203022085120,Active Decode Throughput,tokens/sec,p90,0.00
0,1780509202022085120,1780509203022085120,Active Decode Throughput,tokens/sec,p95,0.00
0,1780509202022085120,1780509203022085120,Active Decode Throughput,tokens/sec,p99,0.00
0,1780509202022085120,1780509203022085120,Active Decode Throughput,tokens/sec,std,0.00
0,1780509202022085120,1780509203022085120,Active Decode Throughput Per User,tokens/sec/user,avg,0.00
0,1780509202022085120,1780509203022085120,Active Decode Throughput Per User,tokens/sec/user,min,0.00
0,1780509202022085120,1780509203022085120,Active Decode Throughput Per User,tokens/sec/user,max,0.00
0,1780509202022085120,1780509203022085120,Active Decode Throughput Per User,tokens/sec/user,p50,0.00
0,1780509202022085120,1780509203022085120,Active Decode Throughput Per User,tokens/sec/user,p90,0.00
0,1780509202022085120,1780509203022085120,Active Decode Throughput Per User,tokens/sec/user,p95,0.00
0,1780509202022085120,1780509203022085120,Active Decode Throughput Per User,tokens/sec/user,p99,0.00
0,1780509202022085120,1780509203022085120,Active Decode Throughput Per User,tokens/sec/user,std,0.00
0,1780509202022085120,1780509203022085120,Active Prefill Throughput,tokens/sec,avg,6286.68
0,1780509202022085120,1780509203022085120,Active Prefill Throughput,tokens/sec,min,5646.15
0,1780509202022085120,1780509203022085120,Active Prefill Throughput,tokens/sec,max,8228.64
0,1780509202022085120,1780509203022085120,Active Prefill Throughput,tokens/sec,p50,5646.15
0,1780509202022085120,1780509203022085120,Active Prefill Throughput,tokens/sec,p90,8228.64
0,1780509202022085120,1780509203022085120,Active Prefill Throughput,tokens/sec,p95,8228.64
0,1780509202022085120,1780509203022085120,Active Prefill Throughput,tokens/sec,p99,8228.64
0,1780509202022085120,1780509203022085120,Active Prefill Throughput,tokens/sec,std,818.93
0,1780509202022085120,1780509203022085120,Active Prefill Throughput Per User,tokens/sec/user,avg,4456.28
0,1780509202022085120,1780509203022085120,Active Prefill Throughput Per User,tokens/sec/user,min,2742.88
0,1780509202022085120,1780509203022085120,Active Prefill Throughput Per User,tokens/sec/user,max,5646.15
0,1780509202022085120,1780509203022085120,Active Prefill Throughput Per User,tokens/sec/user,p50,5646.15
0,1780509202022085120,1780509203022085120,Active Prefill Throughput Per User,tokens/sec/user,p90,5646.15
0,1780509202022085120,1780509203022085120,Active Prefill Throughput Per User,tokens/sec/user,p95,5646.15
0,1780509202022085120,1780509203022085120,Active Prefill Throughput Per User,tokens/sec/user,p99,5646.15
0,1780509202022085120,1780509203022085120,Active Prefill Throughput Per User,tokens/sec/user,std,1247.54
0,1780509202022085120,1780509203022085120,Active Total Throughput,tokens/sec,avg,6286.68
0,1780509202022085120,1780509203022085120,Active Total Throughput,tokens/sec,min,5646.15
0,1780509202022085120,1780509203022085120,Active Total Throughput,tokens/sec,max,8228.64
0,1780509202022085120,1780509203022085120,Active Total Throughput,tokens/sec,p50,5646.15
0,1780509202022085120,1780509203022085120,Active Total Throughput,tokens/sec,p90,8228.64
0,1780509202022085120,1780509203022085120,Active Total Throughput,tokens/sec,p95,8228.64
0,1780509202022085120,1780509203022085120,Active Total Throughput,tokens/sec,p99,8228.64
0,1780509202022085120,1780509203022085120,Active Total Throughput,tokens/sec,std,818.93
0,1780509202022085120,1780509203022085120,Benchmark Duration,sec,avg,262.16
0,1780509202022085120,1780509203022085120,Credit Drop Latency,ms,avg,1.07
0,1780509202022085120,1780509203022085120,Credit Drop Latency,ms,min,1.07
0,1780509202022085120,1780509203022085120,Credit Drop Latency,ms,max,1.07
0,1780509202022085120,1780509203022085120,Credit Drop Latency,ms,sum,1.07
0,1780509202022085120,1780509203022085120,Credit Drop Latency,ms,p1,1.07
0,1780509202022085120,1780509203022085120,Credit Drop Latency,ms,p5,1.07
0,1780509202022085120,1780509203022085120,Credit Drop Latency,ms,p10,1.07
0,1780509202022085120,1780509203022085120,Credit Drop Latency,ms,p25,1.07
0,1780509202022085120,1780509203022085120,Credit Drop Latency,ms,p50,1.07
0,1780509202022085120,1780509203022085120,Credit Drop Latency,ms,p75,1.07
0,1780509202022085120,1780509203022085120,Credit Drop Latency,ms,p90,1.07
0,1780509202022085120,1780509203022085120,Credit Drop Latency,ms,p95,1.07
0,1780509202022085120,1780509203022085120,Credit Drop Latency,ms,p99,1.07
0,1780509202022085120,1780509203022085120,Credit Drop Latency,ms,std,0.00
0,1780509202022085120,1780509203022085120,E2E Output Token Throughput,tokens/sec/user,avg,1.82
0,1780509202022085120,1780509203022085120,E2E Output Token Throughput,tokens/sec/user,min,1.52
0,1780509202022085120,1780509203022085120,E2E Output Token Throughput,tokens/sec/user,max,2.41
0,1780509202022085120,1780509203022085120,E2E Output Token Throughput,tokens/sec/user,sum,5.46
0,1780509202022085120,1780509203022085120,E2E Output Token Throughput,tokens/sec/user,p1,1.52
