Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),76.03,0.00,333020.80,,,,,,77.24,,122.36,139.44,161.10,109.23
Active Decode Throughput Per User (tokens/sec/user),35.69,0.00,333020.80,,,,,,36.34,,46.35,48.73,72.35,94.79
Active Prefill Throughput (tokens/sec),86674.48,932.54,339412.48,,,,,,60249.24,,208284.30,240729.99,272120.03,80448.46
Active Prefill Throughput Per User (tokens/sec/user),81484.69,932.54,275980.71,,,,,,54267.91,,200408.16,231899.95,267651.34,78672.76
Active Total Throughput (tokens/sec),12566.78,22.64,339450.92,,,,,,83.24,,16202.18,110909.81,224695.55,43113.83
Credit Drop Latency (ms),6.72,1.65,19.96,40.34,1.66,1.70,1.75,2.03,3.45,8.57,14.97,17.47,19.46,6.56
Credit-to-Start Latency (ms),2.14,1.00,87.06,500.02,1.03,1.11,1.16,1.23,1.44,1.73,1.98,2.18,10.57,5.84
E2E Output Token Throughput (tokens/sec/user),28.29,0.79,45.35,6620.11,5.12,10.76,12.41,19.39,31.81,35.91,38.25,40.46,42.48,10.20
Effective Concurrency,2.14,0.00,4.00,,,,,,2.00,,4.00,4.00,4.00,1.10
Effective Decode Concurrency,1.97,0.00,4.00,,,,,,2.00,,3.00,4.00,4.00,1.10
Effective Decode Throughput (tokens/sec),69.53,0.00,333020.80,,,,,,72.20,,120.90,135.89,161.08,106.08
Effective Decode Throughput Per User (tokens/sec/user),32.36,0.00,333020.80,,,,,,36.06,,45.44,48.56,72.17,90.85
Effective Latency (CO-aware) (ms),11522.63,488.40,104009.08,2696295.71,499.17,560.73,688.69,2145.13,5103.13,14954.83,28145.45,50351.95,73761.47,15935.62
Effective Prefill Concurrency,0.17,0.00,3.00,,,,,,0.00,,1.00,1.00,2.00,0.46
Effective Prefill Throughput (tokens/sec),11603.91,0.00,339412.48,,,,,,0.00,,13613.27,97837.27,223063.87,41684.19
Effective Prefill Throughput Per User (tokens/sec/user),10909.10,0.00,275980.71,,,,,,0.00,,8293.97,96280.89,215698.02,39981.85
Effective Total Throughput (tokens/sec),11673.98,0.00,339450.92,,,,,,77.64,,13635.91,97837.27,223133.32,41679.34
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,374.60,4.00,3331.00,87657.00,6.00,6.00,10.00,27.75,145.50,455.75,1037.20,1762.70,2590.30,554.04
HTTP Chunks Sent,1.00,1.00,1.00,234.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.34,0.00,1.23,79.00,0.00,0.00,0.00,0.00,0.00,0.67,0.74,0.98,1.17,0.38
HTTP Connection Overhead (ms),0.36,0.00,1.73,84.83,0.00,0.00,0.00,0.00,0.00,0.67,0.74,1.32,1.65,0.44
HTTP Connection Reused (ratio),0.54,0.00,1.00,126.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.50
HTTP Data Received (KB),94.61,1.77,861.88,22138.82,2.25,2.26,3.23,7.57,36.32,113.80,255.01,449.45,662.79,140.73
HTTP Data Sent (KB),244.85,1.68,459.64,57294.34,2.10,73.45,91.68,146.62,234.56,354.75,372.53,380.97,455.06,115.35
HTTP DNS Lookup (ms),0.02,0.00,0.51,5.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.39,0.48,0.10
HTTP Duration (excl. conn) (ms),11520.38,476.34,104007.43,2695768.86,493.48,540.53,686.85,2143.24,5101.29,14952.96,28142.10,50350.46,73759.87,15936.00
HTTP Receiving (ms),10616.27,84.48,103178.62,2484206.24,117.64,141.20,252.60,1194.61,3968.43,11848.72,27773.17,48912.46,72310.52,15788.01
HTTP Sending (ms),0.66,0.27,1.59,155.28,0.28,0.29,0.29,0.30,0.34,1.02,1.10,1.34,1.51,0.40
HTTP Total Time (ms),11520.74,477.13,104008.11,2695853.69,493.91,540.74,686.85,2143.40,5102.39,14953.62,28142.60,50350.70,73760.54,15936.04
HTTP Waiting (TTFB) (ms),903.45,128.67,10931.29,211407.35,151.19,261.80,291.63,349.58,450.09,580.88,1197.35,2925.17,10374.09,1757.96
Input Sequence Length (tokens),62529.05,399.00,118812.00,14631797.00,454.00,18973.85,23575.10,37365.75,59317.50,90517.75,94917.00,96878.75,117674.74,29500.67
Inter Chunk Latency (ms),28.40,0.00,10597.51,2484174.62,7.98,21.04,22.03,24.11,26.02,28.16,29.24,29.68,57.55,80.82
Inter Token Latency (ms),28.50,20.67,138.47,6669.15,21.46,22.35,23.67,25.50,27.39,29.11,31.28,32.66,72.88,9.50
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),378.62,4.00,3362.00,88597.00,6.00,6.00,10.00,27.75,146.00,456.25,1053.20,1778.35,2623.35,560.43
Output Token Count (tokens),378.62,4.00,3362.00,88597.00,6.00,6.00,10.00,27.75,146.00,456.25,1053.20,1778.35,2623.35,560.43
Output Token Throughput Per User (tokens/sec/user),36.53,7.22,48.39,8548.77,13.72,30.62,31.97,34.36,36.52,39.21,42.25,44.74,46.59,5.30
Prefill Throughput Per User (tokens/sec/user),129449.46,932.54,275980.73,30291174.01,3051.49,8069.69,25209.78,69521.58,135284.59,183229.27,230521.95,254484.57,271869.77,73702.63
Request Latency (ms),11520.36,476.47,104007.54,2695764.53,493.58,540.65,686.95,2143.35,5101.40,14953.07,28142.22,50350.58,73759.98,15935.96
Requested OSL (tokens),378.62,4.00,3362.00,88597.00,6.00,6.00,10.00,27.75,146.00,456.25,1053.20,1778.35,2623.35,560.43
Time to First Output Token (ms),8444.59,1857.97,33078.52,506675.65,2520.15,3205.46,3505.36,4638.40,8072.18,10739.33,13790.50,15128.48,22813.71,4808.50
Time to First Token (ms),904.23,129.04,10931.74,211589.91,151.63,262.23,292.06,350.30,450.82,581.96,1198.35,2925.59,10374.86,1757.99
Time to Second Token (ms),42.23,0.13,934.58,9880.75,15.69,18.88,20.18,22.17,25.04,26.95,28.07,73.32,595.36,99.60
Tokens In Flight (tokens),136924.95,0.00,318104.06,,,,,,137391.73,,244623.65,274514.71,288878.05,77571.44
Usage Completion Tokens (tokens),378.62,4.00,3362.00,88597.00,6.00,6.00,10.00,27.75,146.00,456.25,1053.20,1778.35,2623.35,560.43
Usage Prompt Tokens (tokens),62529.05,399.00,118812.00,14631797.00,454.00,18973.85,23575.10,37365.75,59317.50,90517.75,94917.00,96878.75,117674.74,29500.67
