Timeslice,Start_NS,End_NS,Metric,Unit,Stat,Value
0,1780507473658994688,1780507474658994688,Active Decode Throughput,tokens/sec,avg,0.00
0,1780507473658994688,1780507474658994688,Active Decode Throughput,tokens/sec,min,0.00
0,1780507473658994688,1780507474658994688,Active Decode Throughput,tokens/sec,max,0.00
0,1780507473658994688,1780507474658994688,Active Decode Throughput,tokens/sec,p50,0.00
0,1780507473658994688,1780507474658994688,Active Decode Throughput,tokens/sec,p90,0.00
0,1780507473658994688,1780507474658994688,Active Decode Throughput,tokens/sec,p95,0.00
0,1780507473658994688,1780507474658994688,Active Decode Throughput,tokens/sec,p99,0.00
0,1780507473658994688,1780507474658994688,Active Decode Throughput,tokens/sec,std,0.00
0,1780507473658994688,1780507474658994688,Active Decode Throughput Per User,tokens/sec/user,avg,0.00
0,1780507473658994688,1780507474658994688,Active Decode Throughput Per User,tokens/sec/user,min,0.00
0,1780507473658994688,1780507474658994688,Active Decode Throughput Per User,tokens/sec/user,max,0.00
0,1780507473658994688,1780507474658994688,Active Decode Throughput Per User,tokens/sec/user,p50,0.00
0,1780507473658994688,1780507474658994688,Active Decode Throughput Per User,tokens/sec/user,p90,0.00
0,1780507473658994688,1780507474658994688,Active Decode Throughput Per User,tokens/sec/user,p95,0.00
0,1780507473658994688,1780507474658994688,Active Decode Throughput Per User,tokens/sec/user,p99,0.00
0,1780507473658994688,1780507474658994688,Active Decode Throughput Per User,tokens/sec/user,std,0.00
0,1780507473658994688,1780507474658994688,Active Prefill Throughput,tokens/sec,avg,10185.15
0,1780507473658994688,1780507474658994688,Active Prefill Throughput,tokens/sec,min,6135.43
0,1780507473658994688,1780507474658994688,Active Prefill Throughput,tokens/sec,max,10634.49
0,1780507473658994688,1780507474658994688,Active Prefill Throughput,tokens/sec,p50,10634.49
0,1780507473658994688,1780507474658994688,Active Prefill Throughput,tokens/sec,p90,10634.49
0,1780507473658994688,1780507474658994688,Active Prefill Throughput,tokens/sec,p95,10634.49
0,1780507473658994688,1780507474658994688,Active Prefill Throughput,tokens/sec,p99,10634.49
0,1780507473658994688,1780507474658994688,Active Prefill Throughput,tokens/sec,std,1348.97
0,1780507473658994688,1780507474658994688,Active Prefill Throughput Per User,tokens/sec/user,avg,5398.96
0,1780507473658994688,1780507474658994688,Active Prefill Throughput Per User,tokens/sec/user,min,5317.25
0,1780507473658994688,1780507474658994688,Active Prefill Throughput Per User,tokens/sec/user,max,6135.43
0,1780507473658994688,1780507474658994688,Active Prefill Throughput Per User,tokens/sec/user,p50,5317.25
0,1780507473658994688,1780507474658994688,Active Prefill Throughput Per User,tokens/sec/user,p90,5317.25
0,1780507473658994688,1780507474658994688,Active Prefill Throughput Per User,tokens/sec/user,p95,6135.43
0,1780507473658994688,1780507474658994688,Active Prefill Throughput Per User,tokens/sec/user,p99,6135.43
0,1780507473658994688,1780507474658994688,Active Prefill Throughput Per User,tokens/sec/user,std,245.32
0,1780507473658994688,1780507474658994688,Active Total Throughput,tokens/sec,avg,10185.15
0,1780507473658994688,1780507474658994688,Active Total Throughput,tokens/sec,min,6135.43
0,1780507473658994688,1780507474658994688,Active Total Throughput,tokens/sec,max,10634.49
0,1780507473658994688,1780507474658994688,Active Total Throughput,tokens/sec,p50,10634.49
0,1780507473658994688,1780507474658994688,Active Total Throughput,tokens/sec,p90,10634.49
0,1780507473658994688,1780507474658994688,Active Total Throughput,tokens/sec,p95,10634.49
0,1780507473658994688,1780507474658994688,Active Total Throughput,tokens/sec,p99,10634.49
0,1780507473658994688,1780507474658994688,Active Total Throughput,tokens/sec,std,1348.97
0,1780507473658994688,1780507474658994688,Benchmark Duration,sec,avg,17.45
0,1780507473658994688,1780507474658994688,E2E Output Token Throughput,tokens/sec/user,avg,11.60
0,1780507473658994688,1780507474658994688,E2E Output Token Throughput,tokens/sec/user,min,4.94
0,1780507473658994688,1780507474658994688,E2E Output Token Throughput,tokens/sec/user,max,18.27
0,1780507473658994688,1780507474658994688,E2E Output Token Throughput,tokens/sec/user,sum,23.20
0,1780507473658994688,1780507474658994688,E2E Output Token Throughput,tokens/sec/user,p1,5.07
0,1780507473658994688,1780507474658994688,E2E Output Token Throughput,tokens/sec/user,p5,5.60
0,1780507473658994688,1780507474658994688,E2E Output Token Throughput,tokens/sec/user,p10,6.27
