Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),207.70,0.00,3685.95,,,,,,193.99,,362.70,400.79,457.97,107.48
Active Decode Throughput Per User (tokens/sec/user),85.57,0.00,1458.13,,,,,,90.37,,108.34,122.19,182.39,31.29
Active Prefill Throughput (tokens/sec),18399.51,5082.04,376001.83,,,,,,16243.91,,28248.88,31336.41,49469.57,13292.19
Active Prefill Throughput Per User (tokens/sec/user),2459.89,733.13,259746.47,,,,,,1582.94,,3875.20,5104.16,9194.17,8165.31
Active Total Throughput (tokens/sec),18391.25,94.70,376096.54,,,,,,16377.09,,28372.80,31507.01,49668.35,13360.99
Credit Drop Latency (ms),4.61,1.68,12.54,23.03,1.68,1.70,1.72,1.78,2.49,4.54,9.34,10.94,12.22,4.10
Credit-to-Start Latency (ms),2.09,0.43,71.59,431.32,0.45,0.58,0.61,0.73,0.90,1.15,2.40,5.27,21.57,6.30
E2E Output Token Throughput (tokens/sec/user),17.03,0.05,96.96,3508.21,0.12,0.30,0.76,4.64,10.59,23.81,37.05,53.96,88.14,18.66
Effective Concurrency,12.37,1.00,16.00,,,,,,13.00,,15.00,16.00,16.00,2.69
Effective Decode Concurrency,2.33,0.00,6.00,,,,,,2.00,,4.00,4.00,5.00,1.20
Effective Decode Throughput (tokens/sec),197.85,0.00,3685.95,,,,,,184.41,,361.71,384.41,457.92,111.34
Effective Decode Throughput Per User (tokens/sec/user),80.20,0.00,1458.13,,,,,,89.83,,108.13,121.19,180.44,36.72
Effective Latency (CO-aware) (ms),74143.11,1139.10,225447.68,15273480.74,4135.48,16253.08,23899.97,39979.09,60765.28,103131.32,145126.78,160877.42,202785.93,46351.63
Effective Prefill Concurrency,10.04,0.00,15.00,,,,,,10.00,,14.00,15.00,15.00,3.04
Effective Prefill Throughput (tokens/sec),18191.95,0.00,376001.83,,,,,,16105.30,,28066.51,31336.41,49469.57,13359.08
Effective Prefill Throughput Per User (tokens/sec/user),2432.14,0.00,259746.47,,,,,,1577.04,,3875.20,5100.31,9194.17,8123.28
Effective Total Throughput (tokens/sec),18391.25,94.70,376096.54,,,,,,16377.09,,28372.80,31507.01,49668.35,13360.99
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,61.22,2.00,524.00,12612.00,2.00,2.00,4.50,13.00,35.00,63.75,166.50,229.75,429.30,82.99
HTTP Chunks Sent,1.00,1.00,1.00,206.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.33,0.00,0.60,67.72,0.00,0.00,0.00,0.31,0.37,0.47,0.53,0.55,0.58,0.19
HTTP Connection Overhead (ms),0.37,0.00,0.82,76.60,0.00,0.00,0.00,0.31,0.37,0.53,0.71,0.74,0.81,0.24
HTTP Connection Reused (ratio),0.22,0.00,1.00,45.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.41
HTTP Data Received (KB),21.00,1.12,171.19,4326.56,1.12,1.16,2.01,5.00,12.15,21.59,56.52,78.14,144.18,27.64
HTTP Data Sent (KB),430.50,1.63,984.03,88682.35,1.92,139.42,191.37,270.08,410.77,504.78,765.86,887.52,960.23,219.66
HTTP DNS Lookup (ms),0.04,0.00,0.23,8.88,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.19,0.22,0.08
HTTP Duration (excl. conn) (ms),74140.94,1133.54,225446.13,15273033.81,4131.49,16250.92,23899.12,39977.14,60764.47,103130.46,145126.09,160876.40,202784.60,46352.56
HTTP Receiving (ms),13944.54,49.06,113544.17,2872575.50,60.66,210.60,713.45,2737.70,8151.24,16513.99,41802.12,51522.12,82530.47,17921.67
HTTP Sending (ms),0.52,0.10,0.83,106.58,0.10,0.14,0.17,0.47,0.58,0.66,0.74,0.78,0.83,0.20
HTTP Total Time (ms),74141.31,1133.94,225446.47,15273110.41,4131.87,16251.37,23899.51,39977.31,60764.98,103130.55,145126.74,160876.77,202785.02,46352.59
HTTP Waiting (TTFB) (ms),60195.88,470.77,182952.07,12400351.73,499.03,11558.18,16577.43,32356.40,48674.44,79972.00,123285.46,143945.09,156618.15,40422.56
Input Sequence Length (tokens),109058.51,419.00,249853.00,22466053.00,484.00,35190.50,48331.00,68264.25,104378.00,127595.50,194541.50,225538.50,243351.30,55861.60
Inter Chunk Latency (ms),231.55,7.69,8230.15,2872574.10,139.44,159.64,179.92,189.47,216.73,221.06,233.65,255.55,807.18,266.51
Inter Token Latency (ms),12.86,8.38,50.78,2648.57,9.07,9.48,9.96,10.83,11.66,12.76,15.69,20.03,37.80,5.23
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),1195.79,6.00,10455.00,246333.00,6.00,12.50,66.00,229.50,663.50,1243.50,3297.50,4560.50,8556.10,1659.21
Output Token Count (tokens),1195.79,6.00,10455.00,246333.00,6.00,12.50,66.00,229.50,663.50,1243.50,3297.50,4560.50,8556.10,1659.21
Output Token Throughput Per User (tokens/sec/user),83.73,19.69,119.34,17248.18,26.46,49.93,63.75,78.37,85.77,92.33,100.44,105.52,110.21,16.65
Prefill Throughput Per User (tokens/sec/user),7501.34,3.95,259746.47,1545276.63,7.76,368.82,634.98,1119.33,2006.17,3638.44,6300.25,10194.09,168111.07,28613.97
Request Latency (ms),74141.02,1133.62,225446.20,15273049.43,4131.58,16251.01,23899.20,39977.21,60764.54,103130.53,145126.15,160876.48,202784.69,46352.56
Requested OSL (tokens),1195.79,6.00,10455.00,246333.00,6.00,12.50,66.00,229.50,663.50,1243.50,3297.50,4560.50,8556.10,1659.21
Time to First Output Token (ms),71359.62,2692.89,187681.66,6279646.48,5284.37,19559.78,25055.88,42863.52,58000.67,106454.54,139680.90,149910.03,171880.52,41648.39
Time to First Token (ms),60196.48,471.60,182952.62,12400475.32,499.73,11558.93,16577.86,32357.24,48675.11,79972.38,123286.20,143945.64,156618.93,40422.57
Time to Second Token (ms),354.60,49.06,7542.71,73046.87,60.66,156.66,189.21,210.73,222.42,256.35,482.00,809.54,2833.87,622.32
Tokens In Flight (tokens),1449305.83,122497.00,1992170.00,,,,,,1469801.60,,1787806.00,1932242.48,1989053.97,315731.24
Usage Completion Tokens (tokens),1195.79,6.00,10455.00,246333.00,6.00,12.50,66.00,229.50,663.50,1243.50,3297.50,4560.50,8556.10,1659.21
Usage Prompt Tokens (tokens),109058.51,419.00,249853.00,22466053.00,484.00,35190.50,48331.00,68264.25,104378.00,127595.50,194541.50,225538.50,243351.30,55861.60
Usage Total Tokens (tokens),110254.30,437.00,254925.00,22712386.00,498.25,35437.75,49029.00,68940.00,105007.00,130256.00,197822.50,226971.00,245616.10,56550.84

Metric,Value
Benchmark Duration (sec),1234.94
Input Token Throughput (tokens/sec),18191.95
Maximum Response Timestamp (ns),1780561892838609152.00
Minimum Request Timestamp (ns),1780560657893922816.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),199.47
Request Count,206.00
Request Throughput (requests/sec),0.17
Theoretical Prefix Cache Hit (%),93.14
Total Input Sequence Length (tokens),22466053.00
Total Output Sequence Length (tokens),246333.00
Total Output Tokens (tokens),246333.00
Total Token Throughput (tokens/sec),18391.42
Total Usage Completion Tokens (tokens),246333.00
