Timeslice,Start_NS,End_NS,Metric,Unit,Stat,Value
0,1780438168379817472,1780438169379817472,Active Decode Throughput,tokens/sec,avg,552.44
0,1780438168379817472,1780438169379817472,Active Decode Throughput,tokens/sec,min,0.00
0,1780438168379817472,1780438169379817472,Active Decode Throughput,tokens/sec,max,3160.27
0,1780438168379817472,1780438169379817472,Active Decode Throughput,tokens/sec,p50,0.00
0,1780438168379817472,1780438169379817472,Active Decode Throughput,tokens/sec,p90,1642.25
0,1780438168379817472,1780438169379817472,Active Decode Throughput,tokens/sec,p95,1678.37
0,1780438168379817472,1780438169379817472,Active Decode Throughput,tokens/sec,p99,1775.10
0,1780438168379817472,1780438169379817472,Active Decode Throughput,tokens/sec,std,758.25
0,1780438168379817472,1780438169379817472,Active Decode Throughput Per User,tokens/sec/user,avg,552.44
0,1780438168379817472,1780438169379817472,Active Decode Throughput Per User,tokens/sec/user,min,0.00
0,1780438168379817472,1780438169379817472,Active Decode Throughput Per User,tokens/sec/user,max,3160.27
0,1780438168379817472,1780438169379817472,Active Decode Throughput Per User,tokens/sec/user,p50,0.00
0,1780438168379817472,1780438169379817472,Active Decode Throughput Per User,tokens/sec/user,p90,1642.25
0,1780438168379817472,1780438169379817472,Active Decode Throughput Per User,tokens/sec/user,p95,1678.37
0,1780438168379817472,1780438169379817472,Active Decode Throughput Per User,tokens/sec/user,p99,1775.10
0,1780438168379817472,1780438169379817472,Active Decode Throughput Per User,tokens/sec/user,std,758.25
0,1780438168379817472,1780438169379817472,Active Prefill Throughput,tokens/sec,avg,145090.90
0,1780438168379817472,1780438169379817472,Active Prefill Throughput,tokens/sec,min,108747.34
0,1780438168379817472,1780438169379817472,Active Prefill Throughput,tokens/sec,max,220260.66
0,1780438168379817472,1780438169379817472,Active Prefill Throughput,tokens/sec,p50,111513.31
0,1780438168379817472,1780438169379817472,Active Prefill Throughput,tokens/sec,p90,210456.77
0,1780438168379817472,1780438169379817472,Active Prefill Throughput,tokens/sec,p95,213889.88
0,1780438168379817472,1780438169379817472,Active Prefill Throughput,tokens/sec,p99,220260.66
0,1780438168379817472,1780438169379817472,Active Prefill Throughput,tokens/sec,std,46288.21
0,1780438168379817472,1780438169379817472,Active Prefill Throughput Per User,tokens/sec/user,avg,50561.21
0,1780438168379817472,1780438169379817472,Active Prefill Throughput Per User,tokens/sec/user,min,27878.33
0,1780438168379817472,1780438169379817472,Active Prefill Throughput Per User,tokens/sec/user,max,108747.34
0,1780438168379817472,1780438169379817472,Active Prefill Throughput Per User,tokens/sec/user,p50,27878.33
0,1780438168379817472,1780438169379817472,Active Prefill Throughput Per User,tokens/sec/user,p90,98759.67
0,1780438168379817472,1780438169379817472,Active Prefill Throughput Per User,tokens/sec/user,p95,108747.34
0,1780438168379817472,1780438169379817472,Active Prefill Throughput Per User,tokens/sec/user,p99,108747.34
0,1780438168379817472,1780438169379817472,Active Prefill Throughput Per User,tokens/sec/user,std,29710.86
0,1780438168379817472,1780438169379817472,Active Total Throughput,tokens/sec,avg,145103.64
0,1780438168379817472,1780438169379817472,Active Total Throughput,tokens/sec,min,108747.34
0,1780438168379817472,1780438169379817472,Active Total Throughput,tokens/sec,max,220260.66
0,1780438168379817472,1780438169379817472,Active Total Throughput,tokens/sec,p50,111535.59
0,1780438168379817472,1780438169379817472,Active Total Throughput,tokens/sec,p90,210456.77
0,1780438168379817472,1780438169379817472,Active Total Throughput,tokens/sec,p95,213889.88
0,1780438168379817472,1780438169379817472,Active Total Throughput,tokens/sec,p99,220260.66
0,1780438168379817472,1780438169379817472,Active Total Throughput,tokens/sec,std,46278.97
0,1780438168379817472,1780438169379817472,Benchmark Duration,sec,avg,24.91
0,1780438168379817472,1780438169379817472,E2E Output Token Throughput,tokens/sec/user,avg,27.91
0,1780438168379817472,1780438169379817472,E2E Output Token Throughput,tokens/sec/user,min,12.34
0,1780438168379817472,1780438169379817472,E2E Output Token Throughput,tokens/sec/user,max,48.85
0,1780438168379817472,1780438169379817472,E2E Output Token Throughput,tokens/sec/user,sum,139.56
0,1780438168379817472,1780438169379817472,E2E Output Token Throughput,tokens/sec/user,p1,12.48
0,1780438168379817472,1780438169379817472,E2E Output Token Throughput,tokens/sec/user,p5,13.04
0,1780438168379817472,1780438169379817472,E2E Output Token Throughput,tokens/sec/user,p10,13.75
