Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),257.40,0.00,3753.76,,,,,,246.74,,401.27,474.27,658.39,124.32
Active Decode Throughput Per User (tokens/sec/user),76.03,0.00,3753.76,,,,,,78.35,,101.13,116.05,161.58,31.66
Active Prefill Throughput (tokens/sec),21293.25,558.32,159030.82,,,,,,21499.12,,28766.61,30567.55,42286.74,7850.72
Active Prefill Throughput Per User (tokens/sec/user),914.20,351.81,115550.97,,,,,,789.19,,1146.51,1224.77,4161.80,2087.46
Active Total Throughput (tokens/sec),21449.56,71.06,159156.99,,,,,,21753.42,,29126.59,30806.78,42357.51,7980.83
Credit Drop Latency (ms),24.11,1.69,135.42,554.43,1.73,1.87,2.00,2.87,6.67,23.50,92.35,112.46,130.60,38.26
Credit-to-Start Latency (ms),3.06,0.63,135.66,1464.67,0.73,0.89,0.96,1.14,1.32,1.56,2.74,7.70,44.09,10.61
E2E Output Token Throughput (tokens/sec/user),8.93,0.05,103.14,4267.41,0.07,0.29,1.03,2.28,5.04,11.54,20.87,28.56,46.73,11.00
Effective Concurrency,28.69,1.00,39.00,,,,,,30.00,,34.00,34.00,36.00,5.97
Effective Decode Concurrency,3.52,0.00,11.00,,,,,,3.00,,5.00,6.00,9.00,1.61
Effective Decode Throughput (tokens/sec),256.80,0.00,3753.76,,,,,,246.68,,401.26,474.26,658.39,124.56
Effective Decode Throughput Per User (tokens/sec/user),75.77,0.00,3753.76,,,,,,78.25,,100.83,116.01,161.58,31.92
Effective Latency (CO-aware) (ms),109658.85,2155.35,254915.44,52416932.22,19635.64,59231.40,68369.02,85541.13,102898.90,129772.38,163109.56,187561.85,230305.89,40299.94
Effective Prefill Concurrency,25.17,0.00,35.00,,,,,,26.00,,31.00,31.00,33.00,5.74
Effective Prefill Throughput (tokens/sec),21187.28,0.00,159030.82,,,,,,21494.24,,28731.13,30567.55,42286.74,7973.22
Effective Prefill Throughput Per User (tokens/sec/user),909.65,0.00,115550.97,,,,,,789.19,,1145.77,1224.77,4161.80,2083.26
Effective Total Throughput (tokens/sec),21449.56,71.06,159156.99,,,,,,21753.42,,29126.59,30806.78,42357.51,7980.83
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,51.58,2.00,530.00,24656.00,2.00,3.00,7.00,12.00,25.00,60.00,125.30,186.15,311.53,70.49
HTTP Chunks Sent,1.00,1.00,1.00,478.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.52,0.00,13.05,250.41,0.00,0.00,0.00,0.00,0.49,0.66,0.85,0.92,1.44,1.14
HTTP Connection Overhead (ms),0.62,0.00,13.05,296.49,0.00,0.00,0.00,0.00,0.49,0.90,1.22,1.32,1.81,1.17
HTTP Connection Reused (ratio),0.30,0.00,1.00,144.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.46
HTTP Data Received (KB),18.43,1.16,183.21,8809.62,1.17,1.49,2.89,4.75,9.23,21.49,43.62,65.36,108.77,24.37
HTTP Data Sent (KB),319.82,1.45,1019.50,152874.63,1.85,16.14,147.29,200.86,284.34,411.52,491.01,650.74,965.65,186.86
HTTP DNS Lookup (ms),0.10,0.00,0.59,46.07,0.00,0.00,0.00,0.00,0.00,0.24,0.38,0.40,0.45,0.16
HTTP Duration (excl. conn) (ms),109655.71,2152.38,254913.49,52415430.11,19580.10,59229.80,68367.64,85539.86,102897.65,129770.69,163108.40,187560.40,230304.56,40301.04
HTTP Receiving (ms),13470.23,51.75,126732.69,6438767.78,111.60,501.68,1311.62,3002.84,7339.66,16886.52,33800.74,45891.36,88703.97,17594.11
HTTP Sending (ms),0.71,0.11,13.19,341.51,0.13,0.14,0.15,0.19,0.68,0.85,1.07,1.14,1.67,1.13
HTTP Total Time (ms),109656.33,2153.76,254914.43,52415726.60,19581.31,59230.66,68368.03,85540.29,102898.23,129771.35,163109.33,187561.22,230304.69,40300.90
HTTP Waiting (TTFB) (ms),96184.77,399.63,227075.60,45976320.82,15085.73,49621.48,59102.68,74546.48,90052.99,113054.81,137724.74,155808.15,220241.33,36652.15
Input Sequence Length (tokens),80967.85,419.00,258976.00,38702634.00,420.00,4138.00,37255.90,50703.50,71943.50,104324.50,124966.00,165362.15,245317.71,47467.22
Inter Chunk Latency (ms),266.31,9.76,11747.79,6438763.78,133.45,168.51,186.12,200.34,211.75,246.15,269.43,343.60,1713.58,338.25
Inter Token Latency (ms),15.03,7.93,73.12,7181.97,9.28,10.16,10.43,11.44,13.04,16.28,20.71,27.05,42.32,6.41
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),1003.32,5.00,10571.00,479585.00,6.00,22.00,102.00,215.25,476.50,1172.75,2474.80,3697.35,6192.83,1409.25
Output Token Count (tokens),1003.32,5.00,10571.00,479585.00,6.00,22.00,102.00,215.25,476.50,1172.75,2474.80,3697.35,6192.83,1409.25
Output Token Throughput Per User (tokens/sec/user),73.50,13.68,126.17,35133.82,23.63,36.97,48.28,61.42,76.69,87.43,95.86,98.39,107.78,18.90
Prefill Throughput Per User (tokens/sec/user),1528.03,3.03,115550.99,730396.23,4.20,80.85,348.57,534.33,781.50,1177.38,1709.30,2465.36,7909.42,7041.20
Request Latency (ms),109655.79,2152.45,254913.58,52415467.55,19580.19,59229.88,68367.73,85539.95,102897.71,129770.78,163108.47,187560.47,230304.63,40301.04
Requested OSL (tokens),1003.32,5.00,10571.00,479585.00,6.00,22.00,102.00,215.25,476.50,1172.75,2474.80,3697.35,6192.83,1409.25
Time to First Output Token (ms),104235.18,17450.10,230672.25,20430095.98,22458.80,50934.93,65226.02,78765.22,96112.87,127160.49,152344.13,168212.27,227565.88,38956.46
Time to First Token (ms),96185.57,400.88,227075.81,45976703.78,15086.98,49621.87,59103.45,74547.08,90053.76,113055.57,137725.69,155809.00,220242.17,36651.99
Time to Second Token (ms),412.91,51.74,4190.76,197371.68,111.60,196.62,204.09,221.41,254.61,353.38,680.16,1313.94,2976.14,501.03
Tokens In Flight (tokens),2398282.87,46322.00,3159587.13,,,,,,2488115.02,,2919228.95,2984167.52,3058356.96,487215.90
Usage Completion Tokens (tokens),1003.32,5.00,10571.00,479585.00,6.00,22.00,102.00,215.25,476.50,1172.75,2474.80,3697.35,6192.83,1409.25
Usage Prompt Tokens (tokens),80967.85,419.00,258976.00,38702634.00,420.00,4138.00,37255.90,50703.50,71943.50,104324.50,124966.00,165362.15,245317.71,47467.22
Usage Total Tokens (tokens),81971.17,434.00,260293.00,39182219.00,442.00,5047.10,37870.30,51235.00,73229.50,105617.25,126557.50,166382.20,246490.62,47833.55

Metric,Value
Benchmark Duration (sec),1826.69
Input Token Throughput (tokens/sec),21187.28
Maximum Response Timestamp (ns),1780441970592081408.00
Minimum Request Timestamp (ns),1780440143900213760.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),262.54
Request Count,478.00
Request Throughput (requests/sec),0.26
Theoretical Prefix Cache Hit (%),94.10
Total Input Sequence Length (tokens),38702634.00
Total Output Sequence Length (tokens),479585.00
Total Output Tokens (tokens),479585.00
Total Token Throughput (tokens/sec),21449.82
Total Usage Completion Tokens (tokens),479585.00
Total Usage Prompt Tokens (tokens),38702634.00
Total Usage Total Tokens (tokens),39182219.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
