Timeslice,Start_NS,End_NS,Metric,Unit,Stat,Value
0,1780546096489828352,1780546097489828352,Active Decode Throughput,tokens/sec,avg,878.96
0,1780546096489828352,1780546097489828352,Active Decode Throughput,tokens/sec,min,0.00
0,1780546096489828352,1780546097489828352,Active Decode Throughput,tokens/sec,max,4121.98
0,1780546096489828352,1780546097489828352,Active Decode Throughput,tokens/sec,p50,299.22
0,1780546096489828352,1780546097489828352,Active Decode Throughput,tokens/sec,p90,1848.81
0,1780546096489828352,1780546097489828352,Active Decode Throughput,tokens/sec,p95,1888.03
0,1780546096489828352,1780546097489828352,Active Decode Throughput,tokens/sec,p99,2441.80
0,1780546096489828352,1780546097489828352,Active Decode Throughput,tokens/sec,std,710.51
0,1780546096489828352,1780546097489828352,Active Decode Throughput Per User,tokens/sec/user,avg,495.48
0,1780546096489828352,1780546097489828352,Active Decode Throughput Per User,tokens/sec/user,min,0.00
0,1780546096489828352,1780546097489828352,Active Decode Throughput Per User,tokens/sec/user,max,2060.99
0,1780546096489828352,1780546097489828352,Active Decode Throughput Per User,tokens/sec/user,p50,299.22
0,1780546096489828352,1780546097489828352,Active Decode Throughput Per User,tokens/sec/user,p90,924.41
0,1780546096489828352,1780546097489828352,Active Decode Throughput Per User,tokens/sec/user,p95,944.02
0,1780546096489828352,1780546097489828352,Active Decode Throughput Per User,tokens/sec/user,p99,1220.90
0,1780546096489828352,1780546097489828352,Active Decode Throughput Per User,tokens/sec/user,std,314.48
0,1780546096489828352,1780546097489828352,Active Prefill Throughput,tokens/sec,avg,187856.14
0,1780546096489828352,1780546097489828352,Active Prefill Throughput,tokens/sec,min,86537.83
0,1780546096489828352,1780546097489828352,Active Prefill Throughput,tokens/sec,max,299253.51
0,1780546096489828352,1780546097489828352,Active Prefill Throughput,tokens/sec,p50,212715.67
0,1780546096489828352,1780546097489828352,Active Prefill Throughput,tokens/sec,p90,299253.51
0,1780546096489828352,1780546097489828352,Active Prefill Throughput,tokens/sec,p95,299253.51
0,1780546096489828352,1780546097489828352,Active Prefill Throughput,tokens/sec,p99,299253.51
0,1780546096489828352,1780546097489828352,Active Prefill Throughput,tokens/sec,std,61560.40
0,1780546096489828352,1780546097489828352,Active Prefill Throughput Per User,tokens/sec/user,avg,172176.78
0,1780546096489828352,1780546097489828352,Active Prefill Throughput Per User,tokens/sec/user,min,86537.83
0,1780546096489828352,1780546097489828352,Active Prefill Throughput Per User,tokens/sec/user,max,212715.67
0,1780546096489828352,1780546097489828352,Active Prefill Throughput Per User,tokens/sec/user,p50,212715.67
0,1780546096489828352,1780546097489828352,Active Prefill Throughput Per User,tokens/sec/user,p90,212715.67
0,1780546096489828352,1780546097489828352,Active Prefill Throughput Per User,tokens/sec/user,p95,212715.67
0,1780546096489828352,1780546097489828352,Active Prefill Throughput Per User,tokens/sec/user,p99,212715.67
0,1780546096489828352,1780546097489828352,Active Prefill Throughput Per User,tokens/sec/user,std,48955.22
0,1780546096489828352,1780546097489828352,Active Total Throughput,tokens/sec,avg,165644.14
0,1780546096489828352,1780546097489828352,Active Total Throughput,tokens/sec,min,161.88
0,1780546096489828352,1780546097489828352,Active Total Throughput,tokens/sec,max,299253.51
0,1780546096489828352,1780546097489828352,Active Total Throughput,tokens/sec,p50,212715.67
0,1780546096489828352,1780546097489828352,Active Total Throughput,tokens/sec,p90,212715.67
0,1780546096489828352,1780546097489828352,Active Total Throughput,tokens/sec,p95,299253.51
0,1780546096489828352,1780546097489828352,Active Total Throughput,tokens/sec,p99,299253.51
0,1780546096489828352,1780546097489828352,Active Total Throughput,tokens/sec,std,83776.19
0,1780546096489828352,1780546097489828352,Benchmark Duration,sec,avg,8.93
0,1780546096489828352,1780546097489828352,Credit Drop Latency,ms,avg,1.48
0,1780546096489828352,1780546097489828352,Credit Drop Latency,ms,min,1.48
0,1780546096489828352,1780546097489828352,Credit Drop Latency,ms,max,1.48
0,1780546096489828352,1780546097489828352,Credit Drop Latency,ms,sum,1.48
0,1780546096489828352,1780546097489828352,Credit Drop Latency,ms,p1,1.48
0,1780546096489828352,1780546097489828352,Credit Drop Latency,ms,p5,1.48
0,1780546096489828352,1780546097489828352,Credit Drop Latency,ms,p10,1.48
0,1780546096489828352,1780546097489828352,Credit Drop Latency,ms,p25,1.48
0,1780546096489828352,1780546097489828352,Credit Drop Latency,ms,p50,1.48
0,1780546096489828352,1780546097489828352,Credit Drop Latency,ms,p75,1.48
0,1780546096489828352,1780546097489828352,Credit Drop Latency,ms,p90,1.48
0,1780546096489828352,1780546097489828352,Credit Drop Latency,ms,p95,1.48
0,1780546096489828352,1780546097489828352,Credit Drop Latency,ms,p99,1.48
0,1780546096489828352,1780546097489828352,Credit Drop Latency,ms,std,0.00
0,1780546096489828352,1780546097489828352,E2E Output Token Throughput,tokens/sec/user,avg,75.45
0,1780546096489828352,1780546097489828352,E2E Output Token Throughput,tokens/sec/user,min,70.68
0,1780546096489828352,1780546097489828352,E2E Output Token Throughput,tokens/sec/user,max,79.83
0,1780546096489828352,1780546097489828352,E2E Output Token Throughput,tokens/sec/user,sum,226.35
0,1780546096489828352,1780546097489828352,E2E Output Token Throughput,tokens/sec/user,p1,70.78
0,1780546096489828352,1780546097489828352,E2E Output Token Throughput,tokens/sec/user,p5,71.19
0,1780546096489828352,1780546097489828352,E2E Output Token Throughput,tokens/sec/user,p10,71.71
0,1780546096489828352,1780546097489828352,E2E Output Token Throughput,tokens/sec/user,p25,73.26
0,1780546096489828352,1780546097489828352,E2E Output Token Throughput,tokens/sec/user,p50,75.85
0,1780546096489828352,1780546097489828352,E2E Output Token Throughput,tokens/sec/user,p75,77.84
0,1780546096489828352,1780546097489828352,E2E Output Token Throughput,tokens/sec/user,p90,79.03
0,1780546096489828352,1780546097489828352,E2E Output Token Throughput,tokens/sec/user,p95,79.43
0,1780546096489828352,1780546097489828352,E2E Output Token Throughput,tokens/sec/user,p99,79.75
0,1780546096489828352,1780546097489828352,E2E Output Token Throughput,tokens/sec/user,std,3.75
0,1780546096489828352,1780546097489828352,Effective Concurrency,requests,avg,1.66
0,1780546096489828352,1780546097489828352,Effective Concurrency,requests,min,1.00
0,1780546096489828352,1780546097489828352,Effective Concurrency,requests,max,3.00
0,1780546096489828352,1780546097489828352,Effective Concurrency,requests,p50,2.00
0,1780546096489828352,1780546097489828352,Effective Concurrency,requests,p90,3.00
0,1780546096489828352,1780546097489828352,Effective Concurrency,requests,p95,3.00
0,1780546096489828352,1780546097489828352,Effective Concurrency,requests,p99,3.00
0,1780546096489828352,1780546097489828352,Effective Concurrency,requests,std,0.72
0,1780546096489828352,1780546097489828352,Effective Decode Concurrency,requests,avg,0.69
0,1780546096489828352,1780546097489828352,Effective Decode Concurrency,requests,min,0.00
0,1780546096489828352,1780546097489828352,Effective Decode Concurrency,requests,max,2.00
0,1780546096489828352,1780546097489828352,Effective Decode Concurrency,requests,p50,0.00
0,1780546096489828352,1780546097489828352,Effective Decode Concurrency,requests,p90,2.00
0,1780546096489828352,1780546097489828352,Effective Decode Concurrency,requests,p95,2.00
0,1780546096489828352,1780546097489828352,Effective Decode Concurrency,requests,p99,2.00
0,1780546096489828352,1780546097489828352,Effective Decode Concurrency,requests,std,0.86
0,1780546096489828352,1780546097489828352,Effective Decode Throughput,tokens/sec,avg,372.79
0,1780546096489828352,1780546097489828352,Effective Decode Throughput,tokens/sec,min,0.00
0,1780546096489828352,1780546097489828352,Effective Decode Throughput,tokens/sec,max,4121.98
0,1780546096489828352,1780546097489828352,Effective Decode Throughput,tokens/sec,p50,0.00
0,1780546096489828352,1780546097489828352,Effective Decode Throughput,tokens/sec,p90,1633.92
0,1780546096489828352,1780546097489828352,Effective Decode Throughput,tokens/sec,p95,1846.00
0,1780546096489828352,1780546097489828352,Effective Decode Throughput,tokens/sec,p99,1975.53
0,1780546096489828352,1780546097489828352,Effective Decode Throughput,tokens/sec,std,634.67
0,1780546096489828352,1780546097489828352,Effective Decode Throughput Per User,tokens/sec/user,avg,210.15
0,1780546096489828352,1780546097489828352,Effective Decode Throughput Per User,tokens/sec/user,min,0.00
0,1780546096489828352,1780546097489828352,Effective Decode Throughput Per User,tokens/sec/user,max,2060.99
0,1780546096489828352,1780546097489828352,Effective Decode Throughput Per User,tokens/sec/user,p50,0.00
0,1780546096489828352,1780546097489828352,Effective Decode Throughput Per User,tokens/sec/user,p90,816.96
0,1780546096489828352,1780546097489828352,Effective Decode Throughput Per User,tokens/sec/user,p95,923.00
0,1780546096489828352,1780546097489828352,Effective Decode Throughput Per User,tokens/sec/user,p99,987.77
0,1780546096489828352,1780546097489828352,Effective Decode Throughput Per User,tokens/sec/user,std,319.23
