Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),425.74,0.00,6144.41,,,,,,429.43,,553.64,596.87,712.66,113.16
Active Decode Throughput Per User (tokens/sec/user),50.20,0.00,1693.98,,,,,,47.31,,67.55,74.78,85.57,18.45
Active Prefill Throughput (tokens/sec),130123.46,816.76,398043.27,,,,,,142812.94,,186413.31,225655.67,281344.85,57089.41
Active Prefill Throughput Per User (tokens/sec/user),108250.23,816.76,176535.63,,,,,,128234.34,,159619.49,164246.36,170356.64,51276.17
Active Total Throughput (tokens/sec),38216.72,80.04,398453.64,,,,,,499.67,,152042.86,164183.28,251294.60,66579.49
Credit Drop Latency (ms),9.78,1.73,108.09,244.46,1.76,1.86,1.89,2.15,2.75,7.62,11.66,38.04,92.75,21.75
Credit-to-Start Latency (ms),1.75,0.64,108.50,1429.18,0.72,0.86,0.93,1.06,1.24,1.45,1.75,2.15,10.05,4.96
E2E Output Token Throughput (tokens/sec/user),41.65,0.91,84.89,34069.13,5.44,9.07,15.25,35.90,41.55,51.11,60.03,67.15,73.04,15.41
Effective Concurrency,9.26,1.00,15.00,,,,,,9.00,,12.00,13.00,14.00,2.37
Effective Decode Concurrency,8.81,0.00,15.00,,,,,,9.00,,12.00,13.00,14.00,2.50
Effective Decode Throughput (tokens/sec),423.10,0.00,6144.41,,,,,,429.11,,553.56,595.49,708.05,117.64
Effective Decode Throughput Per User (tokens/sec/user),49.89,0.00,1693.98,,,,,,47.26,,67.54,74.71,85.02,18.81
Effective Latency (CO-aware) (ms),20672.34,311.33,295830.49,16909974.14,514.52,769.18,1038.43,3440.49,9632.23,23415.92,48840.83,79645.14,176204.14,32362.59
Effective Prefill Concurrency,0.45,0.00,9.00,,,,,,0.00,,1.00,2.00,5.00,0.98
Effective Prefill Throughput (tokens/sec),37786.75,0.00,398043.27,,,,,,0.00,,151602.71,163764.89,250869.82,66599.91
Effective Prefill Throughput Per User (tokens/sec/user),31434.95,0.00,176535.63,,,,,,0.00,,144933.18,155553.72,165636.48,56375.48
Effective Total Throughput (tokens/sec),38216.72,80.04,398453.64,,,,,,499.67,,152042.86,164183.28,251294.60,66579.49
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,49.48,2.00,655.00,40475.00,2.00,2.00,2.00,8.00,22.00,57.75,122.00,177.30,415.47,76.54
HTTP Chunks Sent,1.00,1.00,1.00,818.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.32,0.00,1.14,258.07,0.00,0.00,0.00,0.00,0.38,0.51,0.60,0.74,0.91,0.27
HTTP Connection Overhead (ms),0.35,0.00,1.65,283.08,0.00,0.00,0.00,0.00,0.38,0.51,0.70,1.07,1.32,0.33
HTTP Connection Reused (ratio),0.37,0.00,1.00,299.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.48
HTTP Data Received (KB),17.71,1.16,228.31,14485.30,1.17,1.19,1.22,3.27,8.24,20.51,42.73,62.56,143.99,26.49
HTTP Data Sent (KB),333.61,1.45,1019.50,272890.22,1.81,91.64,137.00,198.24,334.02,421.61,537.41,625.42,960.43,183.03
HTTP DNS Lookup (ms),0.03,0.00,0.57,25.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.42,0.10
HTTP Duration (excl. conn) (ms),20670.52,302.01,295828.34,16908482.00,508.42,767.64,1036.64,3439.29,9630.81,23414.86,48839.49,79643.75,176202.30,32362.65
HTTP Receiving (ms),19670.57,63.53,287242.28,16090529.15,82.32,177.38,292.63,2782.78,8631.49,21866.73,48132.50,78310.32,174062.26,32208.08
HTTP Sending (ms),0.50,0.10,1.25,407.03,0.13,0.14,0.15,0.18,0.56,0.69,0.82,0.93,1.11,0.28
HTTP Total Time (ms),20670.86,302.01,295828.87,16908765.08,508.86,767.64,1036.78,3439.63,9631.52,23415.24,48839.99,79644.95,176202.71,32362.68
