Timeslice,Start_NS,End_NS,Metric,Unit,Stat,Value
0,1780443586766876416,1780443587766876416,Active Decode Throughput,tokens/sec,avg,0.00
0,1780443586766876416,1780443587766876416,Active Decode Throughput,tokens/sec,min,0.00
0,1780443586766876416,1780443587766876416,Active Decode Throughput,tokens/sec,max,0.00
0,1780443586766876416,1780443587766876416,Active Decode Throughput,tokens/sec,p50,0.00
0,1780443586766876416,1780443587766876416,Active Decode Throughput,tokens/sec,p90,0.00
0,1780443586766876416,1780443587766876416,Active Decode Throughput,tokens/sec,p95,0.00
0,1780443586766876416,1780443587766876416,Active Decode Throughput,tokens/sec,p99,0.00
0,1780443586766876416,1780443587766876416,Active Decode Throughput,tokens/sec,std,0.00
0,1780443586766876416,1780443587766876416,Active Decode Throughput Per User,tokens/sec/user,avg,0.00
0,1780443586766876416,1780443587766876416,Active Decode Throughput Per User,tokens/sec/user,min,0.00
0,1780443586766876416,1780443587766876416,Active Decode Throughput Per User,tokens/sec/user,max,0.00
0,1780443586766876416,1780443587766876416,Active Decode Throughput Per User,tokens/sec/user,p50,0.00
0,1780443586766876416,1780443587766876416,Active Decode Throughput Per User,tokens/sec/user,p90,0.00
0,1780443586766876416,1780443587766876416,Active Decode Throughput Per User,tokens/sec/user,p95,0.00
0,1780443586766876416,1780443587766876416,Active Decode Throughput Per User,tokens/sec/user,p99,0.00
0,1780443586766876416,1780443587766876416,Active Decode Throughput Per User,tokens/sec/user,std,0.00
0,1780443586766876416,1780443587766876416,Active Prefill Throughput,tokens/sec,avg,3366.55
0,1780443586766876416,1780443587766876416,Active Prefill Throughput,tokens/sec,min,3366.55
0,1780443586766876416,1780443587766876416,Active Prefill Throughput,tokens/sec,max,3366.55
0,1780443586766876416,1780443587766876416,Active Prefill Throughput,tokens/sec,p50,3366.55
0,1780443586766876416,1780443587766876416,Active Prefill Throughput,tokens/sec,p90,3366.55
0,1780443586766876416,1780443587766876416,Active Prefill Throughput,tokens/sec,p95,3366.55
0,1780443586766876416,1780443587766876416,Active Prefill Throughput,tokens/sec,p99,3366.55
0,1780443586766876416,1780443587766876416,Active Prefill Throughput,tokens/sec,std,0.00
0,1780443586766876416,1780443587766876416,Active Prefill Throughput Per User,tokens/sec/user,avg,3366.55
0,1780443586766876416,1780443587766876416,Active Prefill Throughput Per User,tokens/sec/user,min,3366.55
0,1780443586766876416,1780443587766876416,Active Prefill Throughput Per User,tokens/sec/user,max,3366.55
0,1780443586766876416,1780443587766876416,Active Prefill Throughput Per User,tokens/sec/user,p50,3366.55
0,1780443586766876416,1780443587766876416,Active Prefill Throughput Per User,tokens/sec/user,p90,3366.55
0,1780443586766876416,1780443587766876416,Active Prefill Throughput Per User,tokens/sec/user,p95,3366.55
0,1780443586766876416,1780443587766876416,Active Prefill Throughput Per User,tokens/sec/user,p99,3366.55
0,1780443586766876416,1780443587766876416,Active Prefill Throughput Per User,tokens/sec/user,std,0.00
0,1780443586766876416,1780443587766876416,Active Total Throughput,tokens/sec,avg,3366.55
0,1780443586766876416,1780443587766876416,Active Total Throughput,tokens/sec,min,3366.55
0,1780443586766876416,1780443587766876416,Active Total Throughput,tokens/sec,max,3366.55
0,1780443586766876416,1780443587766876416,Active Total Throughput,tokens/sec,p50,3366.55
0,1780443586766876416,1780443587766876416,Active Total Throughput,tokens/sec,p90,3366.55
0,1780443586766876416,1780443587766876416,Active Total Throughput,tokens/sec,p95,3366.55
0,1780443586766876416,1780443587766876416,Active Total Throughput,tokens/sec,p99,3366.55
0,1780443586766876416,1780443587766876416,Active Total Throughput,tokens/sec,std,0.00
0,1780443586766876416,1780443587766876416,Benchmark Duration,sec,avg,23.36
0,1780443586766876416,1780443587766876416,E2E Output Token Throughput,tokens/sec/user,avg,8.52
0,1780443586766876416,1780443587766876416,E2E Output Token Throughput,tokens/sec/user,min,8.52
0,1780443586766876416,1780443587766876416,E2E Output Token Throughput,tokens/sec/user,max,8.52
0,1780443586766876416,1780443587766876416,E2E Output Token Throughput,tokens/sec/user,sum,8.52
0,1780443586766876416,1780443587766876416,E2E Output Token Throughput,tokens/sec/user,p1,8.52
0,1780443586766876416,1780443587766876416,E2E Output Token Throughput,tokens/sec/user,p5,8.52
0,1780443586766876416,1780443587766876416,E2E Output Token Throughput,tokens/sec/user,p10,8.52
0,1780443586766876416,1780443587766876416,E2E Output Token Throughput,tokens/sec/user,p25,8.52
0,1780443586766876416,1780443587766876416,E2E Output Token Throughput,tokens/sec/user,p50,8.52
0,1780443586766876416,1780443587766876416,E2E Output Token Throughput,tokens/sec/user,p75,8.52
0,1780443586766876416,1780443587766876416,E2E Output Token Throughput,tokens/sec/user,p90,8.52
0,1780443586766876416,1780443587766876416,E2E Output Token Throughput,tokens/sec/user,p95,8.52
0,1780443586766876416,1780443587766876416,E2E Output Token Throughput,tokens/sec/user,p99,8.52
0,1780443586766876416,1780443587766876416,E2E Output Token Throughput,tokens/sec/user,std,0.00
