Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),279.24,0.00,9478.84,,,,,,284.81,,421.01,464.77,543.30,112.84
Active Decode Throughput Per User (tokens/sec/user),29.94,0.00,3159.61,,,,,,29.74,,39.82,43.83,58.05,17.31
Active Prefill Throughput (tokens/sec),55486.77,1291.29,262464.32,,,,,,55635.33,,107619.61,124094.00,176802.32,38899.81
Active Prefill Throughput Per User (tokens/sec/user),38388.41,1291.29,191456.15,,,,,,38542.59,,76478.01,83372.25,119822.55,30579.62
Active Total Throughput (tokens/sec),28598.59,49.36,262724.51,,,,,,6203.49,,83318.58,109659.12,153125.51,39248.11
Credit Drop Latency (ms),10.38,2.28,54.98,134.99,2.34,2.57,2.78,3.75,5.06,10.63,16.45,31.90,50.37,13.68
Credit-to-Start Latency (ms),2.40,0.87,99.55,1356.94,0.95,1.10,1.14,1.26,1.54,1.75,2.06,3.54,21.53,5.99
E2E Output Token Throughput (tokens/sec/user),25.11,0.22,56.10,14188.98,1.71,4.10,6.71,18.79,27.56,32.43,36.73,39.62,47.52,10.88
Effective Concurrency,10.86,1.00,17.00,,,,,,11.00,,14.00,15.00,16.00,2.78
Effective Decode Concurrency,9.49,0.00,16.00,,,,,,10.00,,13.00,14.00,15.00,2.67
Effective Decode Throughput (tokens/sec),279.14,0.00,9478.84,,,,,,284.70,,421.01,464.76,543.30,112.94
Effective Decode Throughput Per User (tokens/sec/user),29.93,0.00,3159.61,,,,,,29.74,,39.82,43.83,58.05,17.32
Effective Latency (CO-aware) (ms),35063.23,524.45,406706.79,19810725.83,791.28,1561.41,1959.22,5532.56,16331.44,41706.25,91704.47,135072.03,241065.65,49449.70
Effective Prefill Concurrency,1.37,0.00,11.00,,,,,,1.00,,4.00,7.00,10.00,2.19
Effective Prefill Throughput (tokens/sec),28315.02,0.00,262464.32,,,,,,6062.47,,82874.36,109415.11,152900.52,39262.65
Effective Prefill Throughput Per User (tokens/sec/user),19589.69,0.00,191456.15,,,,,,1886.91,,66316.15,76480.19,111772.26,29076.65
Effective Total Throughput (tokens/sec),28598.59,49.36,262724.51,,,,,,6203.49,,83318.58,109659.12,153125.51,39248.11
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,913.34,2.00,10401.00,516039.00,6.00,10.00,14.00,122.00,409.00,1095.00,2397.60,3645.40,6920.44,1350.41
HTTP Chunks Sent,1.00,1.00,1.00,565.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.51,0.00,1.55,285.71,0.00,0.00,0.00,0.00,0.61,0.69,1.05,1.13,1.33,0.39
HTTP Connection Overhead (ms),0.58,0.00,1.99,327.18,0.00,0.00,0.00,0.00,0.61,0.69,1.51,1.60,1.84,0.52
HTTP Connection Reused (ratio),0.33,0.00,1.00,184.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.47
HTTP Data Received (KB),224.89,1.09,2548.16,127061.23,2.07,3.04,4.04,30.53,101.20,269.55,587.45,896.22,1699.11,331.92
HTTP Data Sent (KB),361.12,1.55,1008.83,204034.23,1.98,130.41,155.16,197.27,349.56,470.78,591.97,770.36,970.82,202.48
HTTP DNS Lookup (ms),0.07,0.00,0.62,41.47,0.00,0.00,0.00,0.00,0.00,0.00,0.46,0.49,0.54,0.17
HTTP Duration (excl. conn) (ms),35060.72,502.44,406705.14,19809307.63,786.91,1559.57,1957.45,5531.42,16329.68,41704.99,91690.06,135069.51,241063.71,49449.80
HTTP Receiving (ms),30641.92,26.41,404598.32,17312684.42,109.56,230.82,465.55,3426.55,13081.56,35028.48,79953.85,132492.33,235708.22,47462.11
HTTP Sending (ms),0.77,0.17,1.78,435.90,0.21,0.22,0.23,0.27,0.87,0.97,1.33,1.41,1.70,0.41
HTTP Total Time (ms),35061.30,502.44,406705.78,19809634.81,786.91,1560.02,1957.79,5531.42,16330.30,41704.99,91691.16,135071.13,241064.82,49449.91
HTTP Waiting (TTFB) (ms),4418.03,255.17,69336.03,2496187.31,267.02,602.03,705.20,1024.24,1554.46,2615.52,5897.74,17398.53,58091.44,10568.37
Input Sequence Length (tokens),91406.28,401.00,256171.00,51644550.00,465.00,33106.40,39249.40,49854.00,87938.00,118979.00,149820.60,195638.00,246249.76,51319.99
Inter Chunk Latency (ms),33.64,0.00,4066.24,17312282.38,11.65,16.87,17.99,21.38,23.55,24.94,26.44,28.59,327.11,122.32
Inter Token Latency (ms),36.66,14.13,1032.63,20713.75,17.44,20.21,22.54,24.97,29.00,33.86,45.35,65.46,168.96,52.37
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),916.43,2.00,10455.00,517783.00,6.00,10.00,14.00,122.00,416.00,1098.00,2402.60,3656.40,6936.32,1354.79
Output Token Count (tokens),916.43,2.00,10455.00,517783.00,6.00,10.00,14.00,122.00,416.00,1098.00,2402.60,3656.40,6936.32,1354.79
Output Token Throughput Per User (tokens/sec/user),34.17,0.97,70.75,19308.37,5.98,15.28,22.05,29.54,34.48,40.04,44.37,49.49,57.35,9.92
Prefill Throughput Per User (tokens/sec/user),53243.67,444.21,191456.20,30082676.21,957.98,3827.02,11023.37,32257.21,56667.13,70416.87,84713.99,106769.70,124242.56,29587.51
Request Latency (ms),35060.77,502.55,406705.24,19809334.65,787.02,1559.67,1957.56,5531.52,16329.78,41705.08,91690.19,135069.62,241063.81,49449.82
Requested OSL (tokens),916.43,2.00,10455.00,517783.00,6.00,10.00,14.00,122.00,416.00,1098.00,2402.60,3656.40,6936.32,1354.79
Time to First Output Token (ms),4419.56,255.49,69336.99,2497052.27,267.40,603.09,706.22,1025.25,1557.01,2616.46,5898.54,17399.52,58092.70,10568.23
Time to First Token (ms),4419.56,255.49,69336.99,2497052.27,267.40,603.09,706.22,1025.25,1557.01,2616.46,5898.54,17399.52,58092.70,10568.23
Time to Second Token (ms),107.62,1.20,2013.40,60803.15,11.25,16.04,17.59,21.57,23.28,27.34,307.10,539.40,1669.62,270.65
Tokens In Flight (tokens),1294443.42,61320.04,1992442.31,,,,,,1308794.47,,1731354.74,1838170.49,1986242.87,341925.09
Usage Completion Tokens (tokens),916.43,2.00,10455.00,517783.00,6.00,10.00,14.00,122.00,416.00,1098.00,2402.60,3656.40,6936.32,1354.79
Usage Prompt Tokens (tokens),91406.28,401.00,256171.00,51644550.00,465.00,33106.40,39249.40,49854.00,87938.00,118979.00,149820.60,195638.00,246249.76,51319.99
Usage Total Tokens (tokens),92322.71,419.00,257242.00,52162333.00,484.12,33443.00,40015.60,50824.00,88277.00,119451.00,151838.40,199592.00,248970.96,51785.35

Metric,Value
Benchmark Duration (sec),1823.93
Input Token Throughput (tokens/sec),28315.02
Maximum Response Timestamp (ns),1780476100395789312.00
Minimum Request Timestamp (ns),1780474276468060416.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),283.88
Request Count,565.00
Request Throughput (requests/sec),0.31
Theoretical Prefix Cache Hit (%),94.69
Total Input Sequence Length (tokens),51644550.00
Total Output Sequence Length (tokens),517783.00
Total Output Tokens (tokens),517783.00
Total Token Throughput (tokens/sec),28598.90
Total Usage Completion Tokens (tokens),517783.00
Total Usage Prompt Tokens (tokens),51644550.00
Total Usage Total Tokens (tokens),52162333.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
