Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),291.64,0.00,12787.22,,,,,,310.22,,457.71,531.20,691.88,154.53
Active Decode Throughput Per User (tokens/sec/user),10.56,0.00,2557.44,,,,,,10.64,,15.60,18.59,28.51,7.09
Active Prefill Throughput (tokens/sec),47772.44,964.06,322328.52,,,,,,37481.78,,101880.20,125121.56,169947.33,37790.62
Active Prefill Throughput Per User (tokens/sec/user),22442.44,964.06,141218.79,,,,,,16383.76,,52123.11,60655.86,80031.31,20885.71
Active Total Throughput (tokens/sec),39103.83,26.01,322550.11,,,,,,27771.35,,93920.01,118953.62,164767.73,38840.77
Credit Drop Latency (ms),13.24,1.11,52.97,211.91,1.21,1.64,2.00,2.64,4.37,18.20,39.55,47.42,51.86,16.23
Credit-to-Start Latency (ms),2.58,0.75,105.30,2070.52,1.02,1.11,1.17,1.29,1.49,1.76,2.24,4.61,33.85,6.44
E2E Output Token Throughput (tokens/sec/user),10.18,0.06,21.98,8187.66,0.61,2.50,3.67,7.00,10.42,13.21,15.63,17.52,19.87,4.46
Effective Concurrency,30.20,1.00,40.00,,,,,,31.00,,36.00,38.00,40.00,5.59
Effective Decode Concurrency,27.25,0.00,38.00,,,,,,29.00,,34.00,35.00,36.00,5.99
Effective Decode Throughput (tokens/sec),291.50,0.00,12787.22,,,,,,310.21,,457.71,531.20,691.87,154.62
Effective Decode Throughput Per User (tokens/sec/user),10.55,0.00,2557.44,,,,,,10.63,,15.60,18.59,28.51,7.10
Effective Latency (CO-aware) (ms),68719.91,836.16,899272.03,55250807.49,1554.84,3634.74,6903.70,14836.15,32672.34,81963.30,164880.96,247678.02,519704.27,99355.52
Effective Prefill Concurrency,2.95,0.00,13.00,,,,,,2.00,,7.00,9.00,11.00,2.73
Effective Prefill Throughput (tokens/sec),38801.46,0.00,322328.52,,,,,,27413.89,,93652.41,118617.93,164505.14,38833.43
Effective Prefill Throughput Per User (tokens/sec/user),18228.07,0.00,141218.79,,,,,,7080.18,,49545.22,58125.08,76462.10,20763.38
Effective Total Throughput (tokens/sec),39103.83,26.01,322550.11,,,,,,27771.35,,93920.01,118953.62,164767.73,38840.77
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,688.53,5.00,10562.00,553579.00,6.00,12.00,56.30,131.00,298.50,819.00,1660.20,2611.60,6053.74,1071.36
HTTP Chunks Sent,1.00,1.00,1.00,804.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.49,0.00,1.50,390.35,0.00,0.00,0.00,0.00,0.60,0.71,1.07,1.16,1.38,0.42
HTTP Connection Overhead (ms),0.57,0.00,2.16,459.61,0.00,0.00,0.00,0.00,0.60,0.71,1.53,1.66,1.97,0.57
HTTP Connection Reused (ratio),0.38,0.00,1.00,303.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.48
HTTP Data Received (KB),169.37,1.82,2588.31,136176.00,2.07,3.54,14.46,32.78,73.93,201.39,406.48,640.55,1484.53,262.58
HTTP Data Sent (KB),348.57,1.50,975.75,280248.41,1.85,94.81,146.76,202.30,312.28,459.94,617.15,748.58,930.08,191.96
HTTP DNS Lookup (ms),0.09,0.00,0.68,69.26,0.00,0.00,0.00,0.00,0.00,0.00,0.46,0.50,0.60,0.19
HTTP Duration (excl. conn) (ms),68717.23,807.21,899256.75,55248649.77,1553.48,3633.37,6902.36,14834.35,32671.16,81961.90,164879.38,247655.01,519699.81,99355.01
HTTP Receiving (ms),62001.33,149.80,897659.31,49849066.38,293.43,737.77,3293.47,10223.04,24796.87,75392.82,153611.07,243727.48,511645.33,98486.02
HTTP Sending (ms),0.75,0.15,1.89,606.90,0.21,0.22,0.23,0.26,0.86,1.00,1.36,1.45,1.74,0.44
HTTP Total Time (ms),68717.80,807.21,899258.71,55249109.38,1553.50,3634.12,6902.36,14834.69,32671.90,81962.06,164880.34,247656.89,519700.59,99355.10
HTTP Waiting (TTFB) (ms),6715.14,223.06,102322.30,5398976.49,341.36,827.98,967.75,1579.14,2644.56,5366.60,16192.98,28942.97,63859.91,12199.20
Input Sequence Length (tokens),88298.74,401.00,247911.00,70992183.00,405.00,23874.00,36924.40,51020.75,79648.50,116588.50,156384.00,190175.00,236194.67,48688.83
Inter Chunk Latency (ms),90.36,0.09,5295.86,49849011.46,20.12,31.04,34.12,37.90,40.47,46.34,59.12,261.26,1368.74,268.82
Inter Token Latency (ms),92.69,22.24,1914.45,74524.78,37.94,42.25,47.55,60.32,77.79,98.65,133.16,174.60,366.77,90.58
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),689.10,5.00,10571.00,554037.00,6.00,12.00,59.30,131.00,299.00,819.00,1662.50,2612.90,6058.74,1072.21
Output Token Count (tokens),689.10,5.00,10571.00,554037.00,6.00,12.00,59.30,131.00,299.00,819.00,1662.50,2612.90,6058.74,1072.21
