Timeslice,Start_NS,End_NS,Metric,Unit,Stat,Value
0,1780470707456185856,1780470708456185856,Active Decode Throughput,tokens/sec,avg,0.00
0,1780470707456185856,1780470708456185856,Active Decode Throughput,tokens/sec,min,0.00
0,1780470707456185856,1780470708456185856,Active Decode Throughput,tokens/sec,max,0.00
0,1780470707456185856,1780470708456185856,Active Decode Throughput,tokens/sec,p50,0.00
0,1780470707456185856,1780470708456185856,Active Decode Throughput,tokens/sec,p90,0.00
0,1780470707456185856,1780470708456185856,Active Decode Throughput,tokens/sec,p95,0.00
0,1780470707456185856,1780470708456185856,Active Decode Throughput,tokens/sec,p99,0.00
0,1780470707456185856,1780470708456185856,Active Decode Throughput,tokens/sec,std,0.00
0,1780470707456185856,1780470708456185856,Active Decode Throughput Per User,tokens/sec/user,avg,0.00
0,1780470707456185856,1780470708456185856,Active Decode Throughput Per User,tokens/sec/user,min,0.00
0,1780470707456185856,1780470708456185856,Active Decode Throughput Per User,tokens/sec/user,max,0.00
0,1780470707456185856,1780470708456185856,Active Decode Throughput Per User,tokens/sec/user,p50,0.00
0,1780470707456185856,1780470708456185856,Active Decode Throughput Per User,tokens/sec/user,p90,0.00
0,1780470707456185856,1780470708456185856,Active Decode Throughput Per User,tokens/sec/user,p95,0.00
0,1780470707456185856,1780470708456185856,Active Decode Throughput Per User,tokens/sec/user,p99,0.00
0,1780470707456185856,1780470708456185856,Active Decode Throughput Per User,tokens/sec/user,std,0.00
0,1780470707456185856,1780470708456185856,Active Prefill Throughput,tokens/sec,avg,191436.09
0,1780470707456185856,1780470708456185856,Active Prefill Throughput,tokens/sec,min,84520.19
0,1780470707456185856,1780470708456185856,Active Prefill Throughput,tokens/sec,max,229022.69
0,1780470707456185856,1780470708456185856,Active Prefill Throughput,tokens/sec,p50,229022.69
0,1780470707456185856,1780470708456185856,Active Prefill Throughput,tokens/sec,p90,229022.69
0,1780470707456185856,1780470708456185856,Active Prefill Throughput,tokens/sec,p95,229022.69
0,1780470707456185856,1780470708456185856,Active Prefill Throughput,tokens/sec,p99,229022.69
