Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),102.94,0.00,22146.31,,,,,,94.56,,195.29,210.86,217.59,97.13
Active Decode Throughput Per User (tokens/sec/user),82.42,0.00,22146.31,,,,,,87.74,,134.24,142.04,217.27,85.37
Active Prefill Throughput (tokens/sec),34714.53,1092.06,203944.20,,,,,,14016.91,,107752.87,128988.06,162236.67,43140.24
Active Prefill Throughput Per User (tokens/sec/user),31756.94,950.65,180932.86,,,,,,9943.26,,106725.51,126692.36,162236.67,43211.77
Active Total Throughput (tokens/sec),10295.24,40.45,203944.20,,,,,,101.87,,27128.25,89179.85,134792.98,28200.78
Credit Drop Latency (ms),12.42,1.67,91.70,211.13,1.69,1.78,1.92,5.46,7.55,9.63,14.20,30.00,79.36,20.17
Credit-to-Start Latency (ms),2.84,0.59,93.56,707.32,0.84,1.00,1.06,1.15,1.28,1.46,2.46,15.27,26.00,7.24
E2E Output Token Throughput (tokens/sec/user),58.72,1.17,110.96,14621.37,2.91,9.76,19.01,39.09,62.99,79.09,91.39,95.59,104.71,26.60
Effective Concurrency,1.16,0.00,6.00,,,,,,1.00,,3.00,4.00,6.00,1.26
Effective Decode Concurrency,0.83,0.00,2.00,,,,,,1.00,,2.00,2.00,2.00,0.72
Effective Decode Throughput (tokens/sec),70.18,0.00,22146.31,,,,,,75.51,,189.03,199.99,215.78,90.70
Effective Decode Throughput Per User (tokens/sec/user),52.83,0.00,22146.31,,,,,,43.72,,108.38,138.76,192.65,78.96
Effective Latency (CO-aware) (ms),8428.68,230.02,115002.35,2098741.29,350.11,620.97,1158.70,1629.48,3456.38,7089.33,15202.07,35065.93,89381.51,16013.75
Effective Prefill Concurrency,0.33,0.00,6.00,,,,,,0.00,,1.00,2.00,4.00,0.82
Effective Prefill Throughput (tokens/sec),7000.98,0.00,203944.20,,,,,,0.00,,14016.91,48436.85,129370.22,23861.08
Effective Prefill Throughput Per User (tokens/sec/user),6404.51,0.00,180932.86,,,,,,0.00,,10105.79,47413.86,126692.36,23215.19
Effective Total Throughput (tokens/sec),7071.58,0.00,203944.20,,,,,,94.72,,14016.91,48594.27,129454.83,23854.98
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,510.40,1.00,9358.00,127090.00,3.96,12.00,47.40,101.00,157.00,346.00,1037.60,2286.60,6611.72,1168.98
HTTP Chunks Sent,1.00,1.00,1.00,249.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.29,0.00,6.07,73.03,0.00,0.00,0.00,0.00,0.00,0.62,0.76,1.14,2.85,0.67
HTTP Connection Overhead (ms),0.32,0.00,6.07,79.18,0.00,0.00,0.00,0.00,0.00,0.62,0.76,1.51,3.94,0.75
HTTP Connection Reused (ratio),0.70,0.00,1.00,175.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.46
HTTP Data Received (KB),127.27,0.87,2305.02,31689.76,1.60,3.61,12.41,25.77,39.75,86.79,258.69,565.86,1637.96,289.42
HTTP Data Sent (KB),197.43,1.68,465.97,49159.77,2.09,66.06,83.44,135.96,201.45,247.77,287.10,330.59,461.42,90.05
HTTP DNS Lookup (ms),0.02,0.00,2.10,6.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.55,0.16
HTTP Duration (excl. conn) (ms),8425.74,220.18,114981.78,2098009.12,327.36,619.53,1157.05,1628.16,3455.03,7087.80,15180.14,35064.38,89380.17,16013.16
HTTP Receiving (ms),5994.09,0.00,110840.29,1492529.15,20.51,99.00,503.27,1085.14,1861.36,4357.85,10436.45,25538.15,82701.32,14132.45
HTTP Sending (ms),0.53,0.09,6.24,131.70,0.14,0.20,0.21,0.22,0.24,0.87,1.07,1.37,2.95,0.67
HTTP Total Time (ms),8426.06,220.18,114981.78,2098088.30,327.36,619.53,1158.46,1628.16,3455.63,7087.80,15180.96,35064.38,89380.17,16013.19
HTTP Waiting (TTFB) (ms),2431.12,83.70,61124.56,605348.28,119.06,270.95,366.75,462.99,603.66,1519.92,5011.47,9597.95,31530.12,6252.27
Input Sequence Length (tokens),50852.39,432.00,119005.00,12662246.00,490.00,17131.40,21405.20,34971.00,51772.00,64199.00,74129.80,84285.40,117802.60,23096.78
Inter Chunk Latency (ms),13.10,0.05,1325.16,1492437.27,0.81,7.44,9.09,10.05,11.32,13.16,22.04,23.65,28.27,16.68
Inter Token Latency (ms),11.17,0.00,41.17,2781.70,2.77,7.29,8.79,9.43,11.31,12.40,13.66,15.57,22.11,3.43
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),513.88,6.00,9379.00,127956.00,7.44,15.00,51.00,102.00,159.00,349.00,1041.40,2294.00,6641.32,1171.91
Output Token Count (tokens),513.88,6.00,9379.00,127956.00,7.44,15.00,51.00,102.00,159.00,349.00,1041.40,2294.00,6641.32,1171.91
Output Token Throughput Per User (tokens/sec/user),119.58,24.29,5858.05,29655.06,45.24,64.18,73.22,80.61,88.18,105.77,113.79,133.43,322.02,366.94
Prefill Throughput Per User (tokens/sec/user),73867.39,548.50,180932.98,18392979.40,1147.81,2884.98,5650.81,24430.19,85057.12,109713.07,132118.24,144254.69,168049.43,48015.66
Request Latency (ms),8425.48,220.28,114981.87,2097944.07,327.47,619.64,1157.15,1628.25,3445.74,7087.91,15180.19,35059.12,89370.49,16012.65
Requested OSL (tokens),513.88,6.00,9379.00,127956.00,7.44,15.00,51.00,102.00,159.00,349.00,1041.40,2294.00,6641.32,1171.91
Time to First Output Token (ms),2431.75,84.03,61124.86,605506.80,119.37,271.28,367.07,463.29,603.98,1520.25,5011.92,9599.09,31532.09,6252.36
Time to First Token (ms),2431.75,84.03,61124.86,605506.80,119.37,271.28,367.07,463.29,603.98,1520.25,5011.92,9599.09,31532.09,6252.36
Time to Second Token (ms),1.53,0.08,142.35,378.26,0.12,0.17,0.22,0.28,0.39,0.48,0.63,3.14,20.49,9.53
Tokens In Flight (tokens),69452.69,0.00,292544.00,,,,,,63009.52,,174103.00,211152.89,290497.17,69058.14
