Timeslice,Start_NS,End_NS,Metric,Unit,Stat,Value
0,1780551125214909184,1780551126214909184,Active Decode Throughput,tokens/sec,avg,193.74
0,1780551125214909184,1780551126214909184,Active Decode Throughput,tokens/sec,min,0.00
0,1780551125214909184,1780551126214909184,Active Decode Throughput,tokens/sec,max,22146.31
0,1780551125214909184,1780551126214909184,Active Decode Throughput,tokens/sec,p50,0.00
0,1780551125214909184,1780551126214909184,Active Decode Throughput,tokens/sec,p90,0.00
0,1780551125214909184,1780551126214909184,Active Decode Throughput,tokens/sec,p95,0.00
0,1780551125214909184,1780551126214909184,Active Decode Throughput,tokens/sec,p99,6838.67
0,1780551125214909184,1780551126214909184,Active Decode Throughput,tokens/sec,std,1195.52
0,1780551125214909184,1780551126214909184,Active Decode Throughput Per User,tokens/sec/user,avg,193.74
0,1780551125214909184,1780551126214909184,Active Decode Throughput Per User,tokens/sec/user,min,0.00
0,1780551125214909184,1780551126214909184,Active Decode Throughput Per User,tokens/sec/user,max,22146.31
0,1780551125214909184,1780551126214909184,Active Decode Throughput Per User,tokens/sec/user,p50,0.00
0,1780551125214909184,1780551126214909184,Active Decode Throughput Per User,tokens/sec/user,p90,0.00
0,1780551125214909184,1780551126214909184,Active Decode Throughput Per User,tokens/sec/user,p95,0.00
0,1780551125214909184,1780551126214909184,Active Decode Throughput Per User,tokens/sec/user,p99,6838.67
0,1780551125214909184,1780551126214909184,Active Decode Throughput Per User,tokens/sec/user,std,1195.52
0,1780551125214909184,1780551126214909184,Active Prefill Throughput,tokens/sec,avg,91191.31
0,1780551125214909184,1780551126214909184,Active Prefill Throughput,tokens/sec,min,91191.31
0,1780551125214909184,1780551126214909184,Active Prefill Throughput,tokens/sec,max,91191.31
0,1780551125214909184,1780551126214909184,Active Prefill Throughput,tokens/sec,p50,91191.31
0,1780551125214909184,1780551126214909184,Active Prefill Throughput,tokens/sec,p90,91191.31
0,1780551125214909184,1780551126214909184,Active Prefill Throughput,tokens/sec,p95,91191.31
0,1780551125214909184,1780551126214909184,Active Prefill Throughput,tokens/sec,p99,91191.31
0,1780551125214909184,1780551126214909184,Active Prefill Throughput,tokens/sec,std,0.00
0,1780551125214909184,1780551126214909184,Active Prefill Throughput Per User,tokens/sec/user,avg,91191.31
0,1780551125214909184,1780551126214909184,Active Prefill Throughput Per User,tokens/sec/user,min,91191.31
0,1780551125214909184,1780551126214909184,Active Prefill Throughput Per User,tokens/sec/user,max,91191.31
0,1780551125214909184,1780551126214909184,Active Prefill Throughput Per User,tokens/sec/user,p50,91191.31
0,1780551125214909184,1780551126214909184,Active Prefill Throughput Per User,tokens/sec/user,p90,91191.31
0,1780551125214909184,1780551126214909184,Active Prefill Throughput Per User,tokens/sec/user,p95,91191.31
0,1780551125214909184,1780551126214909184,Active Prefill Throughput Per User,tokens/sec/user,p99,91191.31
0,1780551125214909184,1780551126214909184,Active Prefill Throughput Per User,tokens/sec/user,std,0.00
0,1780551125214909184,1780551126214909184,Active Total Throughput,tokens/sec,avg,63926.67
0,1780551125214909184,1780551126214909184,Active Total Throughput,tokens/sec,min,112.49
0,1780551125214909184,1780551126214909184,Active Total Throughput,tokens/sec,max,91191.31
0,1780551125214909184,1780551126214909184,Active Total Throughput,tokens/sec,p50,91191.31
0,1780551125214909184,1780551126214909184,Active Total Throughput,tokens/sec,p90,91191.31
0,1780551125214909184,1780551126214909184,Active Total Throughput,tokens/sec,p95,91191.31
0,1780551125214909184,1780551126214909184,Active Total Throughput,tokens/sec,p99,91191.31
0,1780551125214909184,1780551126214909184,Active Total Throughput,tokens/sec,std,41711.75
0,1780551125214909184,1780551126214909184,Benchmark Duration,sec,avg,1.22
0,1780551125214909184,1780551126214909184,E2E Output Token Throughput,tokens/sec/user,avg,48.51
0,1780551125214909184,1780551126214909184,E2E Output Token Throughput,tokens/sec/user,min,48.51
0,1780551125214909184,1780551126214909184,E2E Output Token Throughput,tokens/sec/user,max,48.51
0,1780551125214909184,1780551126214909184,E2E Output Token Throughput,tokens/sec/user,sum,48.51
0,1780551125214909184,1780551126214909184,E2E Output Token Throughput,tokens/sec/user,p1,48.51
0,1780551125214909184,1780551126214909184,E2E Output Token Throughput,tokens/sec/user,p5,48.51
0,1780551125214909184,1780551126214909184,E2E Output Token Throughput,tokens/sec/user,p10,48.51
0,1780551125214909184,1780551126214909184,E2E Output Token Throughput,tokens/sec/user,p25,48.51
0,1780551125214909184,1780551126214909184,E2E Output Token Throughput,tokens/sec/user,p50,48.51
0,1780551125214909184,1780551126214909184,E2E Output Token Throughput,tokens/sec/user,p75,48.51
0,1780551125214909184,1780551126214909184,E2E Output Token Throughput,tokens/sec/user,p90,48.51
0,1780551125214909184,1780551126214909184,E2E Output Token Throughput,tokens/sec/user,p95,48.51
0,1780551125214909184,1780551126214909184,E2E Output Token Throughput,tokens/sec/user,p99,48.51
0,1780551125214909184,1780551126214909184,E2E Output Token Throughput,tokens/sec/user,std,0.00
0,1780551125214909184,1780551126214909184,Effective Concurrency,requests,avg,1.00
0,1780551125214909184,1780551126214909184,Effective Concurrency,requests,min,1.00
0,1780551125214909184,1780551126214909184,Effective Concurrency,requests,max,1.00
0,1780551125214909184,1780551126214909184,Effective Concurrency,requests,p50,1.00
0,1780551125214909184,1780551126214909184,Effective Concurrency,requests,p90,1.00
0,1780551125214909184,1780551126214909184,Effective Concurrency,requests,p95,1.00
0,1780551125214909184,1780551126214909184,Effective Concurrency,requests,p99,1.00
0,1780551125214909184,1780551126214909184,Effective Concurrency,requests,std,0.00
0,1780551125214909184,1780551126214909184,Effective Decode Concurrency,requests,avg,0.30
0,1780551125214909184,1780551126214909184,Effective Decode Concurrency,requests,min,0.00
0,1780551125214909184,1780551126214909184,Effective Decode Concurrency,requests,max,1.00
0,1780551125214909184,1780551126214909184,Effective Decode Concurrency,requests,p50,0.00
0,1780551125214909184,1780551126214909184,Effective Decode Concurrency,requests,p90,1.00
0,1780551125214909184,1780551126214909184,Effective Decode Concurrency,requests,p95,1.00
0,1780551125214909184,1780551126214909184,Effective Decode Concurrency,requests,p99,1.00
0,1780551125214909184,1780551126214909184,Effective Decode Concurrency,requests,std,0.46
0,1780551125214909184,1780551126214909184,Effective Decode Throughput,tokens/sec,avg,58.00
0,1780551125214909184,1780551126214909184,Effective Decode Throughput,tokens/sec,min,0.00
0,1780551125214909184,1780551126214909184,Effective Decode Throughput,tokens/sec,max,22146.31
0,1780551125214909184,1780551126214909184,Effective Decode Throughput,tokens/sec,p50,0.00
0,1780551125214909184,1780551126214909184,Effective Decode Throughput,tokens/sec,p90,0.00
0,1780551125214909184,1780551126214909184,Effective Decode Throughput,tokens/sec,p95,0.00
0,1780551125214909184,1780551126214909184,Effective Decode Throughput,tokens/sec,p99,0.00
0,1780551125214909184,1780551126214909184,Effective Decode Throughput,tokens/sec,std,660.09
