exp_name,tp,conc,offload,status,num_requests,throughput_rps,output_throughput_tps,total_throughput_tps,input_throughput_tps,mean_ttft_ms,p50_ttft_ms,p90_ttft_ms,p99_ttft_ms,mean_tpot_ms,p50_tpot_ms,p90_tpot_ms,p99_tpot_ms,mean_latency_ms,p50_latency_ms,p90_latency_ms,p99_latency_ms
agentic_minimaxm2.5_tp2_conc16_offloadlmcache_fp8_vllm_tp2-ep1-dpafalse_disagg-false_spec-none_conc16_mi355x-amds_04,2,16,lmcache,SUCCESS,513,0.28,227.4,23934.36,23706.96,1045.33,702.22,1844.52,5617.86,48.28,46.63,55.13,109.0,39185.91,21537.04,88975.57,270509.92
agentic_minimaxm2.5_tp2_conc16_offloadnone_fp8_vllm_tp2-ep1-dpafalse_disagg-false_spec-none_conc16_mi355x-amds_06,2,16,none,SUCCESS,566,0.31,247.77,26123.28,25875.51,824.14,571.19,1461.26,4601.09,42.18,42.88,49.3,67.03,35186.81,18530.66,83155.09,243014.41
agentic_minimaxm2.5_tp2_conc1_offloadlmcache_fp8_vllm_tp2-ep1-dpafalse_disagg-false_spec-none_conc1_mi355x-amds_07,2,1,lmcache,SUCCESS,63,0.04,39.0,2915.22,2876.22,719.14,508.14,916.45,3571.85,9.68,9.89,10.62,10.73,11683.76,4974.11,29486.52,85616.87
agentic_minimaxm2.5_tp2_conc1_offloadnone_fp8_vllm_tp2-ep1-dpafalse_disagg-false_spec-none_conc1_mi355x-amds_00,2,1,none,SUCCESS,62,0.04,39.41,2927.55,2888.1400000000003,587.69,402.21,612.99,3195.44,10.47,10.57,11.44,11.51,12370.58,5254.56,31134.2,90268.6
agentic_minimaxm2.5_tp2_conc2_offloadlmcache_fp8_vllm_tp2-ep1-dpafalse_disagg-false_spec-none_conc2_mi355x-amds_02,2,2,lmcache,SUCCESS,256,0.14,72.53,7194.38,7121.85,2261.36,523.45,4262.41,40857.78,10.63,10.41,12.99,22.59,7785.66,3087.7,13756.17,81701.68
agentic_minimaxm2.5_tp2_conc2_offloadnone_fp8_vllm_tp2-ep1-dpafalse_disagg-false_spec-none_conc2_mi355x-amds_01,2,2,none,SUCCESS,254,0.14,72.35,7151.59,7079.24,2211.22,451.72,3746.07,42610.81,10.29,10.02,11.98,18.14,7621.74,2874.38,14198.55,79803.17
agentic_minimaxm2.5_tp2_conc32_offloadlmcache_fp8_vllm_tp2-ep1-dpafalse_disagg-false_spec-none_conc32_mi355x-amds_01,2,32,lmcache,SUCCESS,722,0.4,272.45,30059.75,29787.3,3042.37,1099.62,8319.57,25795.62,88.0,83.21,113.25,192.72,62784.42,33631.35,139867.96,449001.73
agentic_minimaxm2.5_tp2_conc32_offloadnone_fp8_vllm_tp2-ep1-dpafalse_disagg-false_spec-none_conc32_mi355x-amds_00,2,32,none,SUCCESS,497,0.27,194.14,20301.13,20106.99,5094.24,1737.23,14057.77,29007.58,124.3,109.36,198.5,407.11,90849.78,49312.78,202662.36,658418.59
agentic_minimaxm2.5_tp2_conc40_offloadlmcache_fp8_vllm_tp2-ep1-dpafalse_disagg-false_spec-none_conc40_mi355x-amds_05,2,40,lmcache,SUCCESS,636,0.35,230.92,27455.9,27224.980000000003,20264.31,19558.71,35628.28,47835.97,112.54,104.41,146.22,235.4,93848.3,55933.92,199995.57,616561.97
agentic_minimaxm2.5_tp2_conc40_offloadnone_fp8_vllm_tp2-ep1-dpafalse_disagg-false_spec-none_conc40_mi355x-amds_02,2,40,none,SUCCESS,239,0.13,99.6,10964.41,10864.81,77420.62,80760.4,109167.73,124214.85,240.41,226.76,359.9,556.19,252651.54,166117.15,452003.19,1485412.66
