Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),90.93,0.00,33982.84,,,,,,94.49,,99.07,99.35,159.67,39.91
Active Decode Throughput Per User (tokens/sec/user),90.93,0.00,33982.84,,,,,,94.49,,99.07,99.35,159.67,39.91
Active Prefill Throughput (tokens/sec),137648.17,6296.82,302001.41,,,,,,165194.99,,236385.46,261920.04,297420.25,90150.20
Active Prefill Throughput Per User (tokens/sec/user),137648.17,6296.82,302001.41,,,,,,165194.99,,236385.46,261920.04,297420.25,90150.20
Active Total Throughput (tokens/sec),6628.38,86.87,302001.41,,,,,,94.46,,98.45,101.13,217467.84,35245.93
Credit Drop Latency (ms),2.79,1.55,4.02,5.57,1.58,1.68,1.80,2.17,2.79,3.40,3.77,3.90,4.00,1.23
Credit-to-Start Latency (ms),1.03,0.59,4.51,63.81,0.59,0.64,0.69,0.74,0.83,1.08,1.43,1.97,3.58,0.60
E2E Output Token Throughput (tokens/sec/user),79.95,14.31,95.67,4957.07,23.12,47.00,60.73,76.80,83.35,91.11,93.64,94.24,95.09,15.83
Effective Concurrency,0.44,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.50
Effective Decode Concurrency,0.42,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.49
Effective Decode Throughput (tokens/sec),39.36,0.00,33982.84,,,,,,0.00,,98.03,99.00,150.12,51.70
Effective Decode Throughput Per User (tokens/sec/user),38.25,0.00,33982.84,,,,,,0.00,,98.03,99.00,150.12,51.82
Effective Latency (CO-aware) (ms),12371.61,226.81,102478.77,767039.69,262.06,489.36,897.75,2663.65,5255.65,12043.92,31136.15,45263.59,90269.34,18631.46
Effective Prefill Concurrency,0.02,0.00,1.00,,,,,,0.00,,0.00,0.00,1.00,0.14
Effective Prefill Throughput (tokens/sec),2888.14,0.00,302001.41,,,,,,0.00,,0.00,0.00,175663.54,23658.57
Effective Prefill Throughput Per User (tokens/sec/user),2888.14,0.00,302001.41,,,,,,0.00,,0.00,0.00,175663.54,23658.57
Effective Total Throughput (tokens/sec),2927.52,0.00,302001.41,,,,,,0.00,,98.12,98.45,175663.54,23653.81
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1102.31,5.00,9658.00,68343.00,9.27,18.05,55.70,202.25,413.50,1100.75,2761.00,4144.60,8515.47,1741.09
