Timeslice,Start_NS,End_NS,Metric,Unit,Stat,Value
0,1780546034797467904,1780546035797467904,Active Decode Throughput,tokens/sec,avg,559.98
0,1780546034797467904,1780546035797467904,Active Decode Throughput,tokens/sec,min,0.00
0,1780546034797467904,1780546035797467904,Active Decode Throughput,tokens/sec,max,54813.37
0,1780546034797467904,1780546035797467904,Active Decode Throughput,tokens/sec,p50,0.00
0,1780546034797467904,1780546035797467904,Active Decode Throughput,tokens/sec,p90,0.00
0,1780546034797467904,1780546035797467904,Active Decode Throughput,tokens/sec,p95,0.00
0,1780546034797467904,1780546035797467904,Active Decode Throughput,tokens/sec,p99,15396.02
0,1780546034797467904,1780546035797467904,Active Decode Throughput,tokens/sec,std,2688.52
0,1780546034797467904,1780546035797467904,Active Decode Throughput Per User,tokens/sec/user,avg,323.41
0,1780546034797467904,1780546035797467904,Active Decode Throughput Per User,tokens/sec/user,min,0.00
0,1780546034797467904,1780546035797467904,Active Decode Throughput Per User,tokens/sec/user,max,54813.37
0,1780546034797467904,1780546035797467904,Active Decode Throughput Per User,tokens/sec/user,p50,0.00
0,1780546034797467904,1780546035797467904,Active Decode Throughput Per User,tokens/sec/user,p90,0.00
0,1780546034797467904,1780546035797467904,Active Decode Throughput Per User,tokens/sec/user,p95,0.00
0,1780546034797467904,1780546035797467904,Active Decode Throughput Per User,tokens/sec/user,p99,7698.01
0,1780546034797467904,1780546035797467904,Active Decode Throughput Per User,tokens/sec/user,std,1744.30
0,1780546034797467904,1780546035797467904,Active Prefill Throughput,tokens/sec,avg,221207.40
0,1780546034797467904,1780546035797467904,Active Prefill Throughput,tokens/sec,min,117629.08
0,1780546034797467904,1780546035797467904,Active Prefill Throughput,tokens/sec,max,309978.50
0,1780546034797467904,1780546035797467904,Active Prefill Throughput,tokens/sec,p50,192349.42
0,1780546034797467904,1780546035797467904,Active Prefill Throughput,tokens/sec,p90,309978.50
0,1780546034797467904,1780546035797467904,Active Prefill Throughput,tokens/sec,p95,309978.50
0,1780546034797467904,1780546035797467904,Active Prefill Throughput,tokens/sec,p99,309978.50
0,1780546034797467904,1780546035797467904,Active Prefill Throughput,tokens/sec,std,85875.84
0,1780546034797467904,1780546035797467904,Active Prefill Throughput Per User,tokens/sec/user,avg,150215.03
0,1780546034797467904,1780546035797467904,Active Prefill Throughput Per User,tokens/sec/user,min,117629.08
0,1780546034797467904,1780546035797467904,Active Prefill Throughput Per User,tokens/sec/user,max,192349.42
0,1780546034797467904,1780546035797467904,Active Prefill Throughput Per User,tokens/sec/user,p50,154989.25
0,1780546034797467904,1780546035797467904,Active Prefill Throughput Per User,tokens/sec/user,p90,192349.42
0,1780546034797467904,1780546035797467904,Active Prefill Throughput Per User,tokens/sec/user,p95,192349.42
0,1780546034797467904,1780546035797467904,Active Prefill Throughput Per User,tokens/sec/user,p99,192349.42
0,1780546034797467904,1780546035797467904,Active Prefill Throughput Per User,tokens/sec/user,std,27086.07
0,1780546034797467904,1780546035797467904,Active Total Throughput,tokens/sec,avg,110570.75
0,1780546034797467904,1780546035797467904,Active Total Throughput,tokens/sec,min,171.10
0,1780546034797467904,1780546035797467904,Active Total Throughput,tokens/sec,max,309978.50
0,1780546034797467904,1780546035797467904,Active Total Throughput,tokens/sec,p50,171.10
0,1780546034797467904,1780546035797467904,Active Total Throughput,tokens/sec,p90,309978.50
0,1780546034797467904,1780546035797467904,Active Total Throughput,tokens/sec,p95,309978.50
0,1780546034797467904,1780546035797467904,Active Total Throughput,tokens/sec,p99,309978.50
0,1780546034797467904,1780546035797467904,Active Total Throughput,tokens/sec,std,126084.85
0,1780546034797467904,1780546035797467904,Benchmark Duration,sec,avg,3.69
0,1780546034797467904,1780546035797467904,E2E Output Token Throughput,tokens/sec/user,avg,70.22
0,1780546034797467904,1780546035797467904,E2E Output Token Throughput,tokens/sec/user,min,52.03
0,1780546034797467904,1780546035797467904,E2E Output Token Throughput,tokens/sec/user,max,88.41
0,1780546034797467904,1780546035797467904,E2E Output Token Throughput,tokens/sec/user,sum,140.44
0,1780546034797467904,1780546035797467904,E2E Output Token Throughput,tokens/sec/user,p1,52.40
0,1780546034797467904,1780546035797467904,E2E Output Token Throughput,tokens/sec/user,p5,53.85
0,1780546034797467904,1780546035797467904,E2E Output Token Throughput,tokens/sec/user,p10,55.67
0,1780546034797467904,1780546035797467904,E2E Output Token Throughput,tokens/sec/user,p25,61.13
0,1780546034797467904,1780546035797467904,E2E Output Token Throughput,tokens/sec/user,p50,70.22
0,1780546034797467904,1780546035797467904,E2E Output Token Throughput,tokens/sec/user,p75,79.32
0,1780546034797467904,1780546035797467904,E2E Output Token Throughput,tokens/sec/user,p90,84.77
0,1780546034797467904,1780546035797467904,E2E Output Token Throughput,tokens/sec/user,p95,86.59
0,1780546034797467904,1780546035797467904,E2E Output Token Throughput,tokens/sec/user,p99,88.05
0,1780546034797467904,1780546035797467904,E2E Output Token Throughput,tokens/sec/user,std,18.19
0,1780546034797467904,1780546035797467904,Effective Concurrency,requests,avg,1.90
0,1780546034797467904,1780546035797467904,Effective Concurrency,requests,min,1.00
0,1780546034797467904,1780546035797467904,Effective Concurrency,requests,max,2.00
0,1780546034797467904,1780546035797467904,Effective Concurrency,requests,p50,2.00
0,1780546034797467904,1780546035797467904,Effective Concurrency,requests,p90,2.00
0,1780546034797467904,1780546035797467904,Effective Concurrency,requests,p95,2.00
0,1780546034797467904,1780546035797467904,Effective Concurrency,requests,p99,2.00
0,1780546034797467904,1780546035797467904,Effective Concurrency,requests,std,0.30
0,1780546034797467904,1780546035797467904,Effective Decode Concurrency,requests,avg,1.17
0,1780546034797467904,1780546035797467904,Effective Decode Concurrency,requests,min,0.00
0,1780546034797467904,1780546035797467904,Effective Decode Concurrency,requests,max,2.00
0,1780546034797467904,1780546035797467904,Effective Decode Concurrency,requests,p50,2.00
0,1780546034797467904,1780546035797467904,Effective Decode Concurrency,requests,p90,2.00
0,1780546034797467904,1780546035797467904,Effective Decode Concurrency,requests,p95,2.00
0,1780546034797467904,1780546035797467904,Effective Decode Concurrency,requests,p99,2.00
0,1780546034797467904,1780546035797467904,Effective Decode Concurrency,requests,std,0.90
0,1780546034797467904,1780546035797467904,Effective Decode Throughput,tokens/sec,avg,373.97
0,1780546034797467904,1780546035797467904,Effective Decode Throughput,tokens/sec,min,0.00
0,1780546034797467904,1780546035797467904,Effective Decode Throughput,tokens/sec,max,54813.37
0,1780546034797467904,1780546035797467904,Effective Decode Throughput,tokens/sec,p50,0.00
0,1780546034797467904,1780546035797467904,Effective Decode Throughput,tokens/sec,p90,0.00
0,1780546034797467904,1780546035797467904,Effective Decode Throughput,tokens/sec,p95,0.00
0,1780546034797467904,1780546035797467904,Effective Decode Throughput,tokens/sec,p99,13690.33
0,1780546034797467904,1780546035797467904,Effective Decode Throughput,tokens/sec,std,2212.86
0,1780546034797467904,1780546035797467904,Effective Decode Throughput Per User,tokens/sec/user,avg,215.98
0,1780546034797467904,1780546035797467904,Effective Decode Throughput Per User,tokens/sec/user,min,0.00
0,1780546034797467904,1780546035797467904,Effective Decode Throughput Per User,tokens/sec/user,max,54813.37
0,1780546034797467904,1780546035797467904,Effective Decode Throughput Per User,tokens/sec/user,p50,0.00
0,1780546034797467904,1780546035797467904,Effective Decode Throughput Per User,tokens/sec/user,p90,0.00
0,1780546034797467904,1780546035797467904,Effective Decode Throughput Per User,tokens/sec/user,p95,0.00
0,1780546034797467904,1780546035797467904,Effective Decode Throughput Per User,tokens/sec/user,p99,6845.17
0,1780546034797467904,1780546035797467904,Effective Decode Throughput Per User,tokens/sec/user,std,1433.57
0,1780546034797467904,1780546035797467904,Effective Prefill Concurrency,requests,avg,0.73
0,1780546034797467904,1780546035797467904,Effective Prefill Concurrency,requests,min,0.00
0,1780546034797467904,1780546035797467904,Effective Prefill Concurrency,requests,max,2.00
0,1780546034797467904,1780546035797467904,Effective Prefill Concurrency,requests,p50,0.00
0,1780546034797467904,1780546035797467904,Effective Prefill Concurrency,requests,p90,2.00
0,1780546034797467904,1780546035797467904,Effective Prefill Concurrency,requests,p95,2.00
0,1780546034797467904,1780546035797467904,Effective Prefill Concurrency,requests,p99,2.00
0,1780546034797467904,1780546035797467904,Effective Prefill Concurrency,requests,std,0.81
0,1780546034797467904,1780546035797467904,Effective Prefill Throughput,tokens/sec,avg,110473.00
0,1780546034797467904,1780546035797467904,Effective Prefill Throughput,tokens/sec,min,0.00
0,1780546034797467904,1780546035797467904,Effective Prefill Throughput,tokens/sec,max,309978.50
0,1780546034797467904,1780546035797467904,Effective Prefill Throughput,tokens/sec,p50,0.00
0,1780546034797467904,1780546035797467904,Effective Prefill Throughput,tokens/sec,p90,309978.50
0,1780546034797467904,1780546035797467904,Effective Prefill Throughput,tokens/sec,p95,309978.50
0,1780546034797467904,1780546035797467904,Effective Prefill Throughput,tokens/sec,p99,309978.50
0,1780546034797467904,1780546035797467904,Effective Prefill Throughput,tokens/sec,std,126159.16
0,1780546034797467904,1780546035797467904,Effective Prefill Throughput Per User,tokens/sec/user,avg,75018.76
0,1780546034797467904,1780546035797467904,Effective Prefill Throughput Per User,tokens/sec/user,min,0.00
0,1780546034797467904,1780546035797467904,Effective Prefill Throughput Per User,tokens/sec/user,max,192349.42
0,1780546034797467904,1780546035797467904,Effective Prefill Throughput Per User,tokens/sec/user,p50,0.00
0,1780546034797467904,1780546035797467904,Effective Prefill Throughput Per User,tokens/sec/user,p90,192349.42
0,1780546034797467904,1780546035797467904,Effective Prefill Throughput Per User,tokens/sec/user,p95,192349.42
0,1780546034797467904,1780546035797467904,Effective Prefill Throughput Per User,tokens/sec/user,p99,192349.42
0,1780546034797467904,1780546035797467904,Effective Prefill Throughput Per User,tokens/sec/user,std,77508.23
0,1780546034797467904,1780546035797467904,Effective Total Throughput,tokens/sec,avg,110570.75
0,1780546034797467904,1780546035797467904,Effective Total Throughput,tokens/sec,min,171.10
0,1780546034797467904,1780546035797467904,Effective Total Throughput,tokens/sec,max,309978.50
0,1780546034797467904,1780546035797467904,Effective Total Throughput,tokens/sec,p50,171.10
0,1780546034797467904,1780546035797467904,Effective Total Throughput,tokens/sec,p90,309978.50
0,1780546034797467904,1780546035797467904,Effective Total Throughput,tokens/sec,p95,309978.50
0,1780546034797467904,1780546035797467904,Effective Total Throughput,tokens/sec,p99,309978.50
0,1780546034797467904,1780546035797467904,Effective Total Throughput,tokens/sec,std,126084.85
0,1780546034797467904,1780546035797467904,HTTP Blocked,ms,avg,0.00
0,1780546034797467904,1780546035797467904,HTTP Blocked,ms,min,0.00
0,1780546034797467904,1780546035797467904,HTTP Blocked,ms,max,0.00
0,1780546034797467904,1780546035797467904,HTTP Blocked,ms,sum,0.00
0,1780546034797467904,1780546035797467904,HTTP Blocked,ms,p1,0.00
0,1780546034797467904,1780546035797467904,HTTP Blocked,ms,p5,0.00
0,1780546034797467904,1780546035797467904,HTTP Blocked,ms,p10,0.00
0,1780546034797467904,1780546035797467904,HTTP Blocked,ms,p25,0.00
0,1780546034797467904,1780546035797467904,HTTP Blocked,ms,p50,0.00
0,1780546034797467904,1780546035797467904,HTTP Blocked,ms,p75,0.00
0,1780546034797467904,1780546035797467904,HTTP Blocked,ms,p90,0.00
0,1780546034797467904,1780546035797467904,HTTP Blocked,ms,p95,0.00
0,1780546034797467904,1780546035797467904,HTTP Blocked,ms,p99,0.00
0,1780546034797467904,1780546035797467904,HTTP Blocked,ms,std,0.00
0,1780546034797467904,1780546035797467904,HTTP Chunks Received,count,avg,188.00
0,1780546034797467904,1780546035797467904,HTTP Chunks Received,count,min,59.00
0,1780546034797467904,1780546035797467904,HTTP Chunks Received,count,max,317.00
0,1780546034797467904,1780546035797467904,HTTP Chunks Received,count,sum,376.00
0,1780546034797467904,1780546035797467904,HTTP Chunks Received,count,p1,61.58
0,1780546034797467904,1780546035797467904,HTTP Chunks Received,count,p5,71.90
0,1780546034797467904,1780546035797467904,HTTP Chunks Received,count,p10,84.80
0,1780546034797467904,1780546035797467904,HTTP Chunks Received,count,p25,123.50
0,1780546034797467904,1780546035797467904,HTTP Chunks Received,count,p50,188.00
0,1780546034797467904,1780546035797467904,HTTP Chunks Received,count,p75,252.50
0,1780546034797467904,1780546035797467904,HTTP Chunks Received,count,p90,291.20
0,1780546034797467904,1780546035797467904,HTTP Chunks Received,count,p95,304.10
0,1780546034797467904,1780546035797467904,HTTP Chunks Received,count,p99,314.42
0,1780546034797467904,1780546035797467904,HTTP Chunks Received,count,std,129.00
0,1780546034797467904,1780546035797467904,HTTP Chunks Sent,count,avg,1.00
0,1780546034797467904,1780546035797467904,HTTP Chunks Sent,count,min,1.00
0,1780546034797467904,1780546035797467904,HTTP Chunks Sent,count,max,1.00
0,1780546034797467904,1780546035797467904,HTTP Chunks Sent,count,sum,2.00
0,1780546034797467904,1780546035797467904,HTTP Chunks Sent,count,p1,1.00
0,1780546034797467904,1780546035797467904,HTTP Chunks Sent,count,p5,1.00
0,1780546034797467904,1780546035797467904,HTTP Chunks Sent,count,p10,1.00
0,1780546034797467904,1780546035797467904,HTTP Chunks Sent,count,p25,1.00
0,1780546034797467904,1780546035797467904,HTTP Chunks Sent,count,p50,1.00
0,1780546034797467904,1780546035797467904,HTTP Chunks Sent,count,p75,1.00
0,1780546034797467904,1780546035797467904,HTTP Chunks Sent,count,p90,1.00
0,1780546034797467904,1780546035797467904,HTTP Chunks Sent,count,p95,1.00
0,1780546034797467904,1780546035797467904,HTTP Chunks Sent,count,p99,1.00
0,1780546034797467904,1780546035797467904,HTTP Chunks Sent,count,std,0.00
0,1780546034797467904,1780546035797467904,HTTP Connecting,ms,avg,0.22
0,1780546034797467904,1780546035797467904,HTTP Connecting,ms,min,0.00
0,1780546034797467904,1780546035797467904,HTTP Connecting,ms,max,0.45
0,1780546034797467904,1780546035797467904,HTTP Connecting,ms,sum,0.45
0,1780546034797467904,1780546035797467904,HTTP Connecting,ms,p1,0.00
