exp_name,tp,conc,offload,status,num_requests,throughput_rps,output_throughput_tps,total_throughput_tps,input_throughput_tps,mean_ttft_ms,p50_ttft_ms,p90_ttft_ms,p99_ttft_ms,mean_tpot_ms,p50_tpot_ms,p90_tpot_ms,p99_tpot_ms,mean_latency_ms,p50_latency_ms,p90_latency_ms,p99_latency_ms
agentic_qwen3.5_tp4_conc16_offloadhicache_fp8_sglang_tp4-ep1-dpafalse_disagg-false_spec-none_conc16_mi355x-amds_05,4,16,hicache,SUCCESS,449,0.25,221.29,23257.49,23036.2,3856.53,1562.3,5505.68,60211.51,62.87,41.61,59.75,553.81,45096.46,25390.31,107433.96,267634.08
agentic_qwen3.5_tp4_conc16_offloadnone_fp8_sglang_tp4-ep1-dpafalse_disagg-false_spec-none_conc16_mi355x-amds_05,4,16,none,SUCCESS,457,0.25,227.14,23601.32,23374.18,2373.74,1637.91,3938.69,16391.32,50.18,43.86,58.81,155.22,44627.92,24373.83,110419.21,272561.56
agentic_qwen3.5_tp4_conc32_offloadhicache_fp8_sglang_tp4-ep1-dpafalse_disagg-false_spec-none_conc32_mi355x-amds_02,4,32,hicache,SUCCESS,668,0.37,268.61,29599.57,29330.96,3884.54,2232.14,6743.6,32753.83,99.19,83.57,122.72,326.46,70175.29,36172.97,167709.27,518830.63
agentic_qwen3.5_tp4_conc32_offloadnone_fp8_sglang_tp4-ep1-dpafalse_disagg-false_spec-none_conc32_mi355x-amds_07,4,32,none,SUCCESS,705,0.39,282.94,31194.37,30911.43,3322.53,2307.46,6213.16,21315.18,87.83,78.23,111.3,297.66,64043.0,34343.06,146451.47,477011.54
agentic_qwen3.5_tp4_conc40_offloadhicache_fp8_sglang_tp4-ep1-dpafalse_disagg-false_spec-none_conc40_mi355x-amds_01,4,40,hicache,SUCCESS,744,0.41,269.99,35990.2,35720.21,3947.2,2545.87,6708.8,32403.32,117.91,98.27,151.49,526.78,74390.49,34231.66,177270.46,575407.58
agentic_qwen3.5_tp4_conc40_offloadnone_fp8_sglang_tp4-ep1-dpafalse_disagg-false_spec-none_conc40_mi355x-amds_00,4,40,none,SUCCESS,817,0.45,299.35,39564.44,39265.090000000004,3118.99,2468.01,5736.49,13454.99,105.97,92.27,126.66,492.9,68282.37,31579.89,161554.62,537275.28
agentic_qwen3.5_tp4_conc48_offloadhicache_fp8_sglang_tp4-ep1-dpafalse_disagg-false_spec-none_conc48_mi355x-amds_08,4,48,hicache,SUCCESS,754,0.41,267.7,35150.33,34882.630000000005,4432.19,3116.86,7502.6,28359.5,146.98,131.84,197.86,433.62,94141.14,43698.4,222050.74,740401.34
agentic_qwen3.5_tp4_conc48_offloadnone_fp8_sglang_tp4-ep1-dpafalse_disagg-false_spec-none_conc48_mi355x-amds_06,4,48,none,SUCCESS,665,0.36,238.67,31015.09,30776.420000000002,5102.79,3728.6,10460.05,20562.16,172.93,148.53,241.15,674.65,108495.05,52749.15,254763.25,941267.28
agentic_qwen3.5_tp4_conc56_offloadhicache_fp8_sglang_tp4-ep1-dpafalse_disagg-false_spec-none_conc56_mi355x-amds_04,4,56,hicache,SUCCESS,581,0.32,204.31,27359.89,27155.579999999998,26825.14,23884.0,44569.3,76796.31,198.93,172.98,241.02,529.56,142165.25,82260.87,296650.8,888630.86
agentic_qwen3.5_tp4_conc56_offloadnone_fp8_sglang_tp4-ep1-dpafalse_disagg-false_spec-none_conc56_mi355x-amds_04,4,56,none,SUCCESS,321,0.18,93.54,15047.36,14953.82,45212.12,47173.48,68899.03,79418.73,410.66,344.2,509.99,1494.87,229598.88,145948.63,466765.81,1126773.61
agentic_qwen3.5_tp4_conc72_offloadhicache_fp8_sglang_tp4-ep1-dpafalse_disagg-false_spec-none_conc72_mi355x-amds_07,4,72,hicache,SUCCESS,475,0.26,214.93,25099.2,24884.27,98561.42,104286.54,138926.65,155892.83,174.41,143.59,213.51,532.32,222545.82,162906.85,386972.41,973798.97
agentic_qwen3.5_tp4_conc72_offloadnone_fp8_sglang_tp4-ep1-dpafalse_disagg-false_spec-none_conc72_mi355x-amds_01,4,72,none,SUCCESS,246,0.14,96.01,12941.81,12845.8,203083.93,221261.38,258736.1,322754.71,371.45,253.13,443.0,2563.8,396166.0,315203.95,605701.4,1595539.45
agentic_qwen3.5_tp4_conc8_offloadhicache_fp8_sglang_tp4-ep1-dpafalse_disagg-false_spec-none_conc8_mi355x-amds_03,4,8,hicache,SUCCESS,310,0.17,134.0,16028.62,15894.62,2646.02,1493.98,3346.11,37035.64,40.95,32.26,40.38,281.91,30238.84,13186.59,77637.66,207702.13
agentic_qwen3.5_tp4_conc8_offloadnone_fp8_sglang_tp4-ep1-dpafalse_disagg-false_spec-none_conc8_mi355x-amds_03,4,8,none,SUCCESS,317,0.18,138.04,16714.93,16576.89,2033.65,1484.91,3868.41,10305.24,39.23,32.52,40.12,239.96,28964.3,13217.25,75435.06,201663.48
