Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),224.11,0.00,188769.19,,,,,,220.04,,307.06,348.24,385.84,161.26
Active Decode Throughput Per User (tokens/sec/user),21.60,0.00,62923.06,,,,,,20.85,,27.56,28.15,31.63,60.25
Active Prefill Throughput (tokens/sec),60070.63,269.13,235076.61,,,,,,56432.53,,106266.23,132628.54,176115.45,36724.54
Active Prefill Throughput Per User (tokens/sec/user),45964.63,269.13,235076.61,,,,,,40375.44,,87081.73,102026.54,152050.84,30723.65
Active Total Throughput (tokens/sec),23601.07,17.67,235250.90,,,,,,285.44,,76251.83,100208.34,155565.85,37168.25
Credit Drop Latency (ms),4.11,1.22,20.95,49.34,1.24,1.29,1.35,1.51,1.97,3.29,6.55,13.07,19.37,5.35
Credit-to-Start Latency (ms),1.39,0.62,41.57,635.88,0.65,0.72,0.78,0.87,1.00,1.19,1.37,2.15,8.18,2.57
E2E Output Token Throughput (tokens/sec/user),17.99,0.31,35.96,8221.61,2.48,3.85,7.11,15.73,19.81,22.18,23.79,24.58,26.30,6.16
Effective Concurrency,11.21,1.00,16.00,,,,,,12.00,,14.00,15.00,16.00,2.41
Effective Decode Concurrency,10.61,0.00,16.00,,,,,,11.00,,13.00,14.00,15.00,2.43
Effective Decode Throughput (tokens/sec),224.03,0.00,188769.19,,,,,,220.03,,307.06,348.24,385.84,161.29
Effective Decode Throughput Per User (tokens/sec/user),21.59,0.00,62923.06,,,,,,20.85,,27.56,28.15,31.63,60.24
Effective Latency (CO-aware) (ms),44630.00,647.73,534773.46,20395912.01,1054.06,1583.08,2050.38,8388.47,24374.85,55098.00,110420.00,162223.04,272562.57,60465.26
Effective Prefill Concurrency,0.60,0.00,6.00,,,,,,0.00,,2.00,2.00,4.00,0.93
Effective Prefill Throughput (tokens/sec),23374.18,0.00,235076.61,,,,,,0.00,,76049.45,99940.43,155404.85,37182.54
Effective Prefill Throughput Per User (tokens/sec/user),17885.37,0.00,235076.61,,,,,,0.00,,62522.25,81196.88,115048.81,29487.41
Effective Total Throughput (tokens/sec),23601.07,17.67,235250.90,,,,,,285.44,,76251.83,100208.34,155565.85,37168.25
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
