# AIPerf Server Metrics Export (CSV)
# aiperf_version: 0.8.0
# schema_version: 1.0
# benchmark_id: 3b18bb1b-0321-4f9d-af42-bd3d0ac738a5
# Note: Same benchmark_id and version appear in JSON and Parquet exports
#
Endpoint,Type,Metric,Unit,avg,min,max,std,p1,p5,p10,p25,p50,p75,p90,p95,p99,engine_type,gt,le,model_name,moe_ep_rank,pid,pp_rank,tp_rank,Description
localhost:8894,gauge,sglang:routing_keys_active,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,Number of unique routing keys with active requests
localhost:8894,gauge,sglang:cache_hit_rate,,0.2417,0.0000,0.9899,0.3909,0.0000,0.0000,0.0000,0.0000,0.0000,0.6906,0.9209,0.9476,0.9743,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,The prefix cache hit rate.
localhost:8894,gauge,sglang:context_len,,262144.0000,262144.0000,262144.0000,0.0000,262144.0000,262144.0000,262144.0000,262144.0000,262144.0000,262144.0000,262144.0000,262144.0000,262144.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,Maximum context length.
localhost:8894,gauge,sglang:context_len,,262144.0000,262144.0000,262144.0000,0.0000,262144.0000,262144.0000,262144.0000,262144.0000,262144.0000,262144.0000,262144.0000,262144.0000,262144.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,1,Maximum context length.
localhost:8894,gauge,sglang:context_len,,262144.0000,262144.0000,262144.0000,0.0000,262144.0000,262144.0000,262144.0000,262144.0000,262144.0000,262144.0000,262144.0000,262144.0000,262144.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,2,Maximum context length.
localhost:8894,gauge,sglang:context_len,,262144.0000,262144.0000,262144.0000,0.0000,262144.0000,262144.0000,262144.0000,262144.0000,262144.0000,262144.0000,262144.0000,262144.0000,262144.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,3,Maximum context length.
localhost:8894,gauge,sglang:decode_sum_seq_lens,,3953983.8923,105710.0000,4745987.0000,706832.9128,105710.0000,3185711.0000,3425815.0000,3787279.0000,4049872.0000,4279629.0000,4555737.0000,4643945.0000,4733116.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,The sum of all sequence lengths in decode.
localhost:8894,gauge,sglang:engine_load_weights_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,The time taken for the engine to load weights.
localhost:8894,gauge,sglang:engine_load_weights_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,1,The time taken for the engine to load weights.
localhost:8894,gauge,sglang:engine_load_weights_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,2,The time taken for the engine to load weights.
localhost:8894,gauge,sglang:engine_load_weights_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,3,The time taken for the engine to load weights.
localhost:8894,gauge,sglang:engine_startup_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,The time taken for the engine to start up.
localhost:8894,gauge,sglang:engine_startup_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,1,The time taken for the engine to start up.
localhost:8894,gauge,sglang:engine_startup_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,2,The time taken for the engine to start up.
localhost:8894,gauge,sglang:engine_startup_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,3,The time taken for the engine to start up.
localhost:8894,gauge,sglang:full_token_usage,,0.8681,0.0222,0.9977,0.1105,0.2817,0.7145,0.7607,0.8330,0.8879,0.9353,0.9687,0.9774,0.9915,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,The token usage for full attention layers.
localhost:8894,gauge,sglang:gen_throughput,tokens/s,429.6966,21.6690,741.1899,196.2621,53.2344,78.9659,100.5930,294.3968,490.8666,593.0975,642.1845,673.7962,700.7376,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,The generation throughput (token/s).
localhost:8894,gauge,sglang:is_cuda_graph,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,Whether the batch is using CUDA graph.
localhost:8894,gauge,sglang:kv_available_tokens,tokens,18181.5992,32.0000,127001.0000,23768.1961,525.0000,2173.0000,3573.0000,7566.0000,12817.0000,18579.0000,25983.0000,84041.0000,124755.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,Number of free token slots in the KV cache pool.
localhost:8894,gauge,sglang:kv_evictable_tokens,tokens,609223.0579,391.0000,4524020.0000,511477.2678,27526.0000,98443.0000,132406.6000,295266.0000,515334.0000,776550.0000,1116875.0000,1312138.0000,3304604.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,Number of evictable (radix-cached) token slots in the KV cache pool.
localhost:8894,gauge,sglang:kv_used_tokens,tokens,4129326.3429,105710.0000,4745845.0000,525477.3068,1339828.0000,3398698.0000,3618365.0000,3962218.0000,4223327.0000,4448990.0000,4607784.0000,4649413.8000,4716250.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,Number of actively used token slots in the KV cache pool.
localhost:8894,gauge,sglang:mamba_available_tokens,tokens,940.2534,824.0000,984.0000,29.5131,834.0000,857.0000,911.0000,933.0000,946.0000,958.0000,969.0000,974.0000,978.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,Number of free state slots in the mamba SSM pool (hybrid-SSM only).
localhost:8894,gauge,sglang:mamba_evictable_tokens,tokens,344.0703,297.0000,473.0000,32.2427,300.0000,305.0000,313.0000,325.0000,336.0000,357.0000,377.0000,424.0000,457.2400,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,Number of evictable (radix-cached) state slots in the mamba SSM pool.
