Timeslice,Start_NS,End_NS,Metric,Unit,Stat,Value
0,1780536921810985216,1780536922810985216,Active Decode Throughput,tokens/sec,avg,0.00
0,1780536921810985216,1780536922810985216,Active Decode Throughput,tokens/sec,min,0.00
0,1780536921810985216,1780536922810985216,Active Decode Throughput,tokens/sec,max,0.00
0,1780536921810985216,1780536922810985216,Active Decode Throughput,tokens/sec,p50,0.00
0,1780536921810985216,1780536922810985216,Active Decode Throughput,tokens/sec,p90,0.00
0,1780536921810985216,1780536922810985216,Active Decode Throughput,tokens/sec,p95,0.00
0,1780536921810985216,1780536922810985216,Active Decode Throughput,tokens/sec,p99,0.00
0,1780536921810985216,1780536922810985216,Active Decode Throughput,tokens/sec,std,0.00
0,1780536921810985216,1780536922810985216,Active Decode Throughput Per User,tokens/sec/user,avg,0.00
0,1780536921810985216,1780536922810985216,Active Decode Throughput Per User,tokens/sec/user,min,0.00
0,1780536921810985216,1780536922810985216,Active Decode Throughput Per User,tokens/sec/user,max,0.00
0,1780536921810985216,1780536922810985216,Active Decode Throughput Per User,tokens/sec/user,p50,0.00
0,1780536921810985216,1780536922810985216,Active Decode Throughput Per User,tokens/sec/user,p90,0.00
0,1780536921810985216,1780536922810985216,Active Decode Throughput Per User,tokens/sec/user,p95,0.00
0,1780536921810985216,1780536922810985216,Active Decode Throughput Per User,tokens/sec/user,p99,0.00
0,1780536921810985216,1780536922810985216,Active Decode Throughput Per User,tokens/sec/user,std,0.00
0,1780536921810985216,1780536922810985216,Active Prefill Throughput,tokens/sec,avg,149950.49
0,1780536921810985216,1780536922810985216,Active Prefill Throughput,tokens/sec,min,121779.61
0,1780536921810985216,1780536922810985216,Active Prefill Throughput,tokens/sec,max,240327.16
0,1780536921810985216,1780536922810985216,Active Prefill Throughput,tokens/sec,p50,150805.98
0,1780536921810985216,1780536922810985216,Active Prefill Throughput,tokens/sec,p90,240327.16
0,1780536921810985216,1780536922810985216,Active Prefill Throughput,tokens/sec,p95,240327.16
0,1780536921810985216,1780536922810985216,Active Prefill Throughput,tokens/sec,p99,240327.16
0,1780536921810985216,1780536922810985216,Active Prefill Throughput,tokens/sec,std,39266.78
0,1780536921810985216,1780536922810985216,Active Prefill Throughput Per User,tokens/sec/user,avg,95158.24
