Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),133.18,0.00,173438.55,,,,,,139.20,,209.50,212.72,252.92,154.09
Active Decode Throughput Per User (tokens/sec/user),28.56,0.00,173438.55,,,,,,28.69,,35.92,36.54,51.50,87.27
Active Prefill Throughput (tokens/sec),57157.50,267.47,347014.28,,,,,,56799.05,,97739.70,121782.52,176618.89,36854.20
Active Prefill Throughput Per User (tokens/sec/user),47864.72,267.47,224018.99,,,,,,45914.32,,89087.14,107869.62,141964.19,33213.65
Active Total Throughput (tokens/sec),16032.41,20.45,347032.15,,,,,,173.01,,66278.97,84391.40,133143.97,32144.02
Credit Drop Latency (ms),11.26,2.43,31.11,67.57,2.53,2.93,3.42,5.11,7.47,12.93,22.89,27.00,30.29,9.65
Credit-to-Start Latency (ms),2.54,1.19,86.26,785.92,1.26,1.33,1.40,1.59,1.81,2.00,2.20,2.62,18.18,5.57
E2E Output Token Throughput (tokens/sec/user),21.43,0.35,37.10,6642.02,1.25,3.49,4.54,15.12,25.47,28.75,30.34,31.36,33.92,9.74
Effective Concurrency,5.14,0.00,8.00,,,,,,5.00,,7.00,7.00,8.00,1.56
Effective Decode Concurrency,4.69,0.00,8.00,,,,,,5.00,,7.00,7.00,8.00,1.61
Effective Decode Throughput (tokens/sec),133.03,0.00,173438.55,,,,,,138.94,,209.50,212.72,252.92,153.98
Effective Decode Throughput Per User (tokens/sec/user),28.50,0.00,173438.55,,,,,,28.69,,35.92,36.54,51.50,87.19
Effective Latency (CO-aware) (ms),30241.97,724.50,345227.26,9375012.09,1037.32,1308.95,1667.60,4855.32,13188.05,35336.47,77670.59,107977.14,207704.39,45449.83
Effective Prefill Concurrency,0.45,0.00,6.00,,,,,,0.00,,1.00,2.00,5.00,0.94
Effective Prefill Throughput (tokens/sec),15894.61,0.00,347014.28,,,,,,0.00,,66045.91,84255.23,133000.44,32149.04
Effective Prefill Throughput Per User (tokens/sec/user),13310.44,0.00,224018.99,,,,,,0.00,,59633.92,77053.68,114119.91,27689.36
Effective Total Throughput (tokens/sec),16028.45,0.00,347032.15,,,,,,173.01,,66142.57,84391.40,133143.97,32141.04
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,765.32,4.00,9052.00,237249.00,6.00,6.00,10.00,90.00,309.00,967.50,1965.30,2763.60,5425.49,1195.86
HTTP Chunks Sent,1.00,1.00,1.00,310.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.52,0.00,1.28,161.76,0.00,0.00,0.00,0.00,0.65,0.73,1.09,1.13,1.20,0.39
HTTP Connection Overhead (ms),0.58,0.00,1.79,178.82,0.00,0.00,0.00,0.00,0.65,0.73,1.51,1.58,1.69,0.49
HTTP Connection Reused (ratio),0.33,0.00,1.00,101.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.47
HTTP Data Received (KB),205.36,1.89,2415.25,63661.26,2.42,2.42,3.49,24.90,83.31,259.62,526.07,739.69,1451.78,319.48
HTTP Data Sent (KB),322.29,2.76,849.54,99909.54,12.86,93.79,157.04,235.45,323.11,385.63,468.15,656.67,676.50,143.82
HTTP DNS Lookup (ms),0.06,0.00,0.56,17.06,0.00,0.00,0.00,0.00,0.00,0.00,0.41,0.46,0.49,0.15
HTTP Duration (excl. conn) (ms),30239.31,722.81,345225.09,9374186.13,1035.36,1306.73,1665.70,4853.32,13186.46,35334.58,77668.79,107974.96,207702.00,45449.81
HTTP Receiving (ms),27593.42,96.62,343086.64,8553961.06,143.31,156.44,277.11,2958.67,10232.51,31192.38,75118.37,106507.25,205219.53,45125.36
HTTP Sending (ms),0.90,0.29,1.74,277.88,0.31,0.32,0.33,0.38,1.02,1.14,1.44,1.53,1.61,0.41
HTTP Total Time (ms),30239.89,723.53,345226.57,9374364.95,1035.43,1307.43,1667.05,4853.80,13186.80,35335.27,77669.50,107975.82,207703.52,45449.93
HTTP Waiting (TTFB) (ms),2644.99,377.20,62252.44,819947.19,521.57,708.88,849.01,1136.22,1492.60,2107.38,3345.58,5785.41,37034.20,6056.27
Input Sequence Length (tokens),93579.69,728.00,248700.00,29009703.00,3676.22,27258.65,45002.80,68314.50,93649.50,111578.50,136379.00,191527.70,198343.97,42054.11
Inter Chunk Latency (ms),36.08,0.00,64580.06,8553773.94,0.21,22.96,28.18,29.08,29.54,30.16,34.65,41.26,68.68,217.88
Inter Token Latency (ms),40.95,22.49,654.56,12696.02,25.94,28.70,29.27,29.90,32.26,35.90,40.38,48.37,281.91,60.41
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),788.93,4.00,9887.00,244568.00,6.00,6.00,10.00,90.00,309.00,998.25,2040.10,2940.25,5523.37,1263.82
Output Token Count (tokens),788.93,4.00,9887.00,244568.00,6.00,6.00,10.00,90.00,309.00,998.25,2040.10,2940.25,5523.37,1263.82
Output Token Throughput Per User (tokens/sec/user),29.93,1.53,44.47,9277.56,3.88,20.68,24.76,27.86,31.00,33.44,34.17,34.84,38.55,5.67
Prefill Throughput Per User (tokens/sec/user),60500.88,267.47,224018.96,18755273.26,1166.50,14226.94,19454.59,36749.45,59065.54,79029.54,102515.06,124577.09,144936.60,33851.72
Request Latency (ms),30238.84,722.94,345225.20,9374039.03,1035.49,1306.87,1665.81,4853.45,13186.59,35334.72,77637.66,107975.10,207702.13,45449.02
Requested OSL (tokens),788.93,4.00,9887.00,244568.00,6.00,6.00,10.00,90.00,309.00,998.25,2040.10,2940.25,5523.37,1263.82
Time to First Output Token (ms),2646.02,377.74,62253.80,820265.09,522.72,709.91,849.50,1136.93,1493.98,2108.60,3346.11,5786.59,37035.64,6056.32
Time to First Token (ms),2646.02,377.74,62253.80,820265.09,522.72,709.91,849.50,1136.93,1493.98,2108.60,3346.11,5786.59,37035.64,6056.32
Time to Second Token (ms),223.13,0.00,6897.29,69171.72,0.13,22.61,28.60,29.51,30.34,34.02,524.29,1369.33,3096.63,722.79
Tokens In Flight (tokens),646943.29,0.00,1108643.31,,,,,,663540.94,,892834.12,945662.51,1043453.93,196097.64
Usage Completion Tokens (tokens),788.93,4.00,9887.00,244568.00,6.00,6.00,10.00,90.00,309.00,998.25,2040.10,2940.25,5523.37,1263.82
Usage Prompt Tokens (tokens),93579.69,728.00,248700.00,29009703.00,3676.22,27258.65,45002.80,68314.50,93649.50,111578.50,136379.00,191527.70,198343.97,42054.11
Usage Total Tokens (tokens),94368.62,749.00,251474.00,29254271.00,3734.98,27887.10,45179.10,68842.25,93814.50,112528.00,137385.00,194712.25,204047.98,42687.93

Metric,Value
Benchmark Duration (sec),1825.13
Input Token Throughput (tokens/sec),15894.61
Maximum Response Timestamp (ns),1780541155891047168.00
Minimum Request Timestamp (ns),1780539330763255552.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),134.00
Request Count,310.00
Request Throughput (requests/sec),0.17
Theoretical Prefix Cache Hit (%),95.87
Total Input Sequence Length (tokens),29009703.00
Total Output Sequence Length (tokens),244568.00
Total Output Tokens (tokens),244568.00
Total Token Throughput (tokens/sec),16028.62
Total Usage Completion Tokens (tokens),244568.00
Total Usage Prompt Tokens (tokens),29009703.00
Total Usage Total Tokens (tokens),29254271.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
