Timeslice,Start_NS,End_NS,Metric,Unit,Stat,Value
0,1780536005560256768,1780536006560256768,Active Decode Throughput,tokens/sec,avg,1963.95
0,1780536005560256768,1780536006560256768,Active Decode Throughput,tokens/sec,min,0.00
0,1780536005560256768,1780536006560256768,Active Decode Throughput,tokens/sec,max,120543.25
0,1780536005560256768,1780536006560256768,Active Decode Throughput,tokens/sec,p50,0.00
0,1780536005560256768,1780536006560256768,Active Decode Throughput,tokens/sec,p90,0.00
0,1780536005560256768,1780536006560256768,Active Decode Throughput,tokens/sec,p95,31371.92
0,1780536005560256768,1780536006560256768,Active Decode Throughput,tokens/sec,p99,43849.29
0,1780536005560256768,1780536006560256768,Active Decode Throughput,tokens/sec,std,8705.90
0,1780536005560256768,1780536006560256768,Active Decode Throughput Per User,tokens/sec/user,avg,1963.95
0,1780536005560256768,1780536006560256768,Active Decode Throughput Per User,tokens/sec/user,min,0.00
0,1780536005560256768,1780536006560256768,Active Decode Throughput Per User,tokens/sec/user,max,120543.25
0,1780536005560256768,1780536006560256768,Active Decode Throughput Per User,tokens/sec/user,p50,0.00
0,1780536005560256768,1780536006560256768,Active Decode Throughput Per User,tokens/sec/user,p90,0.00
0,1780536005560256768,1780536006560256768,Active Decode Throughput Per User,tokens/sec/user,p95,31371.92
0,1780536005560256768,1780536006560256768,Active Decode Throughput Per User,tokens/sec/user,p99,43849.29
0,1780536005560256768,1780536006560256768,Active Decode Throughput Per User,tokens/sec/user,std,8705.90
0,1780536005560256768,1780536006560256768,Active Prefill Throughput,tokens/sec,avg,132410.20
0,1780536005560256768,1780536006560256768,Active Prefill Throughput,tokens/sec,min,59081.59
0,1780536005560256768,1780536006560256768,Active Prefill Throughput,tokens/sec,max,157033.23
0,1780536005560256768,1780536006560256768,Active Prefill Throughput,tokens/sec,p50,157033.23
0,1780536005560256768,1780536006560256768,Active Prefill Throughput,tokens/sec,p90,157033.23
0,1780536005560256768,1780536006560256768,Active Prefill Throughput,tokens/sec,p95,157033.23
0,1780536005560256768,1780536006560256768,Active Prefill Throughput,tokens/sec,p99,157033.23
0,1780536005560256768,1780536006560256768,Active Prefill Throughput,tokens/sec,std,33822.08
0,1780536005560256768,1780536006560256768,Active Prefill Throughput Per User,tokens/sec/user,avg,61364.21
0,1780536005560256768,1780536006560256768,Active Prefill Throughput Per User,tokens/sec/user,min,29540.79
0,1780536005560256768,1780536006560256768,Active Prefill Throughput Per User,tokens/sec/user,max,97951.65
0,1780536005560256768,1780536006560256768,Active Prefill Throughput Per User,tokens/sec/user,p50,52344.41
0,1780536005560256768,1780536006560256768,Active Prefill Throughput Per User,tokens/sec/user,p90,97951.65
0,1780536005560256768,1780536006560256768,Active Prefill Throughput Per User,tokens/sec/user,p95,97951.65
0,1780536005560256768,1780536006560256768,Active Prefill Throughput Per User,tokens/sec/user,p99,97951.65
0,1780536005560256768,1780536006560256768,Active Prefill Throughput Per User,tokens/sec/user,std,20943.92
0,1780536005560256768,1780536006560256768,Active Total Throughput,tokens/sec,avg,132412.86
0,1780536005560256768,1780536006560256768,Active Total Throughput,tokens/sec,min,59108.38
0,1780536005560256768,1780536006560256768,Active Total Throughput,tokens/sec,max,157033.23
0,1780536005560256768,1780536006560256768,Active Total Throughput,tokens/sec,p50,157033.23
0,1780536005560256768,1780536006560256768,Active Total Throughput,tokens/sec,p90,157033.23
0,1780536005560256768,1780536006560256768,Active Total Throughput,tokens/sec,p95,157033.23
0,1780536005560256768,1780536006560256768,Active Total Throughput,tokens/sec,p99,157033.23
0,1780536005560256768,1780536006560256768,Active Total Throughput,tokens/sec,std,33816.31
0,1780536005560256768,1780536006560256768,Benchmark Duration,sec,avg,16.88
0,1780536005560256768,1780536006560256768,E2E Output Token Throughput,tokens/sec/user,avg,20.38
0,1780536005560256768,1780536006560256768,E2E Output Token Throughput,tokens/sec/user,min,18.04
0,1780536005560256768,1780536006560256768,E2E Output Token Throughput,tokens/sec/user,max,23.96
0,1780536005560256768,1780536006560256768,E2E Output Token Throughput,tokens/sec/user,sum,61.14
0,1780536005560256768,1780536006560256768,E2E Output Token Throughput,tokens/sec/user,p1,18.06
0,1780536005560256768,1780536006560256768,E2E Output Token Throughput,tokens/sec/user,p5,18.15
0,1780536005560256768,1780536006560256768,E2E Output Token Throughput,tokens/sec/user,p10,18.26
0,1780536005560256768,1780536006560256768,E2E Output Token Throughput,tokens/sec/user,p25,18.59
0,1780536005560256768,1780536006560256768,E2E Output Token Throughput,tokens/sec/user,p50,19.13
0,1780536005560256768,1780536006560256768,E2E Output Token Throughput,tokens/sec/user,p75,21.55
0,1780536005560256768,1780536006560256768,E2E Output Token Throughput,tokens/sec/user,p90,23.00
0,1780536005560256768,1780536006560256768,E2E Output Token Throughput,tokens/sec/user,p95,23.48
0,1780536005560256768,1780536006560256768,E2E Output Token Throughput,tokens/sec/user,p99,23.87
0,1780536005560256768,1780536006560256768,E2E Output Token Throughput,tokens/sec/user,std,2.57
0,1780536005560256768,1780536006560256768,Effective Concurrency,requests,avg,2.47
0,1780536005560256768,1780536006560256768,Effective Concurrency,requests,min,1.00
0,1780536005560256768,1780536006560256768,Effective Concurrency,requests,max,3.00
0,1780536005560256768,1780536006560256768,Effective Concurrency,requests,p50,3.00
0,1780536005560256768,1780536006560256768,Effective Concurrency,requests,p90,3.00
